3904 マザーズ (株)カヤック（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-12-26","1803","1975","1630","1950","3489300","975"
"2014-12-29","1870","1980","1706","1710","2163700","855"
"2014-12-30","1670","1739","1536","1560","1331000","780"
