7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1989-01-05","10100","10100","10100","10100","4000","4987.7"
"1989-01-10","10900","11100","10800","10800","4000","5333.3"
"1989-01-11","10500","10700","10500","10600","7000","5234.6"
"1989-01-13","10400","10400","10400","10400","1000","5135.8"
"1989-01-17","10600","10600","10600","10600","3000","5234.6"
"1989-01-20","9960","9960","9960","9960","2000","4918.5"
"1989-01-23","10100","10100","9900","9900","2000","4888.9"
"1989-01-25","9580","9580","9580","9580","1000","4730.9"
"1989-01-28","10100","10100","10100","10100","8000","4987.7"
"1989-01-30","10000","10000","10000","10000","1000","4938.3"
"1989-02-02","10000","10000","10000","10000","1000","4938.3"
"1989-02-07","9700","9700","9700","9700","1000","4790.1"
"1989-02-13","8920","8920","8920","8920","1000","4404.9"
"1989-02-16","9050","9050","9050","9050","1000","4469.1"
"1989-02-23","8980","8980","8980","8980","1000","4434.6"
"1989-03-02","8410","8410","8410","8410","1000","4153.1"
"1989-03-03","8410","8410","8350","8350","3000","4123.5"
"1989-03-10","8400","8400","8400","8400","1000","4148.2"
"1989-03-14","8100","8100","8100","8100","1000","4000"
"1989-03-15","8200","8200","8200","8200","3000","4049.4"
"1989-03-16","8000","8000","8000","8000","1000","3950.6"
"1989-03-17","8050","8050","8050","8050","1000","3975.3"
"1989-03-20","7900","7900","7900","7900","1000","3901.2"
"1989-03-23","8800","8800","8800","8800","2000","4345.7"
"1989-03-27","8750","8750","8750","8750","10000","4321"
"1989-03-28","8650","8650","8640","8640","2000","4266.7"
"1989-04-10","8500","8500","8500","8500","1000","4197.5"
"1989-04-12","8550","8550","8550","8550","1000","4222.2"
"1989-04-14","8400","8500","8400","8500","2000","4197.5"
"1989-04-21","8550","8550","8550","8550","1000","4222.2"
"1989-04-25","8500","8500","8500","8500","1000","4197.5"
"1989-04-26","8400","8800","8400","8800","4000","4345.7"
"1989-04-28","9050","9050","9050","9050","1000","4469.1"
"1989-05-01","9000","9000","9000","9000","1000","4444.5"
"1989-05-02","9100","9250","9100","9250","5000","4567.9"
"1989-05-08","9480","9610","9480","9610","4000","4745.7"
"1989-05-10","9900","9900","9800","9800","3000","4839.5"
"1989-05-12","9560","9560","9560","9560","1000","4721"
"1989-05-15","9600","9600","9600","9600","2000","4740.7"
"1989-05-16","9600","9600","9600","9600","2000","4740.7"
"1989-05-18","10400","10600","10400","10600","3000","5234.6"
"1989-05-19","10200","11400","10200","11300","10000","5580.3"
"1989-05-22","11500","11700","11300","11700","21000","5777.8"
"1989-05-23","11700","11700","11200","11200","12000","5530.9"
"1989-05-24","11200","11200","11200","11200","1000","5530.9"
"1989-05-25","10800","10800","10800","10800","2000","5333.3"
"1989-05-26","10700","10700","10600","10600","4000","5234.6"
"1989-05-29","10800","10800","10800","10800","12000","5333.3"
"1989-05-30","10700","10900","10700","10900","3000","5382.7"
"1989-05-31","10700","10700","10700","10700","1000","5284"
"1989-06-01","11000","11200","11000","11200","7000","5530.9"
"1989-06-02","11500","12000","11500","11900","5000","5876.6"
"1989-06-05","11500","12400","11500","12000","133000","5925.9"
"1989-06-06","11700","12000","11700","12000","4000","5925.9"
"1989-06-07","11800","12000","11700","11700","6000","5777.8"
"1989-06-08","11800","12200","11800","12200","7000","6024.7"
"1989-06-09","12600","12600","12400","12400","8000","6123.5"
"1989-06-12","12100","12100","12100","12100","1000","5975.3"
"1989-06-13","12700","12700","12000","12000","5000","5925.9"
"1989-06-14","12000","12200","12000","12200","2000","6024.7"
"1989-06-15","11800","11900","11800","11900","2000","5876.6"
"1989-06-16","11700","11700","11500","11500","30000","5679"
"1989-06-19","11500","11700","11500","11700","4000","5777.8"
"1989-06-20","11500","11500","11500","11500","1000","5679"
"1989-06-21","12200","12200","12000","12000","3000","5925.9"
"1989-06-22","11900","12100","11900","12100","2000","5975.3"
"1989-06-23","12200","12200","12000","12000","7000","5925.9"
"1989-06-26","12000","12000","12000","12000","2000","5925.9"
"1989-06-27","11800","12000","11800","12000","2000","5925.9"
"1989-06-28","12500","12800","12500","12800","9000","6321"
"1989-06-29","13400","13400","13000","13100","35000","6469.1"
"1989-06-30","12900","13000","12900","13000","2000","6419.8"
"1989-07-03","13000","13000","12800","12800","16000","6321"
"1989-07-04","13400","13400","13200","13200","11000","6518.5"
"1989-07-05","13200","13200","13200","13200","2000","6518.5"
"1989-07-06","12800","13000","12800","13000","2000","6419.8"
"1989-07-07","13000","13000","12900","12900","2000","6370.4"
"1989-07-10","12900","12900","12900","12900","2000","6370.4"
"1989-07-11","13100","13100","13100","13100","1000","6469.1"
"1989-07-12","12800","12800","12800","12800","1000","6321"
"1989-07-13","12800","12800","12800","12800","1000","6321"
"1989-07-14","12700","12700","12700","12700","1000","6271.6"
