7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1996-01-04","8020","8020","7910","7910","1800","7910"
"1996-01-05","7910","8100","7910","8100","23500","8100"
"1996-01-08","8200","8450","8200","8400","47200","8400"
"1996-01-09","8600","8670","8550","8550","53500","8550"
"1996-01-10","8510","8640","8500","8600","12700","8600"
"1996-01-11","8400","8430","8360","8430","27200","8430"
"1996-01-12","8490","8490","8210","8250","9300","8250"
"1996-01-16","8000","8050","7980","7990","31500","7990"
"1996-01-17","8060","8070","7990","8040","21400","8040"
"1996-01-18","8050","8050","7950","8000","8800","8000"
"1996-01-19","7960","7960","7930","7960","7900","7960"
"1996-01-22","7880","7890","7680","7740","13500","7740"
"1996-01-23","7790","7800","7700","7700","8000","7700"
"1996-01-24","7700","7840","7700","7840","5100","7840"
"1996-01-25","7940","8000","7700","7700","16200","7700"
"1996-01-26","7730","7780","7700","7780","9600","7780"
"1996-01-29","7860","7870","7710","7710","809500","7710"
"1996-01-30","7800","7800","7750","7780","2600","7780"
"1996-01-31","7800","7900","7800","7900","5900","7900"
"1996-02-01","7840","7840","7780","7780","4000","7780"
"1996-02-02","7780","7780","7650","7720","8600","7720"
"1996-02-05","7650","7660","7510","7550","15400","7550"
"1996-02-06","7500","7510","7350","7350","11000","7350"
"1996-02-07","7450","7550","7350","7540","8600","7540"
"1996-02-08","7550","7550","7500","7540","4300","7540"
"1996-02-09","7500","7520","7460","7500","7600","7500"
"1996-02-13","7490","7490","7210","7270","24400","7270"
"1996-02-14","7240","7400","7240","7400","7500","7400"
"1996-02-15","7300","7340","7280","7280","5100","7280"
"1996-02-16","7280","7300","7200","7280","7800","7280"
"1996-02-19","7240","7240","7020","7020","12500","7020"
"1996-02-20","7000","7000","6810","6880","21500","6880"
"1996-02-21","6870","6900","6800","6800","26500","6800"
"1996-02-22","6880","6900","6770","6770","21900","6770"
"1996-02-23","6830","7290","6830","7290","9800","7290"
"1996-02-26","7070","7200","7070","7190","2000","7190"
"1996-02-27","7120","7150","7000","7150","4800","7150"
"1996-02-28","7000","7090","7000","7020","16600","7020"
"1996-02-29","6990","7100","6990","7100","4900","7100"
"1996-03-01","7050","7250","7000","7250","1900","7250"
"1996-03-04","7200","7250","7160","7160","3800","7160"
"1996-03-05","7240","7250","7050","7050","4400","7050"
"1996-03-06","7060","7100","7000","7020","4400","7020"
"1996-03-07","7020","7060","6980","6980","11500","6980"
"1996-03-08","6940","6980","6700","6770","126300","6770"
"1996-03-11","6690","6700","6600","6600","15400","6600"
"1996-03-12","6700","6770","6410","6450","16500","6450"
"1996-03-13","6450","6460","6250","6310","21200","6310"
"1996-03-14","6210","6550","6210","6550","5500","6550"
"1996-03-15","6550","6900","6550","6800","41200","6800"
"1996-03-18","6810","6860","6700","6700","8900","6700"
"1996-03-19","6800","6820","6770","6780","9600","6780"
"1996-03-21","6880","6880","6740","6800","11300","6800"
