7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2004-01-05","10280","10320","10230","10270","8900","10270"
"2004-01-06","10240","10300","10120","10120","14200","10120"
"2004-01-07","10220","10220","9930","9930","11700","9930"
"2004-01-08","9890","9990","9860","9870","18300","9870"
"2004-01-09","9970","10130","9950","10090","20100","10090"
"2004-01-13","9950","10020","9890","9890","11200","9890"
"2004-01-14","9890","9960","9820","9910","13300","9910"
"2004-01-15","10150","10200","10070","10090","26000","10090"
"2004-01-16","10080","10140","9840","10060","37000","10060"
"2004-01-19","10000","10040","9900","9970","8600","9970"
"2004-01-20","10010","10150","10010","10050","20000","10050"
"2004-01-21","9920","10180","9920","10050","26000","10050"
"2004-01-22","10190","10350","10130","10340","47300","10340"
"2004-01-23","10510","11190","10510","10810","62400","10810"
"2004-01-26","11150","11380","11080","11350","53200","11350"
"2004-01-27","11310","11320","11190","11270","17500","11270"
"2004-01-28","11110","11200","10940","11000","12200","11000"
"2004-01-29","11120","11160","11020","11050","25300","11050"
"2004-01-30","10260","10500","10090","10270","72200","10270"
"2004-02-02","10400","10410","10170","10230","25800","10230"
"2004-02-03","10180","10180","9960","10060","25600","10060"
"2004-02-04","10080","10090","9830","9840","19300","9840"
"2004-02-05","9740","10110","9740","10070","17700","10070"
"2004-02-06","9980","9980","9750","9800","12600","9800"
"2004-02-09","10000","10160","10000","10100","26200","10100"
"2004-02-10","10070","10110","9770","9770","46500","9770"
"2004-02-12","9860","9900","9740","9740","14600","9740"
"2004-02-13","9970","10110","9970","10070","27800","10070"
"2004-02-16","10080","10130","10030","10080","9700","10080"
"2004-02-17","10150","10150","10030","10030","18000","10030"
"2004-02-18","10090","10090","9820","9910","18900","9910"
"2004-02-19","10060","10090","9990","10000","18300","10000"
"2004-02-20","10090","10180","10050","10170","20700","10170"
"2004-02-23","10410","10650","10400","10540","33800","10540"
"2004-02-24","10320","10420","10180","10250","17500","10250"
"2004-02-25","10310","10330","10070","10120","17100","10120"
"2004-02-26","10360","10370","10280","10360","15900","10360"
"2004-02-27","10380","10630","10380","10630","41500","10630"
"2004-03-01","10590","11000","10580","10850","33600","10850"
"2004-03-02","11040","11100","10970","11020","21100","11020"
"2004-03-03","10990","11060","10940","10940","20000","10940"
"2004-03-04","10770","10810","10590","10650","49900","10650"
"2004-03-05","10920","11100","10870","10970","21700","10970"
"2004-03-08","10790","11060","10790","11000","21300","11000"
"2004-03-09","10960","11090","10950","11040","10100","11040"
"2004-03-10","11040","11040","10890","10930","10400","10930"
"2004-03-11","10800","10860","10590","10610","28800","10610"
"2004-03-12","10210","10450","10210","10390","192900","10390"
"2004-03-15","10500","10550","10380","10410","20800","10410"
"2004-03-16","10290","10380","10220","10220","26400","10220"
"2004-03-17","10250","10260","10150","10250","36900","10250"
"2004-03-18","10370","10370","10190","10310","27600","10310"
"2004-03-19","10280","10360","10180","10180","17800","10180"
"2004-03-22","10130","10210","10060","10200","10100","10200"
"2004-03-23","10010","10460","10010","10400","30400","10400"
"2004-03-24","10330","10400","10210","10310","12700","10310"
"2004-03-25","10110","10130","10070","10080","30700","10080"
"2004-03-26","10230","10420","10230","10400","28300","10400"
"2004-03-29","10370","10850","10350","10760","33200","10760"
"2004-03-30","10850","10900","10790","10840","42400","10840"
"2004-03-31","10740","10760","10360","10640","61800","10640"
"2004-04-01","10460","10460","9950","10090","105400","10090"
