7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","28410","28630","27420","28030","2581000","28030"
"2019-01-07","29330","29755","29115","29670","1934300","29670"
"2019-01-08","29715","30200","29600","30020","1662700","30020"
"2019-01-09","30440","30980","29865","30730","1911200","30730"
"2019-01-10","30350","30760","29735","29795","2021000","29795"
"2019-01-11","30250","30380","29980","30330","1201200","30330"
"2019-01-15","30630","32090","30610","31730","2871400","31730"
"2019-01-16","31840","31980","31110","31940","1813100","31940"
"2019-01-17","32370","33250","32150","33150","2692000","33150"
"2019-01-18","32850","34020","32840","33850","2270000","33850"
"2019-01-21","34550","34630","33670","33740","1924500","33740"
"2019-01-22","33590","33970","33270","33700","1740700","33700"
"2019-01-23","33230","33960","33110","33680","1625100","33680"
"2019-01-24","33410","33900","33130","33880","1485100","33880"
"2019-01-25","33880","34160","33700","33890","1367100","33890"
"2019-01-28","33520","33580","32850","32910","1539500","32910"
"2019-01-29","32400","33460","32020","33460","2510400","33460"
"2019-01-30","33350","33500","33000","33150","1397600","33150"
"2019-01-31","33850","34470","33600","33830","2251000","33830"
"2019-02-01","32300","32740","30540","30720","4603500","30720"
"2019-02-04","31480","32590","31300","32260","3265000","32260"
"2019-02-05","32270","32430","31010","31240","2269200","31240"
"2019-02-06","31020","31050","29390","29505","3722800","29505"
"2019-02-07","29400","29680","28575","29315","3348600","29315"
"2019-02-08","28845","29845","28815","29280","2130400","29280"
