7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1990-01-04","15000","15000","15000","15000","3000","11111.1"
"1990-01-05","15100","15200","14700","14700","142000","10888.9"
"1990-01-08","14700","14700","14500","14500","10000","10740.7"
"1990-01-09","15100","15100","15100","15100","1000","11185.2"
"1990-01-10","15900","15900","15900","15900","3000","11777.8"
"1990-01-11","16200","16300","16000","16300","7000","12074.1"
"1990-01-12","16500","17100","16300","16800","54000","12444.5"
"1990-01-16","16600","17000","16600","16800","11000","12444.5"
"1990-01-17","17000","17500","16900","17300","31000","12814.8"
"1990-01-18","17500","17600","17200","17200","83000","12740.8"
"1990-01-19","17100","17200","17000","17000","22000","12592.6"
"1990-01-22","17000","17200","16800","16800","7000","12444.5"
"1990-01-23","16800","16900","16800","16900","2000","12518.5"
"1990-01-24","17300","17300","17200","17200","4000","12740.8"
"1990-01-25","16800","16800","16800","16800","5000","12444.5"
"1990-01-26","16600","16600","16600","16600","2000","12296.3"
"1990-01-29","16800","16800","16700","16700","40000","12370.4"
"1990-01-30","16700","16700","16700","16700","1000","12370.4"
"1990-01-31","15900","15900","15900","15900","4000","11777.8"
"1990-02-01","16400","16500","16400","16500","3000","12222.2"
"1990-02-02","16200","16400","16200","16300","6000","12074.1"
"1990-02-05","16900","17000","16600","16600","16000","12296.3"
"1990-02-06","16600","17500","16600","17500","60000","12963"
"1990-02-07","17500","17700","17200","17200","42000","12740.8"
"1990-02-08","17100","17100","17100","17100","5000","12666.7"
"1990-02-09","16900","16900","16900","16900","1000","12518.5"
"1990-02-13","18200","18300","18200","18300","19000","13555.6"
"1990-02-14","18500","18800","18200","18400","72000","13629.6"
"1990-02-15","18200","18200","18000","18000","12000","13333.3"
"1990-02-16","17800","18000","17600","17700","13000","13111.1"
"1990-02-19","17900","18100","17900","18100","3000","13407.4"
"1990-02-20","17700","17700","17600","17600","14000","13037"
"1990-02-21","17400","17900","17400","17600","514000","13037"
"1990-02-22","17300","18000","17300","18000","8000","13333.3"
"1990-02-23","18000","18000","17500","17800","63000","13185.2"
"1990-02-26","17600","17600","17000","17200","66000","12740.8"
"1990-02-27","17400","18500","17400","18500","311000","13703.7"
"1990-02-28","18800","19000","18700","19000","30000","14074.1"
"1990-03-01","18600","19100","18600","18700","48000","13851.9"
"1990-03-02","19000","20000","19000","19800","76000","14666.7"
"1990-03-05","19500","19500","19100","19100","7000","14148.2"
"1990-03-06","18800","18800","18800","18800","2000","13925.9"
"1990-03-07","18800","18800","18400","18700","4000","13851.9"
"1990-03-08","18700","19300","18600","19200","14000","14222.2"
"1990-03-09","19000","19000","18900","18900","125000","14000"
"1990-03-12","18900","18900","18600","18600","121000","13777.8"
"1990-03-13","18600","18600","18400","18500","85000","13703.7"
"1990-03-14","18300","18500","18300","18400","320000","13629.6"
"1990-03-15","18700","18800","18700","18800","6000","13925.9"
"1990-03-16","19200","19200","18900","18900","205000","14000"
"1990-03-19","18900","18900","18900","18900","202000","14000"
"1990-03-20","18900","19000","18800","18800","8000","13925.9"
"1990-03-23","18400","18500","18300","18300","21000","13555.6"
"1990-03-26","18100","19100","18100","19100","9000","14148.2"
"1990-03-27","18900","20000","18900","20000","21000","14814.8"
"1990-03-28","20200","21300","20100","21300","52000","15777.8"
"1990-03-29","21100","21500","20800","20900","45000","15481.5"
"1990-03-30","20900","21100","20400","21100","10000","15629.6"
"1990-04-02","20700","20700","19900","20000","15000","14814.8"
"1990-04-03","20400","21100","20000","21000","19000","15555.6"
"1990-04-04","21000","21800","21000","21700","22000","16074.1"
"1990-04-05","21300","21300","20800","21200","17000","15703.7"
"1990-04-06","21400","21400","21200","21400","8000","15851.9"
"1990-04-09","21300","21400","21300","21400","14000","15851.9"
"1990-04-10","21200","22000","21200","21800","21000","16148.2"
"1990-04-11","21900","22200","21600","21600","41000","16000"
"1990-04-12","21600","21700","21600","21600","4000","16000"
"1990-04-13","21600","21600","21200","21200","3000","15703.7"
"1990-04-16","21000","21200","21000","21200","4000","15703.7"
"1990-04-17","21000","21300","21000","21300","5000","15777.8"
"1990-04-18","20500","20600","20500","20500","4000","15185.2"
"1990-04-19","20900","21100","20900","20900","6000","15481.5"
"1990-04-20","20500","20500","20500","20500","6000","15185.2"
"1990-04-23","20700","20700","20200","20400","6000","15111.1"
"1990-04-24","20200","20400","20200","20400","16000","15111.1"
"1990-04-25","20500","20500","20300","20500","12000","15185.2"
"1990-04-26","20200","20400","20200","20400","7000","15111.1"
"1990-04-27","20200","20200","20200","20200","2000","14963"
"1990-05-01","20100","20100","19800","20000","7000","14814.8"
"1990-05-02","20400","20500","20400","20500","3000","15185.2"
"1990-05-07","20500","20700","20300","20300","3000","15037"
"1990-05-08","20100","20300","20000","20000","3000","14814.8"
"1990-05-09","19900","20000","19900","20000","2000","14814.8"
"1990-05-10","20100","20400","20100","20400","6000","15111.1"
"1990-05-11","20800","21400","20800","21400","24000","15851.9"
"1990-05-14","21600","21800","21400","21500","26000","15925.9"
"1990-05-15","21500","21500","21000","21000","7000","15555.6"
"1990-05-16","20800","21000","20800","21000","3000","15555.6"
"1990-05-17","20900","21000","20900","21000","3000","15555.6"
"1990-05-18","20700","21000","20700","21000","7000","15555.6"
"1990-05-21","20600","20600","20600","20600","1000","15259.3"
"1990-05-22","20600","20800","20600","20800","11000","15407.4"
"1990-05-23","20800","20800","20800","20800","2000","15407.4"
"1990-05-24","20500","20600","20500","20600","3000","15259.3"
"1990-05-25","20200","20200","20200","20200","4000","14963"
"1990-05-28","20300","20300","20100","20100","47000","14888.9"
"1990-05-29","20400","20600","20400","20600","2000","15259.3"
"1990-05-30","20800","20900","20800","20900","2000","15481.5"
"1990-05-31","20700","20700","20700","20700","3000","15333.3"
"1990-06-01","20900","21400","20900","21300","13000","15777.8"
"1990-06-04","21300","21400","21300","21400","12000","15851.9"
"1990-06-05","21400","22300","21400","22300","45000","16518.5"
"1990-06-06","22700","22700","22500","22600","18000","16740.8"
