7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1997-01-06","8230","8300","8220","8300","2100","8300"
"1997-01-07","8350","8350","8200","8200","69300","8200"
"1997-01-08","8240","8290","8120","8120","4900","8120"
"1997-01-09","8160","8210","8100","8100","10800","8100"
"1997-01-10","8200","8200","7870","8040","24200","8040"
"1997-01-13","7950","8100","7930","8100","10600","8100"
"1997-01-14","7960","8090","7940","8070","8500","8070"
"1997-01-16","7600","7600","7410","7410","44100","7410"
"1997-01-17","7600","7710","7600","7600","9600","7600"
"1997-01-20","7430","7530","7430","7530","12700","7530"
"1997-01-21","7470","7550","7470","7530","4300","7530"
"1997-01-22","7590","7600","7480","7480","3200","7480"
"1997-01-23","7570","7710","7500","7710","3300","7710"
"1997-01-24","7620","7650","7580","7630","9900","7630"
"1997-01-27","7630","7690","7580","7600","8500","7600"
"1997-01-28","7500","7650","7500","7570","8100","7570"
"1997-01-29","7500","7550","7500","7550","5200","7550"
"1997-01-30","7550","7720","7550","7660","5400","7660"
"1997-01-31","7770","7970","7760","7940","5000","7940"
"1997-02-03","7900","8020","7880","8020","8400","8020"
"1997-02-04","8100","8130","8020","8020","6100","8020"
"1997-02-05","7960","8000","7900","7980","7000","7980"
"1997-02-06","7950","8030","7950","7960","5400","7960"
"1997-02-07","7890","8020","7890","7950","8000","7950"
"1997-02-10","7960","7960","7760","7860","6300","7860"
"1997-02-12","7890","8020","7890","8020","5400","8020"
"1997-02-13","8080","8180","8000","8040","9000","8040"
"1997-02-14","8070","8220","8070","8200","17700","8200"
"1997-02-17","8200","8350","8200","8350","18600","8350"
"1997-02-18","8410","8410","8140","8140","16000","8140"
"1997-02-19","8200","8230","8200","8210","4400","8210"
"1997-02-20","8310","8390","8250","8350","9900","8350"
"1997-02-21","8380","8390","8280","8280","17000","8280"
"1997-02-24","8400","8400","8320","8390","7100","8390"
"1997-02-25","8290","8290","8210","8230","2000","8230"
"1997-02-26","8310","8380","8310","8370","5900","8370"
"1997-02-27","8350","8500","8320","8500","31900","8500"
"1997-02-28","8460","8500","8300","8500","19400","8500"
"1997-03-03","8440","8500","8430","8500","19000","8500"
"1997-03-04","8530","8570","8520","8540","48400","8540"
"1997-03-05","8530","8530","8350","8420","16400","8420"
"1997-03-06","8480","8550","8480","8540","19300","8540"
"1997-03-07","8470","8700","8470","8650","30200","8650"
"1997-03-10","8750","8970","8710","8880","21600","8880"
"1997-03-11","8980","9000","8850","8850","29400","8850"
"1997-03-12","8850","8850","8700","8750","360800","8750"
"1997-03-13","8720","8730","8650","8650","4500","8650"
"1997-03-14","8590","8650","8500","8540","48500","8540"
"1997-03-17","8550","8700","8550","8680","2700","8680"
"1997-03-18","8810","8850","8680","8810","4600","8810"
"1997-03-19","8890","8900","8700","8700","2600","8700"
"1997-03-21","8700","8750","8650","8730","1800","8730"
"1997-03-24","8830","8830","8690","8700","5700","8700"
