7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","30950","31200","29820","29960","82400","29960"
"2007-01-05","29800","29860","28700","28780","113700","28780"
"2007-01-09","28830","28940","28460","28510","96500","28510"
"2007-01-10","28660","29480","28320","29000","172600","29000"
"2007-01-11","29900","30800","29860","30700","177400","30700"
"2007-01-12","30950","31900","30950","31350","138900","31350"
"2007-01-15","31550","31700","31150","31550","56200","31550"
"2007-01-16","31850","32450","31800","32350","84800","32350"
"2007-01-17","32500","32550","31600","32050","113400","32050"
"2007-01-18","32350","32550","32150","32150","65800","32150"
"2007-01-19","32150","32300","31450","31500","100900","31500"
"2007-01-22","31700","32450","31450","32350","89300","32350"
"2007-01-23","32400","32500","32050","32250","106300","32250"
"2007-01-24","32650","33050","32450","33000","118300","33000"
"2007-01-25","33550","33800","33150","33500","93800","33500"
"2007-01-26","33100","34150","32550","34050","177000","34050"
"2007-01-29","34450","34700","33800","34250","118800","34250"
"2007-01-30","34350","35050","34250","34850","123600","34850"
"2007-01-31","35000","35750","35000","35450","147200","35450"
"2007-02-01","35900","35900","34800","34950","145300","34950"
"2007-02-02","35250","35500","34050","34350","153500","34350"
"2007-02-05","33550","33600","32850","32950","167500","32950"
"2007-02-06","32950","33750","32750","32900","131100","32900"
"2007-02-07","33300","33350","32000","32450","161600","32450"
"2007-02-08","32850","34200","32450","33950","136000","33950"
"2007-02-09","33700","33700","32800","33250","191800","33250"
"2007-02-13","33250","33250","32550","32650","95600","32650"
"2007-02-14","32850","33350","32400","32400","112500","32400"
"2007-02-15","32700","32750","31150","31450","164800","31450"
"2007-02-16","31250","32650","30600","32200","178000","32200"
"2007-02-19","32500","32950","32150","32350","126500","32350"
"2007-02-20","32450","32450","31650","31700","93100","31700"
"2007-02-21","31300","32000","31200","31400","87600","31400"
"2007-02-22","31750","32450","31650","32400","112200","32400"
"2007-02-23","33200","33900","33100","33800","156800","33800"
"2007-02-26","33450","33750","32800","33050","151000","33050"
"2007-02-27","32700","32700","31950","32400","106800","32400"
"2007-02-28","30000","31800","30000","31400","160400","31400"
"2007-03-01","31750","32150","31150","31800","110600","31800"
"2007-03-02","31400","31600","31200","31400","53400","31400"
"2007-03-05","30450","30700","29680","29740","102200","29740"
"2007-03-06","30050","31350","30000","31250","132300","31250"
"2007-03-07","31850","31850","30750","31050","100000","31050"
"2007-03-08","31100","31850","30700","31750","102700","31750"
"2007-03-09","32300","33200","32300","32950","236300","32950"
"2007-03-12","33650","33850","33600","33850","96600","33850"
"2007-03-13","33450","33700","33200","33300","87700","33300"
"2007-03-14","32100","32950","32100","32500","113400","32500"
"2007-03-15","33150","33350","32900","33150","69600","33150"
"2007-03-16","33300","33800","32500","33300","80900","33300"
"2007-03-19","33050","34000","32900","33950","81100","33950"
"2007-03-20","34350","34600","33900","34000","79900","34000"
"2007-03-22","34400","34650","33950","34150","56300","34150"
"2007-03-23","34300","34300","33950","34200","53200","34200"
