7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1995-01-04","5410","5440","5370","5400","4200","5400"
"1995-01-05","5460","5480","5410","5420","7400","5420"
"1995-01-06","5430","5430","5380","5380","6000","5380"
"1995-01-09","5350","5380","5320","5350","4600","5350"
"1995-01-10","5340","5360","5310","5360","20600","5360"
"1995-01-11","5380","5380","5350","5350","3000","5350"
"1995-01-12","5310","5340","5310","5320","6900","5320"
"1995-01-13","5320","5320","5300","5320","33300","5320"
"1995-01-17","5330","5400","5320","5390","48100","5390"
"1995-01-18","5340","5450","5340","5370","8600","5370"
"1995-01-19","5300","5370","5270","5320","13700","5320"
"1995-01-20","5270","5270","5120","5200","17600","5200"
"1995-01-23","5110","5150","5000","5000","27500","5000"
"1995-01-24","5040","5100","5010","5050","28400","5050"
"1995-01-25","5110","5200","5100","5120","6900","5120"
"1995-01-26","5200","5280","5200","5260","13400","5260"
"1995-01-27","5260","5260","5180","5200","3400","5200"
"1995-01-30","5150","5160","5080","5080","10600","5080"
"1995-01-31","5170","5170","5030","5050","8800","5050"
"1995-02-01","5150","5150","5050","5050","6200","5050"
"1995-02-02","5070","5120","5060","5100","3500","5100"
"1995-02-03","5130","5160","5080","5080","6900","5080"
"1995-02-06","5150","5200","5140","5200","10400","5200"
"1995-02-07","5200","5200","5180","5200","2800","5200"
"1995-02-08","5100","5140","5090","5100","12100","5100"
"1995-02-09","5100","5160","5100","5130","4700","5130"
"1995-02-10","5110","5240","5110","5240","11300","5240"
"1995-02-13","5220","5220","5110","5180","4400","5180"
"1995-02-14","5160","5160","5060","5070","13000","5070"
"1995-02-15","5070","5150","5020","5110","13300","5110"
"1995-02-16","5120","5150","5070","5080","8900","5080"
"1995-02-17","5070","5250","5070","5250","11600","5250"
"1995-02-20","5350","5520","5350","5400","48000","5400"
"1995-02-21","5330","5400","5330","5380","5300","5380"
"1995-02-22","5330","5350","5150","5150","13600","5150"
"1995-02-23","5150","5280","5150","5200","22300","5200"
"1995-02-24","5260","5280","5210","5230","10400","5230"
"1995-02-27","5030","5110","5010","5070","19600","5070"
"1995-02-28","5090","5180","5020","5020","13400","5020"
"1995-03-01","5060","5100","5020","5040","10800","5040"
"1995-03-02","5140","5200","5120","5120","2300","5120"
"1995-03-03","5060","5180","5040","5100","5100","5100"
"1995-03-06","5070","5140","5070","5100","5500","5100"
"1995-03-07","5140","5140","5080","5100","2800","5100"
"1995-03-08","5070","5120","5050","5120","7600","5120"
"1995-03-09","5200","5250","5160","5200","23800","5200"
"1995-03-10","5180","5260","5180","5200","54000","5200"
"1995-03-13","5220","5260","5190","5260","17800","5260"
"1995-03-14","5360","5400","5320","5390","39600","5390"
"1995-03-15","5380","5490","5380","5460","47800","5460"
"1995-03-16","5440","5440","5320","5320","12600","5320"
"1995-03-17","5330","5330","5100","5100","7100","5100"
"1995-03-20","5050","5140","5050","5140","10900","5140"
"1995-03-22","5110","5210","5100","5170","8600","5170"
"1995-03-23","5100","5140","5090","5100","13700","5100"
"1995-03-24","5100","5120","5090","5100","21700","5100"
"1995-03-27","5110","5210","5110","5160","14300","5160"
"1995-03-28","5080","5200","5080","5160","12300","5160"
"1995-03-29","5220","5300","5210","5300","7500","5300"
"1995-03-30","5300","5300","5240","5250","6800","5250"
"1995-03-31","5350","5360","5150","5150","7000","5150"
"1995-04-03","5130","5130","5080","5080","16100","5080"
"1995-04-04","5110","5110","4540","4700","40800","4700"
"1995-04-05","4850","4960","4840","4900","15900","4900"
"1995-04-06","4950","5200","4940","5160","8500","5160"
"1995-04-07","5110","5280","5110","5280","16800","5280"
"1995-04-10","5180","5330","5180","5310","14200","5310"
"1995-04-11","5400","5420","5350","5380","44300","5380"
"1995-04-12","5380","5430","5370","5370","36000","5370"
"1995-04-13","5400","5430","5360","5360","39000","5360"
"1995-04-14","5340","5360","5290","5320","17800","5320"
"1995-04-17","5220","5400","5200","5400","6000","5400"
"1995-04-18","5350","5380","5320","5320","21400","5320"
"1995-04-19","5300","5350","5250","5300","22300","5300"
"1995-04-20","5310","5350","5310","5320","20600","5320"
"1995-04-21","5350","5430","5350","5430","12800","5430"
"1995-04-24","5410","5430","5360","5360","16000","5360"
"1995-04-25","5430","5470","5400","5400","31300","5400"
"1995-04-26","5350","5400","5340","5400","4900","5400"
"1995-04-27","5430","5440","5350","5390","23500","5390"
"1995-04-28","5390","5400","5370","5390","11600","5390"
"1995-05-01","5400","5400","5360","5400","2300","5400"
"1995-05-02","5420","5600","5420","5600","17200","5600"
"1995-05-08","5550","5550","5400","5450","14400","5450"
"1995-05-09","5350","5350","5130","5160","43700","5160"
"1995-05-10","5120","5260","5090","5180","47300","5180"
"1995-05-11","5270","5270","5180","5220","12200","5220"
"1995-05-12","5290","5400","5280","5400","173800","5400"
"1995-05-15","5410","5450","5410","5440","12500","5440"
"1995-05-16","5390","5400","5350","5370","8200","5370"
"1995-05-17","5400","5420","5350","5370","14200","5370"
"1995-05-18","5370","5390","5280","5280","22000","5280"
"1995-05-19","5290","5290","5200","5200","20200","5200"
"1995-05-22","5200","5200","5140","5150","10000","5150"
"1995-05-23","5200","5200","5100","5100","11200","5100"
"1995-05-24","5110","5230","5100","5200","6100","5200"
"1995-05-25","5250","5250","5130","5130","12100","5130"
"1995-05-26","5080","5230","5080","5190","8400","5190"
"1995-05-29","5150","5250","5150","5230","11300","5230"
"1995-05-30","5210","5230","5190","5210","17800","5210"
"1995-05-31","5110","5110","5070","5090","7100","5090"
"1995-06-01","5150","5150","5050","5140","11600","5140"
"1995-06-02","5100","5140","5070","5090","11000","5090"
"1995-06-05","5060","5120","5060","5120","5300","5120"
"1995-06-06","5110","5180","5110","5120","2500","5120"
"1995-06-07","5110","5110","5020","5070","7200","5070"
"1995-06-08","5090","5090","4950","4950","13700","4950"
"1995-06-09","4900","4920","4800","4810","36000","4810"
"1995-06-12","4770","4770","4650","4680","18600","4680"
"1995-06-13","4630","4700","4590","4590","12400","4590"
"1995-06-14","4610","4800","4610","4800","42200","4800"
"1995-06-15","4500","4600","4500","4600","34800","4600"
"1995-06-16","4650","4680","4550","4600","10700","4600"
"1995-06-19","4590","4820","4550","4780","9800","4780"
"1995-06-20","4830","4940","4810","4830","12900","4830"
"1995-06-21","4840","4870","4810","4810","12400","4810"
"1995-06-22","4860","5000","4860","4950","25500","4950"
"1995-06-23","4990","4990","4810","4850","7500","4850"
"1995-06-26","4900","4900","4780","4780","8400","4780"
"1995-06-27","4760","4800","4760","4770","3900","4770"
"1995-06-28","4720","4790","4710","4790","5700","4790"
"1995-06-29","4770","4850","4760","4760","24600","4760"
"1995-06-30","4770","4880","4770","4880","6100","4880"
"1995-07-03","4850","5000","4850","5000","3100","5000"
"1995-07-04","4990","5000","4870","4880","3300","4880"
"1995-07-05","4880","4980","4880","4980","2300","4980"
"1995-07-06","4930","5150","4900","5150","3700","5150"
"1995-07-07","5150","5250","5050","5160","32800","5160"
"1995-07-10","5360","5370","5280","5300","17500","5300"
"1995-07-11","5300","5300","5170","5290","2300","5290"
"1995-07-12","5300","5420","5300","5350","17100","5350"
"1995-07-13","5310","5350","5260","5300","3900","5300"
"1995-07-14","5340","5340","5240","5260","2100","5260"
"1995-07-17","5350","5390","5300","5390","7700","5390"
"1995-07-18","5400","5430","5320","5320","8700","5320"
