7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","42120","43250","41820","43210","2917700","43210"
"2018-01-05","43600","43620","42500","42610","2493900","42610"
"2018-01-09","43000","43470","42700","43140","2222100","43140"
"2018-01-10","43390","44300","43000","44230","2446600","44230"
"2018-01-11","43860","44140","43700","44120","1553600","44120"
"2018-01-12","44410","45060","44320","44620","2340600","44620"
"2018-01-15","44990","45330","44650","44860","1933600","44860"
"2018-01-16","44900","45220","44300","45110","1873100","45110"
"2018-01-17","44600","45400","44580","45290","1941800","45290"
"2018-01-18","46260","46800","45800","46360","4549800","46360"
"2018-01-19","47030","48380","47020","48320","5098000","48320"
"2018-01-22","48150","49200","48110","48450","3836900","48450"
"2018-01-23","48400","49770","48220","49590","3897900","49590"
"2018-01-24","49600","49980","47950","48640","3954800","48640"
"2018-01-25","47680","48440","47240","47770","3133100","47770"
"2018-01-26","48370","48540","47910","48230","2092000","48230"
"2018-01-29","48460","48600","47760","47900","1699700","47900"
"2018-01-30","47800","47800","47010","47010","2030900","47010"
"2018-01-31","46600","48570","46570","47970","3153500","47970"
"2018-02-01","49800","49800","47250","48220","6367400","48220"
"2018-02-02","48440","48750","46950","47170","3327700","47170"
"2018-02-05","46130","47170","46060","46910","2478900","46910"
"2018-02-06","44810","45720","43120","44470","5337800","44470"
"2018-02-07","46000","46640","44900","44910","3676000","44910"
"2018-02-08","45000","45100","43700","44320","3403800","44320"
"2018-02-09","42410","43360","42200","43330","3360600","43330"
"2018-02-13","44200","45310","44010","44400","3388500","44400"
"2018-02-14","44580","45150","43870","44310","2988500","44310"
"2018-02-15","45010","45910","44920","45840","3105100","45840"
"2018-02-16","46170","46250","45550","45840","2172200","45840"
"2018-02-19","46040","46790","45900","46790","1859800","46790"
"2018-02-20","46590","47350","46470","46960","2297100","46960"
"2018-02-21","47110","47940","46700","47770","3059800","47770"
"2018-02-22","47600","48070","46870","47180","2640100","47180"
"2018-02-23","47550","48420","47520","48360","2942500","48360"
"2018-02-26","48950","49470","48510","48770","2728400","48770"
"2018-02-27","49400","49780","49010","49430","3209600","49430"
"2018-02-28","49240","49490","48820","49080","2710400","49080"
"2018-03-01","48500","48660","48070","48190","2357800","48190"
"2018-03-02","47100","48780","47080","48600","3120600","48600"
"2018-03-05","48360","48430","45950","46160","3427500","46160"
"2018-03-06","47280","48180","47180","47520","3219100","47520"
"2018-03-07","47050","47150","46040","46100","3226700","46100"
"2018-03-08","47040","47970","46820","47970","2810100","47970"
"2018-03-09","48750","49000","47640","48110","3492500","48110"
"2018-03-12","48950","49160","48160","48400","2507000","48400"
"2018-03-13","48050","48790","47820","48780","1920500","48780"
"2018-03-14","48400","48670","47950","48220","1720900","48220"
"2018-03-15","48090","49180","48080","49040","2324600","49040"
"2018-03-16","49240","49880","48970","48990","3286200","48990"
"2018-03-19","49130","49500","48170","48320","2593300","48320"
"2018-03-20","47870","48270","47180","48230","2837400","48230"
"2018-03-22","48540","49080","48280","48980","2429300","48980"
"2018-03-23","47700","48060","47420","47670","2620100","47670"
"2018-03-26","47250","47440","45980","47390","3256100","47390"
"2018-03-27","48090","48580","47400","47890","3015700","47890"
"2018-03-28","46800","47310","46310","46650","2765000","46650"
"2018-03-29","46880","46980","46350","46660","1926700","46660"
"2018-03-30","46980","47420","46710","46860","2203300","46860"
"2018-04-02","47000","47950","46940","47720","1796300","47720"
"2018-04-03","46820","46900","46100","46270","2875300","46270"
"2018-04-04","46550","46630","45180","45300","2639600","45300"
"2018-04-05","45770","46150","45090","45480","2143900","45480"
"2018-04-06","44980","45530","44470","45130","2445600","45130"
"2018-04-09","44700","45780","44430","45520","1875500","45520"
"2018-04-10","45770","45830","44970","45050","2123900","45050"
"2018-04-11","45300","45610","44690","44690","1689300","44690"
"2018-04-12","45000","45220","44700","44730","1452800","44730"
"2018-04-13","45160","45590","44940","45280","1570300","45280"
"2018-04-16","45400","45450","44610","44670","1332800","44670"
"2018-04-17","44450","45060","44170","44420","1561700","44420"
"2018-04-18","44420","44600","43680","44440","2308400","44440"
"2018-04-19","44550","44890","44090","44160","1508700","44160"
"2018-04-20","44130","45990","44080","45900","3151200","45900"
"2018-04-23","46020","46440","45540","46300","2775300","46300"
"2018-04-24","46460","46570","46020","46300","1951900","46300"
"2018-04-25","45980","46470","45900","46370","1848200","46370"
"2018-04-26","46370","46420","45160","45430","2520400","45430"
"2018-04-27","45000","46750","44970","46170","3300400","46170"
"2018-05-01","46490","46750","46030","46160","1653300","46160"
"2018-05-02","46160","46570","46060","46180","1379200","46180"
"2018-05-07","46530","46590","46250","46540","1253500","46540"
"2018-05-08","46600","47240","46480","47240","1546500","47240"
"2018-05-09","47230","47470","46170","46240","1738000","46240"
"2018-05-10","46380","46560","45200","45500","1707100","45500"
"2018-05-11","45710","46200","45550","46100","1255400","46100"
"2018-05-14","46170","46200","45700","45920","994400","45920"
"2018-05-15","46110","46300","45820","46000","890600","46000"
"2018-05-16","46250","46320","45830","45870","1063200","45870"
"2018-05-17","46010","46640","45710","46580","1425400","46580"
"2018-05-18","46690","46700","45580","45700","1816300","45700"
"2018-05-21","45420","45440","44400","44500","2215800","44500"
"2018-05-22","44500","44800","43740","44310","1766100","44310"
"2018-05-23","43800","44200","43300","43530","1956600","43530"
"2018-05-24","42910","43220","42430","42510","2390600","42510"
"2018-05-25","42060","42840","41710","42470","2275200","42470"
"2018-05-28","41900","42170","41520","41600","1719600","41600"
"2018-05-29","41810","42560","41670","42400","1504800","42400"
"2018-05-30","42100","44240","41960","44240","4408000","44240"
"2018-05-31","44700","45000","43610","45000","2790100","45000"
"2018-06-01","44510","44570","43200","43200","2180800","43200"
"2018-06-04","42510","42750","40470","40470","4013300","40470"
"2018-06-05","40710","41580","40540","40860","3493300","40860"
"2018-06-06","40900","40950","39160","39610","3571000","39610"
"2018-06-07","39500","41030","39410","40970","3024000","40970"
"2018-06-08","41000","41880","41000","41590","2209600","41590"
"2018-06-11","41460","41850","40800","41640","1451600","41640"
"2018-06-12","41800","41800","40950","41710","1742100","41710"
