7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1991-01-04","18500","18700","18500","18700","2000","13851.9"
"1991-01-09","15500","16300","15500","16300","6000","12074.1"
"1991-01-10","16500","16500","16500","16500","4000","12222.2"
"1991-01-11","17300","17300","17300","17300","2000","12814.8"
"1991-01-14","17300","17400","17300","17400","9000","12888.9"
"1991-01-18","18200","18400","18200","18300","10000","13555.6"
"1991-01-21","18800","18800","18500","18500","5000","13703.7"
"1991-01-22","18500","18500","18500","18500","1000","13703.7"
"1991-01-24","18100","18200","18100","18200","2000","13481.5"
"1991-01-25","18300","18500","18300","18500","2000","13703.7"
"1991-01-28","18400","18600","18400","18600","2000","13777.8"
"1991-01-30","20000","20700","20000","20600","9000","15259.3"
"1991-01-31","20800","20800","20600","20600","5000","15259.3"
"1991-02-04","20000","20600","20000","20600","2000","15259.3"
"1991-02-05","21100","22000","21100","22000","9000","16296.3"
"1991-02-06","22000","22000","21300","21300","11000","15777.8"
"1991-02-07","21300","21300","21300","21300","1000","15777.8"
"1991-02-08","21500","22000","21500","21900","5000","16222.2"
"1991-02-12","22300","22500","22300","22500","7000","16666.7"
"1991-02-13","22600","23000","22600","23000","9000","17037"
"1991-02-14","22900","23400","22900","23100","16000","17111.1"
"1991-02-15","23100","23100","23000","23000","2000","17037"
"1991-02-18","23500","23500","23500","23500","3000","17407.4"
"1991-02-19","23500","23500","23000","23000","11000","17037"
"1991-02-20","23200","23200","23000","23000","5000","17037"
"1991-02-21","22600","22900","22600","22800","6000","16888.9"
"1991-02-22","23000","23000","22500","22500","119000","16666.7"
"1991-02-25","22700","22700","22000","22400","4000","16592.6"
"1991-02-26","22600","22600","22400","22400","4000","16592.6"
"1991-02-27","22000","22000","22000","22000","1000","16296.3"
"1991-02-28","22200","22300","22000","22000","109000","16296.3"
"1991-03-01","21600","21800","21600","21800","53000","16148.2"
"1991-03-04","21800","21900","21800","21900","103000","16222.2"
"1991-03-05","22300","22300","22200","22200","3000","16444.5"
"1991-03-06","22300","22600","22300","22600","3000","16740.8"
"1991-03-07","22500","22800","22500","22800","2000","16888.9"
"1991-03-08","23000","23000","23000","23000","14000","17037"
"1991-03-11","22900","23000","22900","23000","17000","17037"
"1991-03-12","22900","22900","22700","22900","8000","16963"
"1991-03-13","22700","22700","22700","22700","201000","16814.8"
"1991-03-14","22500","22500","22500","22500","202000","16666.7"
"1991-03-15","22400","23000","22400","23000","245000","17037"
"1991-03-18","22900","23000","22900","23000","3000","17037"
"1991-03-19","23100","23100","23000","23000","11000","17037"
"1991-03-20","22600","22700","22400","22700","21000","16814.8"
"1991-03-22","22500","22700","21800","21800","608000","16148.2"
"1991-03-25","21800","21800","20900","20900","644000","15481.5"
"1991-03-26","15700","17000","15700","17000","26000","17000"
"1991-03-27","16900","17100","16700","17100","24000","17100"
"1991-03-28","17300","17600","17100","17100","26000","17100"
"1991-03-29","17300","17400","17000","17400","21000","17400"
"1991-04-01","17600","17600","17400","17400","10000","17400"
"1991-04-02","16900","16900","16700","16700","6000","16700"
"1991-04-03","17000","17100","16900","16900","6000","16900"
"1991-04-04","16800","16800","16800","16800","1000","16800"
"1991-04-05","16900","16900","16900","16900","1000","16900"
"1991-04-08","16800","17000","16700","16900","9000","16900"
"1991-04-09","16700","16700","16500","16500","2000","16500"
"1991-04-10","16300","16500","16300","16500","2000","16500"
"1991-04-11","16600","16600","16400","16400","5000","16400"
"1991-04-12","16300","16300","16300","16300","1000","16300"
"1991-04-15","16700","17100","16700","16800","10000","16800"
"1991-04-16","17100","17100","16900","16900","7000","16900"
"1991-04-17","17100","17100","17100","17100","2000","17100"
"1991-04-18","17200","17200","16900","16900","7000","16900"
"1991-04-19","16800","16900","16800","16900","4000","16900"
"1991-04-22","17100","17100","16800","17000","8000","17000"
"1991-04-23","16800","16800","16500","16500","6000","16500"
"1991-04-24","16600","16600","16600","16600","2000","16600"
"1991-04-25","16400","16400","16000","16000","3000","16000"
"1991-04-26","15900","16000","15800","15800","8000","15800"
"1991-04-30","15800","15800","15800","15800","1000","15800"
"1991-05-01","16100","16100","16000","16000","3000","16000"
"1991-05-02","16600","16600","16600","16600","1000","16600"
"1991-05-08","16000","16000","16000","16000","1000","16000"
"1991-05-10","15900","15900","15700","15700","2000","15700"
"1991-05-13","15900","15900","15700","15700","2000","15700"
"1991-05-14","15600","15800","15400","15400","7000","15400"
"1991-05-15","14800","14900","14700","14900","8000","14900"
"1991-05-16","14500","14500","14400","14400","3000","14400"
"1991-05-17","14300","14400","14300","14400","4000","14400"
"1991-05-20","14400","14400","14000","14000","9000","14000"
"1991-05-21","13900","13900","13800","13900","4000","13900"
"1991-05-22","14600","14600","14600","14600","2000","14600"
"1991-05-23","14700","14700","14600","14600","3000","14600"
"1991-05-27","14200","14200","14100","14100","2000","14100"
"1991-05-28","14000","14000","14000","14000","1000","14000"
"1991-05-29","13800","14000","13800","14000","120000","14000"
"1991-05-30","14100","14100","14100","14100","1000","14100"
"1991-05-31","14100","14100","14000","14000","2000","14000"
"1991-06-03","14100","14100","13900","13900","9000","13900"
"1991-06-04","14100","14100","13900","13900","4000","13900"
"1991-06-05","14100","14100","13900","13900","8000","13900"
"1991-06-06","13700","13700","13400","13400","24000","13400"
"1991-06-07","13200","13300","13100","13300","17000","13300"
"1991-06-10","12900","12900","12900","12900","1000","12900"
"1991-06-11","12600","12600","12600","12600","1000","12600"
"1991-06-12","13800","13800","13600","13600","17000","13600"
"1991-06-13","13700","14400","13600","14400","22000","14400"
"1991-06-14","14600","14600","14500","14500","11000","14500"
"1991-06-17","14500","14500","14400","14400","3000","14400"
"1991-06-18","13900","13900","13900","13900","1000","13900"
"1991-06-19","13600","13600","13300","13300","4000","13300"
"1991-06-20","13300","13300","13300","13300","3000","13300"
"1991-06-21","13500","13700","13500","13700","9000","13700"
"1991-06-24","13700","13700","13200","13200","10000","13200"
"1991-06-25","13200","13900","13100","13900","7000","13900"
"1991-06-26","13900","13900","13800","13800","4000","13800"
"1991-06-27","13400","13500","13400","13400","4000","13400"
"1991-06-28","13500","13700","13500","13600","6000","13600"
"1991-07-01","13700","13800","13600","13800","5000","13800"
"1991-07-02","13600","13600","13600","13600","1000","13600"
"1991-07-03","13500","13500","13300","13300","4000","13300"
"1991-07-04","13100","13100","13000","13000","6000","13000"
"1991-07-05","13100","13100","12900","12900","8000","12900"
"1991-07-08","13000","13000","12600","12600","10000","12600"
"1991-07-09","12600","12600","11900","12600","9000","12600"
"1991-07-10","12700","12700","12700","12700","1000","12700"
"1991-07-11","13000","13000","13000","13000","2000","13000"
"1991-07-16","13100","13100","13100","13100","1000","13100"
"1991-07-17","13300","13300","13300","13300","1000","13300"
"1991-07-18","13100","13100","12900","13100","16000","13100"
"1991-07-19","13300","13300","13100","13100","9000","13100"
"1991-07-22","13100","13100","12900","12900","7000","12900"
"1991-07-23","12800","12800","12800","12800","1000","12800"
"1991-07-24","12800","13100","12800","13100","4000","13100"
"1991-08-05","13700","13800","13000","13000","36100","13000"
"1991-08-06","13200","13200","12800","13000","14700","13000"
"1991-08-07","13000","13000","12800","13000","5600","13000"
"1991-08-08","12800","12900","12500","12500","4700","12500"
"1991-08-09","12300","12300","11900","12000","11700","12000"
"1991-08-12","11900","11900","11000","11300","14700","11300"
"1991-08-13","11100","11200","10800","10900","25000","10900"
"1991-08-14","11100","11600","11000","11500","22800","11500"
"1991-08-15","11500","11500","11100","11100","17900","11100"
"1991-08-16","11100","11100","10900","11000","185500","11000"
"1991-08-19","10900","10900","9900","10000","43100","10000"
"1991-08-20","10100","10400","9900","10400","69900","10400"
"1991-08-21","10500","11100","10400","11000","114400","11000"
"1991-08-22","11400","11500","11300","11300","71100","11300"
"1991-08-23","11200","11300","11100","11100","17700","11100"
"1991-08-26","11200","11200","10900","10900","16100","10900"
"1991-08-27","11100","11300","11000","11300","13900","11300"
"1991-08-28","11400","11400","11200","11400","31400","11400"
"1991-08-29","11500","11900","11500","11800","37100","11800"
"1991-08-30","11900","11900","11700","11700","23600","11700"
"1991-09-02","11900","12300","11700","12300","59800","12300"
"1991-09-03","12200","12300","11900","12100","20700","12100"
"1991-09-04","12100","12200","12000","12100","19200","12100"
"1991-09-05","12000","12500","12000","12500","11000","12500"
"1991-09-06","12400","12800","12300","12600","57900","12600"
"1991-09-09","12900","13300","12900","13000","1056700","13000"
"1991-09-10","13000","13000","12700","12900","841800","12900"
"1991-09-11","12800","13000","12600","12800","20100","12800"
"1991-09-12","13000","13300","13000","13300","56500","13300"
"1991-09-13","13300","13600","13300","13600","72600","13600"
"1991-09-17","13800","13900","13600","13800","33500","13800"
"1991-09-18","13900","13900","13600","13800","78900","13800"
"1991-09-19","13500","13900","13300","13900","145500","13900"
"1991-09-20","13800","13900","13600","13800","26400","13800"
"1991-09-24","13700","13800","13500","13500","96700","13500"
"1991-09-25","13700","14200","13700","14200","49400","14200"
"1991-09-26","14300","14400","14000","14400","28700","14400"
"1991-09-27","14400","14500","14200","14400","47000","14400"
"1991-09-30","14500","14500","14200","14400","11500","14400"
"1991-10-01","14200","14400","14100","14300","45700","14300"
"1991-10-02","14100","14300","14100","14200","9900","14200"
"1991-10-03","14100","14800","14100","14500","57200","14500"
"1991-10-04","14400","14400","14000","14000","12600","14000"
"1991-10-07","14100","14100","13800","13800","10800","13800"
"1991-10-08","13600","14100","13500","13800","20200","13800"
"1991-10-09","13900","14000","13600","13600","27500","13600"
"1991-10-11","13800","13900","13700","13900","8300","13900"
"1991-10-14","13700","13700","13500","13600","3500","13600"
"1991-10-15","13600","13600","13400","13600","8100","13600"
"1991-10-16","13400","13500","13300","13500","4800","13500"
"1991-10-17","13500","13900","13500","13900","20600","13900"
"1991-10-18","13800","13800","13400","13600","25800","13600"
"1991-10-21","13500","13700","13400","13400","3800","13400"
"1991-10-22","13300","13300","13300","13300","2200","13300"
"1991-10-23","13600","13800","13500","13500","55000","13500"
"1991-10-24","13700","14300","13600","14300","31200","14300"
"1991-10-25","14300","14600","14100","14100","40200","14100"
"1991-10-28","14300","14400","14100","14100","11800","14100"
