7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2012-01-04","10810","10980","10770","10960","25200","10960"
"2012-01-05","10980","10980","10730","10730","16000","10730"
"2012-01-06","10750","10770","10600","10630","14300","10630"
"2012-01-10","10870","10870","10510","10540","16100","10540"
"2012-01-11","10490","10540","10410","10420","15000","10420"
"2012-01-12","10430","10580","10420","10460","12200","10460"
"2012-01-13","10460","10460","10160","10340","18500","10340"
"2012-01-16","10300","10500","10290","10360","11200","10360"
"2012-01-17","10340","10420","10280","10360","9000","10360"
"2012-01-18","10330","10330","10080","10090","24400","10090"
"2012-01-19","10100","10300","10020","10270","20400","10270"
"2012-01-20","10440","10730","10430","10710","17400","10710"
"2012-01-23","10630","10780","10590","10640","10300","10640"
"2012-01-24","10770","10850","10700","10700","5700","10700"
"2012-01-25","10770","10880","10650","10860","15800","10860"
"2012-01-26","10740","10860","10720","10790","11500","10790"
"2012-01-27","10030","10340","10030","10260","53100","10260"
"2012-01-30","10250","10310","10150","10160","22800","10160"
"2012-01-31","10160","10390","10120","10270","12800","10270"
"2012-02-01","10320","10370","10230","10250","9400","10250"
"2012-02-02","10350","10500","10310","10390","11200","10390"
"2012-02-03","10420","10460","10380","10390","10200","10390"
"2012-02-06","10490","10550","10350","10370","9100","10370"
"2012-02-07","10410","10670","10410","10580","19200","10580"
"2012-02-08","10640","10700","10550","10700","27100","10700"
"2012-02-09","10760","10950","10760","10920","15800","10920"
"2012-02-10","10930","10930","10750","10800","10600","10800"
"2012-02-13","10850","10850","10740","10760","7600","10760"
"2012-02-14","10680","10800","10630","10760","8400","10760"
"2012-02-15","10830","11300","10780","11280","36800","11280"
"2012-02-16","11430","11820","11330","11430","65100","11430"
"2012-02-17","11730","11740","11530","11630","18200","11630"
"2012-02-20","11930","12050","11630","11680","21600","11680"
"2012-02-21","11660","11700","11410","11490","11400","11490"
"2012-02-22","11450","11830","11430","11830","29100","11830"
"2012-02-23","11920","12320","11890","12240","29900","12240"
"2012-02-24","12320","12490","12240","12490","33900","12490"
"2012-02-27","12990","13000","12630","12650","38400","12650"
"2012-02-28","12400","12500","12170","12350","38100","12350"
"2012-02-29","12410","12560","12090","12090","31000","12090"
"2012-03-01","12160","12240","11940","12000","28200","12000"
"2012-03-02","12200","12200","11780","11820","20500","11820"
"2012-03-05","11700","11760","11490","11490","22000","11490"
"2012-03-06","11540","11550","11320","11320","15600","11320"
"2012-03-07","11100","11170","11040","11160","34600","11160"
"2012-03-08","11460","11460","11300","11300","26100","11300"
"2012-03-09","11450","11790","11310","11690","153300","11690"
"2012-03-12","11830","11960","11430","11540","19200","11540"
"2012-03-13","11590","11740","11470","11480","14300","11480"
"2012-03-14","11720","12060","11720","12030","29900","12030"
"2012-03-15","12220","12490","12090","12370","23600","12370"
"2012-03-16","12370","12580","12230","12550","29300","12550"
"2012-03-19","12750","12750","12410","12500","12100","12500"
"2012-03-21","12670","12680","12500","12600","21800","12600"
"2012-03-22","12600","13080","12600","13070","29000","13070"
"2012-03-23","12700","12760","12650","12650","32500","12650"
"2012-03-26","12690","12720","12500","12570","27500","12570"
"2012-03-27","12700","12800","12610","12740","27100","12740"
"2012-03-28","12650","12780","12500","12780","24400","12780"
"2012-03-29","12780","12780","12630","12660","18000","12660"
"2012-03-30","12600","12730","12460","12460","14400","12460"
"2012-04-02","12600","12650","12550","12570","26800","12570"
"2012-04-03","12640","12640","12290","12350","9700","12350"
"2012-04-04","12400","12460","12200","12240","14100","12240"
"2012-04-05","12020","12450","12020","12360","10500","12360"
"2012-04-06","12280","12280","12100","12130","25400","12130"
"2012-04-09","12000","12120","12000","12030","16900","12030"
"2012-04-10","12050","12220","12000","12040","6800","12040"
"2012-04-11","11850","11960","11820","11920","11500","11920"
"2012-04-12","11920","11930","11720","11810","9400","11810"
"2012-04-13","11820","11840","11460","11540","23700","11540"
"2012-04-16","11240","11350","11200","11210","17700","11210"
"2012-04-17","11210","11350","11120","11170","10400","11170"
"2012-04-18","11340","11400","11270","11270","12600","11270"
"2012-04-19","11170","11370","11170","11310","13000","11310"
"2012-04-20","11300","11520","11300","11400","15800","11400"
"2012-04-23","11400","11650","11300","11370","10200","11370"
"2012-04-24","11280","11360","11140","11190","14500","11190"
"2012-04-25","11290","11320","11230","11250","5400","11250"
"2012-04-26","11320","11470","11300","11470","6800","11470"
"2012-04-27","11260","11340","10700","10840","46000","10840"
"2012-05-01","10780","10830","10320","10330","15700","10330"
"2012-05-02","10450","10560","10370","10460","10000","10460"
"2012-05-07","10160","10250","10050","10120","20600","10120"
"2012-05-08","10100","10200","9950","10040","15700","10040"
"2012-05-09","9980","10120","9870","10100","23200","10100"
"2012-05-10","10080","10400","10080","10360","13500","10360"
"2012-05-11","10230","10290","9800","9800","30500","9800"
"2012-05-14","9750","9900","9700","9800","17300","9800"
"2012-05-15","9650","9670","9390","9390","19100","9390"
"2012-05-16","9300","9560","9290","9410","18200","9410"
"2012-05-17","9430","9530","9350","9490","11800","9490"
"2012-05-18","9260","9380","9120","9290","23800","9290"
"2012-05-21","9180","9270","9170","9180","9000","9180"
"2012-05-22","9290","9460","9290","9320","7900","9320"
"2012-05-23","9250","9280","9050","9060","36600","9060"
"2012-05-24","8910","9070","8710","8990","27700","8990"
"2012-05-25","8980","9070","8750","8870","16900","8870"
"2012-05-28","8940","9220","8940","9190","13400","9190"
