7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1993-01-04","10700","10900","10600","10700","7900","10700"
"1993-01-05","10800","10900","10600","10700","28900","10700"
"1993-01-06","10600","10900","10600","10900","7700","10900"
"1993-01-07","10800","10900","10600","10800","26500","10800"
"1993-01-08","10700","10800","10600","10700","14500","10700"
"1993-01-11","10700","10700","10500","10700","23800","10700"
"1993-01-12","10600","10800","10600","10700","20300","10700"
"1993-01-13","10800","10800","10700","10700","2900","10700"
"1993-01-14","10600","10700","10500","10600","5000","10600"
"1993-01-18","10400","10400","10300","10400","8500","10400"
"1993-01-19","10400","10400","10100","10200","10200","10200"
"1993-01-20","10300","10400","10200","10200","34800","10200"
"1993-01-21","10300","10500","10300","10500","22200","10500"
"1993-01-22","10400","10400","10200","10200","6400","10200"
"1993-01-25","10300","10400","10200","10400","9200","10400"
"1993-01-26","10400","10400","10300","10400","9200","10400"
"1993-01-27","10400","10500","10300","10400","64700","10400"
"1993-01-28","10200","10500","10200","10500","16400","10500"
"1993-01-29","10500","10500","10300","10500","5800","10500"
"1993-02-01","10400","10400","10300","10300","60000","10300"
"1993-02-02","10300","10500","10300","10400","63100","10400"
"1993-02-03","10400","10400","10300","10400","15400","10400"
"1993-02-04","10400","10400","10200","10200","518500","10200"
"1993-02-05","10200","10400","10200","10300","538500","10300"
"1993-02-08","10300","10300","10200","10300","18200","10300"
"1993-02-09","10300","10300","10200","10200","1000","10200"
"1993-02-10","10300","10300","10100","10300","4400","10300"
"1993-02-12","10300","10600","10300","10500","66900","10500"
"1993-02-15","10500","10600","10300","10600","14200","10600"
"1993-02-16","10400","10500","10400","10400","8700","10400"
"1993-02-17","10200","10400","10200","10400","22800","10400"
"1993-02-18","10400","10500","10400","10500","8900","10500"
"1993-02-19","10400","10400","10300","10400","9200","10400"
"1993-02-22","10300","10300","10100","10100","609100","10100"
"1993-02-23","10000","10100","9950","9980","19500","9980"
"1993-02-24","9890","9890","9700","9730","7600","9730"
"1993-02-25","9750","9870","9750","9790","10400","9790"
"1993-02-26","9790","9930","9750","9930","18900","9930"
"1993-03-01","9830","9850","9800","9800","57000","9800"
"1993-03-02","9890","9890","9770","9890","7200","9890"
"1993-03-03","9900","9940","9750","9790","9300","9790"
"1993-03-04","9720","9740","9600","9670","13500","9670"
"1993-03-05","9600","9630","9560","9590","12200","9590"
"1993-03-08","9620","10100","9600","9900","48100","9900"
"1993-03-09","9990","10300","9990","10200","17900","10200"
"1993-03-10","10000","10200","9950","9960","9700","9960"
"1993-03-11","10000","10200","9980","9980","10000","9980"
"1993-03-12","9880","9970","9790","9870","53200","9870"
"1993-03-15","9790","9850","9750","9750","5300","9750"
"1993-03-16","9780","9800","9730","9730","3700","9730"
"1993-03-17","9720","9720","9600","9700","36100","9700"
"1993-03-18","9700","9850","9660","9700","42800","9700"
"1993-03-19","9800","9860","9650","9680","30500","9680"
"1993-03-22","9680","9750","9490","9490","20600","9490"
"1993-03-23","9410","9580","9410","9490","15600","9490"
"1993-03-24","9500","9630","9500","9510","16200","9510"
"1993-03-25","9530","9650","9530","9650","14400","9650"
"1993-03-26","9690","9700","9550","9600","28200","9600"
"1993-03-29","9750","9750","9560","9600","20900","9600"
"1993-03-30","9700","9970","9700","9800","101200","9800"
"1993-03-31","9890","9890","9710","9800","27700","9800"
"1993-04-01","9800","9840","9610","9840","16400","9840"
"1993-04-02","9740","9800","9470","9580","46600","9580"
"1993-04-05","9510","9520","9360","9430","34400","9430"
"1993-04-06","9400","9530","9380","9470","29700","9470"
"1993-04-07","9520","9970","9520","9860","28500","9860"
"1993-04-08","9950","10500","9880","10400","50200","10400"
"1993-04-09","10500","10500","10200","10200","43100","10200"
"1993-04-12","10300","10400","10000","10000","24000","10000"
"1993-04-13","10200","10300","10200","10200","19400","10200"
"1993-04-14","10400","10500","10200","10200","37600","10200"
"1993-04-15","10300","10400","10200","10300","33100","10300"
