7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1999-01-04","11000","11000","10650","10650","4800","10650"
"1999-01-05","10510","10530","10320","10400","5500","10400"
"1999-01-06","10230","10230","9960","9990","6800","9990"
"1999-01-07","10290","10290","9950","9950","5500","9950"
"1999-01-08","9770","9900","9720","9800","4200","9800"
"1999-01-11","9940","9970","9880","9900","2500","9900"
"1999-01-12","9880","9930","9800","9890","4100","9890"
"1999-01-13","9920","10000","9900","9970","3400","9970"
"1999-01-14","9940","9950","9800","9810","11300","9810"
"1999-01-18","9850","9850","9800","9800","900","9800"
"1999-01-19","9800","9800","9750","9760","900","9760"
"1999-01-20","9770","9970","9770","9920","300","9920"
"1999-01-21","10200","10400","10130","10290","2500","10290"
"1999-01-22","10400","10400","10300","10300","3600","10300"
"1999-01-26","10200","10300","10150","10160","4000","10160"
"1999-01-27","10200","10300","10150","10150","2100","10150"
"1999-01-28","10000","10300","10000","10150","700","10150"
"1999-01-29","10430","10800","10430","10800","5000","10800"
"1999-02-01","10800","10900","10800","10900","300","10900"
"1999-02-02","10610","10800","10610","10800","900","10800"
"1999-02-03","10400","10500","10400","10500","500","10500"
"1999-02-04","10210","10210","10030","10030","300","10030"
"1999-02-05","10200","10270","10140","10150","1300","10150"
"1999-02-08","10100","10100","10000","10100","3000","10100"
"1999-02-09","10100","10100","10100","10100","200","10100"
"1999-02-10","10000","10010","9980","10010","1500","10010"
"1999-02-12","10000","10000","9950","9950","500","9950"
"1999-02-15","10050","10050","10000","10000","200","10000"
"1999-02-16","9970","10220","9970","10220","3100","10220"
"1999-02-17","10500","10600","10500","10600","1000","10600"
"1999-02-18","10650","10690","10650","10650","3000","10650"
"1999-02-19","10650","10660","10650","10650","3300","10650"
"1999-02-22","10580","10800","10580","10800","700","10800"
"1999-02-23","10600","10700","10580","10700","2400","10700"
"1999-02-24","10600","10650","10450","10650","1900","10650"
"1999-02-25","10180","10220","10150","10190","4400","10190"
"1999-02-26","10190","10280","10130","10180","3600","10180"
"1999-03-01","9980","9980","9480","9480","12200","9480"
"1999-03-02","9380","9500","9280","9290","8800","9290"
"1999-03-03","9390","9430","9300","9380","11000","9380"
"1999-03-04","9470","9470","9200","9270","11800","9270"
"1999-03-05","9470","9500","9300","9430","17700","9430"
"1999-03-08","9840","9960","9800","9900","4000","9900"
"1999-03-09","9940","10000","9850","9910","3700","9910"
"1999-03-10","9990","10000","9640","9690","6700","9690"
"1999-03-11","9860","10200","9850","10000","4100","10000"
"1999-03-12","10200","10200","9850","9850","51800","9850"
"1999-03-15","9890","9990","9800","9860","4600","9860"
"1999-03-16","9900","9950","9830","9940","21000","9940"
"1999-03-17","10000","10190","9900","10190","6600","10190"
"1999-03-18","10070","10120","10030","10090","10900","10090"
"1999-03-19","10190","10190","9940","10000","5200","10000"
"1999-03-23","10090","10200","10000","10050","4300","10050"
"1999-03-24","10000","10000","9950","9980","4700","9980"
"1999-03-25","10000","10150","9950","9950","1000","9950"
"1999-03-26","10010","10200","10010","10100","4200","10100"
"1999-03-29","10180","10180","10000","10050","2000","10050"
"1999-03-30","10140","10180","10010","10140","3100","10140"
