7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1984-01-09","4380","4380","4380","4380","1000","1638.6"
"1984-01-20","4140","4140","4140","4140","11000","1548.8"
"1984-01-21","4140","4140","4140","4140","13000","1548.8"
"1984-01-25","4650","4700","4650","4700","2000","1758.3"
"1984-01-26","4840","4850","4800","4850","5000","1814.4"
"1984-01-30","5250","5250","5040","5040","4000","1885.5"
"1984-01-31","4950","4950","4800","4800","3000","1795.7"
"1984-02-01","4700","4700","4650","4650","13000","1739.6"
"1984-02-22","4160","4160","4160","4160","1000","1556.3"
"1984-03-01","4350","4350","4350","4350","1000","1627.4"
"1984-03-02","4350","4350","4350","4350","1000","1627.4"
"1984-03-13","4680","4680","4680","4680","2000","1750.8"
"1984-03-28","4930","4930","4930","4930","1000","1844.4"
"1984-03-29","5000","5000","5000","5000","5000","1870.6"
"1984-03-31","5300","5500","5300","5500","3000","2057.6"
"1984-04-02","5400","5550","5400","5550","3000","2076.3"
"1984-04-05","5640","5640","5640","5640","1000","2110"
"1984-04-06","5640","5640","5640","5640","1000","2110"
"1984-04-07","5540","5540","5540","5540","3000","2072.6"
"1984-04-10","5970","5970","5970","5970","1000","2233.5"
"1984-04-11","5950","5950","5950","5950","3000","2226"
"1984-04-19","5730","5730","5650","5650","2000","2113.7"
"1984-05-01","5690","5690","5690","5690","3000","2128.7"
"1984-05-17","5650","5650","5650","5650","8000","2113.7"
"1984-05-24","5500","5520","5500","5520","2000","2065.1"
"1984-05-29","5560","5560","5550","5550","16000","2076.3"
"1984-06-16","3930","3930","3930","3930","25000","1470.3"
"1984-07-13","3880","3880","3880","3880","3000","1451.6"
"1984-08-07","4070","4070","4070","4070","50000","1522.6"
"1984-08-18","4530","4530","4530","4530","10000","1694.7"
"1984-09-04","4390","4390","4390","4390","1000","1642.4"
"1984-09-12","4550","4550","4550","4550","5000","1702.2"
"1984-10-02","4400","4400","4400","4400","1000","1646.1"
"1984-10-05","4350","4350","4350","4350","2000","1627.4"
"1984-11-15","4100","4100","4100","4100","1000","1533.9"
"1984-11-17","4230","4230","4230","4230","1000","1582.5"
"1984-12-01","3850","3850","3850","3850","1000","1440.3"
"1984-12-15","4500","4500","4500","4500","10000","1683.5"
"1984-12-17","4650","4650","4650","4650","1000","1739.6"
"1984-12-19","4760","4800","4750","4750","25000","1777"
"1984-12-20","4700","4700","4700","4700","2000","1758.3"
