7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","9370","9370","9050","9180","93600","9180"
"2013-01-07","9210","9210","8950","8950","49100","8950"
"2013-01-08","8920","8920","8680","8690","52100","8690"
"2013-01-09","8570","8690","8500","8540","57000","8540"
"2013-01-10","8590","8660","8570","8580","33000","8580"
"2013-01-11","8710","9090","8680","9060","54300","9060"
"2013-01-15","9210","9310","8750","9020","54900","9020"
"2013-01-16","9170","9250","9010","9140","27000","9140"
"2013-01-17","9250","9470","9250","9370","68500","9370"
"2013-01-18","9550","9600","9340","9380","41600","9380"
"2013-01-21","9420","9420","9210","9240","28300","9240"
"2013-01-22","9220","9270","9100","9120","25200","9120"
"2013-01-23","9050","9270","9040","9200","22600","9200"
"2013-01-24","9080","9170","9040","9060","32100","9060"
"2013-01-25","9190","9280","9180","9260","12200","9260"
"2013-01-28","9360","10000","9260","9590","103700","9590"
"2013-01-29","9740","9740","9380","9550","49500","9550"
"2013-01-30","9520","9600","9350","9350","58000","9350"
"2013-01-31","9050","9080","8680","8870","146900","8870"
"2013-02-01","9000","9010","8770","8820","51700","8820"
"2013-02-04","8860","8900","8720","8780","42300","8780"
"2013-02-05","8740","8800","8690","8710","64700","8710"
"2013-02-06","8790","8900","8670","8800","43200","8800"
"2013-02-07","8830","8940","8770","8900","30200","8900"
"2013-02-08","8910","8910","8710","8710","42700","8710"
"2013-02-12","8750","8810","8670","8680","29700","8680"
"2013-02-13","8630","8760","8600","8710","15800","8710"
"2013-02-14","8700","8700","8610","8620","13200","8620"
"2013-02-15","8600","8600","8340","8440","38600","8440"
"2013-02-18","8520","8810","8510","8810","27400","8810"
"2013-02-19","8720","8810","8680","8680","23700","8680"
"2013-02-20","8720","8810","8720","8760","21900","8760"
"2013-02-21","8740","8950","8740","8870","30300","8870"
"2013-02-22","8790","8980","8790","8900","29600","8900"
"2013-02-25","9050","9080","8970","9040","28700","9040"
"2013-02-26","8980","9130","8970","9080","19100","9080"
"2013-02-27","9000","9020","8890","8910","19600","8910"
"2013-02-28","8950","9050","8920","8990","16300","8990"
"2013-03-01","8990","9110","8940","9030","17000","9030"
"2013-03-04","9100","9230","9100","9210","15300","9210"
"2013-03-05","9290","9310","9250","9250","12000","9250"
"2013-03-06","9310","9320","9170","9180","26200","9180"
