7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1992-01-06","11900","12300","11900","12000","6100","12000"
"1992-01-07","12300","12300","12000","12200","4200","12200"
"1992-01-08","12000","12100","11700","11700","8000","11700"
"1992-01-09","11700","11800","11600","11800","5000","11800"
"1992-01-10","11800","11800","11500","11500","13900","11500"
"1992-01-13","11500","11500","11200","11200","16100","11200"
"1992-01-14","11200","11300","11100","11200","15600","11200"
"1992-01-16","11300","11400","10700","10800","23500","10800"
"1992-01-17","10600","10600","10200","10300","12200","10300"
"1992-01-20","10400","10400","9950","10200","18500","10200"
"1992-01-21","10000","10100","9900","9980","44700","9980"
"1992-01-22","10100","10600","9980","10500","17200","10500"
"1992-01-23","10800","10800","10400","10500","11200","10500"
"1992-01-24","10300","10500","10300","10500","5500","10500"
"1992-01-27","10500","10500","10300","10300","6200","10300"
"1992-01-28","10400","10400","10200","10300","5400","10300"
"1992-01-29","10400","10600","10400","10600","8300","10600"
"1992-01-30","10700","11400","10700","11100","23000","11100"
"1992-01-31","11600","11800","11500","11600","24700","11600"
"1992-02-03","11800","11900","11400","11800","25100","11800"
"1992-02-04","11500","11700","11400","11500","8000","11500"
"1992-02-05","11500","11600","11400","11400","15700","11400"
"1992-02-06","11600","11800","11600","11800","5100","11800"
"1992-02-07","11800","11800","11400","11400","13100","11400"
"1992-02-10","11300","11400","11200","11300","9600","11300"
"1992-02-12","11300","11300","11000","11000","6700","11000"
"1992-02-13","11200","11200","11000","11000","6500","11000"
"1992-02-14","11100","11100","10700","10700","4000","10700"
"1992-02-17","10700","11000","10500","10800","10100","10800"
"1992-02-18","10800","10900","10700","10900","9400","10900"
"1992-02-19","10800","10800","10600","10700","5900","10700"
"1992-02-20","10700","10700","10500","10700","8600","10700"
"1992-02-21","10700","11100","10700","11100","9800","11100"
"1992-02-24","11000","11000","10600","10600","6500","10600"
"1992-02-25","10700","10700","10500","10600","13000","10600"
"1992-02-26","10800","10800","10600","10700","8900","10700"
"1992-02-27","10700","10700","10600","10700","5100","10700"
"1992-02-28","10700","10800","10500","10700","28200","10700"
"1992-03-02","10700","10700","10500","10500","14700","10500"
"1992-03-03","10600","10600","10300","10500","13000","10500"
"1992-03-04","10500","10500","10400","10500","5400","10500"
"1992-03-05","10600","10700","10400","10400","14800","10400"
"1992-03-06","10500","10500","10400","10500","24100","10500"
"1992-03-10","10500","10500","10300","10300","9000","10300"
"1992-03-11","10400","10400","10200","10400","10100","10400"
"1992-03-12","10200","10400","10000","10200","12500","10200"
"1992-03-13","10100","10400","10100","10100","17100","10100"
"1992-03-16","10100","10300","10100","10100","14200","10100"
"1992-03-17","10200","10200","10000","10100","411900","10100"
"1992-03-18","10000","10100","9800","9890","430400","9890"
"1992-03-19","9900","10100","9900","10000","140000","10000"
"1992-03-23","10200","10200","10000","10200","423100","10200"
"1992-03-24","10200","10200","9910","9950","424600","9950"
"1992-03-25","9900","10100","9850","10000","23700","10000"
"1992-03-26","9980","10000","9750","9750","26500","9750"
"1992-03-27","9800","9800","9610","9610","14000","9610"
"1992-03-30","9510","9610","9500","9560","11100","9560"
"1992-03-31","9610","9710","9590","9600","9900","9600"
"1992-04-01","9610","9650","9400","9400","44700","9400"
"1992-04-02","9390","9390","8600","9060","39900","9060"
"1992-04-03","8960","9060","8620","8880","31900","8880"
"1992-04-06","9080","9190","9010","9030","9300","9030"
"1992-04-07","9060","9140","9020","9020","14100","9020"
"1992-04-08","8980","8980","8600","8690","21400","8690"
"1992-04-09","8690","8990","8690","8830","29600","8830"
