7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-01-04","14450","14470","14400","14440","22600","14440"
"2006-01-05","14580","15320","14520","15190","92000","15190"
"2006-01-06","15180","15190","14900","15030","71000","15030"
"2006-01-10","15560","15620","15140","15140","68900","15140"
"2006-01-11","15150","15260","14920","15190","50500","15190"
"2006-01-12","15360","15430","15330","15430","24600","15430"
"2006-01-13","15290","15830","15260","15830","61300","15830"
"2006-01-16","15810","16060","15710","15920","49100","15920"
"2006-01-17","15720","15720","15320","15400","51300","15400"
"2006-01-18","15340","15340","14830","14930","51700","14930"
"2006-01-19","14870","15320","14870","15190","45500","15190"
"2006-01-20","15990","16680","15710","16000","50800","16000"
"2006-01-23","15800","16470","15660","16180","36600","16180"
"2006-01-24","16190","16440","16090","16250","38800","16250"
"2006-01-25","16010","16330","16010","16220","31200","16220"
"2006-01-26","16390","16440","16260","16310","19100","16310"
"2006-01-27","16460","17000","16450","16720","53300","16720"
"2006-01-30","17070","17130","16840","16900","36300","16900"
"2006-01-31","16230","16370","16080","16120","64700","16120"
"2006-02-01","16250","16280","15880","16010","32500","16010"
"2006-02-02","16410","16410","16260","16320","42100","16320"
"2006-02-03","16190","16190","16060","16140","23200","16140"
"2006-02-06","16140","16150","15950","16060","27900","16060"
"2006-02-07","16260","16380","16110","16270","40400","16270"
"2006-02-08","16370","16690","16000","16120","52400","16120"
"2006-02-09","16290","16390","16100","16140","24500","16140"
"2006-02-10","16190","16240","15980","16200","22700","16200"
"2006-02-13","16000","16050","15500","15850","35400","15850"
"2006-02-14","15860","16050","15270","15790","33600","15790"
"2006-02-15","15700","15780","15480","15690","29000","15690"
"2006-02-16","15740","16490","15720","16390","62500","16390"
"2006-02-17","16510","16790","16270","16580","76700","16580"
"2006-02-20","16720","17300","16630","17010","56500","17010"
"2006-02-21","16900","17550","16630","17540","54900","17540"
"2006-02-22","17340","17500","17160","17220","35600","17220"
"2006-02-23","17770","17900","17570","17710","31400","17710"
"2006-02-24","17320","17600","17300","17400","30300","17400"
"2006-02-27","17600","17800","17500","17520","38200","17520"
"2006-02-28","17550","17550","17000","17260","32900","17260"
"2006-03-01","17250","17350","17120","17210","14900","17210"
"2006-03-02","17110","17110","16520","16640","44500","16640"
"2006-03-03","16530","16530","16140","16390","31300","16390"
"2006-03-06","16470","16980","16460","16950","39500","16950"
"2006-03-07","16960","16980","16750","16930","18700","16930"
"2006-03-08","16730","16730","16170","16350","28700","16350"
"2006-03-09","16440","17200","16440","17160","36600","17160"
"2006-03-10","16850","17060","16850","16950","166600","16950"
"2006-03-13","16980","17300","16950","17170","30800","17170"
"2006-03-14","17290","17290","16950","17030","19500","17030"
"2006-03-15","16660","16800","16550","16710","36200","16710"
"2006-03-16","16760","16900","16580","16710","23400","16710"
"2006-03-17","16890","17100","16770","17040","17700","17040"
"2006-03-20","17070","17300","17040","17180","19900","17180"
"2006-03-22","16870","16880","16620","16730","54500","16730"
"2006-03-23","16910","16960","16700","16700","25500","16700"
"2006-03-24","17100","17120","17000","17040","45700","17040"
"2006-03-27","17350","17470","17140","17200","44600","17200"
"2006-03-28","17000","17250","16810","17090","29400","17090"
"2006-03-29","17090","17140","17010","17010","30300","17010"
"2006-03-30","17250","17580","17230","17350","42100","17350"
"2006-03-31","17510","17580","17290","17460","25200","17460"
"2006-04-03","17630","17630","17500","17510","28600","17510"
"2006-04-04","17330","18250","17250","17520","186200","17520"
"2006-04-05","17670","17680","17260","17340","77800","17340"
"2006-04-06","17450","17470","17130","17170","47500","17170"
"2006-04-07","17380","17700","17370","17650","52800","17650"
"2006-04-10","17500","17570","17380","17510","31400","17510"
"2006-04-11","17550","17560","17400","17450","20400","17450"
"2006-04-12","17300","17310","17010","17020","66600","17020"
"2006-04-13","17190","17260","17070","17220","29000","17220"
"2006-04-14","17210","17210","17100","17150","25100","17150"
"2006-04-17","17220","17220","17010","17030","27700","17030"
"2006-04-18","17040","17400","17030","17400","36300","17400"
"2006-04-19","17400","17460","17260","17300","23800","17300"
"2006-04-20","17400","17540","17360","17420","29000","17420"
"2006-04-21","17490","17500","17290","17500","22300","17500"
"2006-04-24","17190","17190","16930","16930","46600","16930"
"2006-04-25","16790","16790","16550","16680","38400","16680"
"2006-04-26","16650","16890","16560","16850","23200","16850"
"2006-04-27","17050","17060","16530","16660","30500","16660"
"2006-04-28","16710","16820","16540","16800","33500","16800"
"2006-05-01","16810","17110","16740","17110","35100","17110"
"2006-05-02","17020","17520","16860","17520","70200","17520"
"2006-05-08","17660","17830","17640","17790","44800","17790"
"2006-05-09","17830","17880","17790","17850","28700","17850"
"2006-05-10","17910","18130","17900","17980","47800","17980"
"2006-05-11","18050","18660","17910","18450","61000","18450"
"2006-05-12","18290","18840","18200","18500","48500","18500"
"2006-05-15","18560","19970","18560","19160","53500","19160"
"2006-05-16","18960","19000","18530","18590","29800","18590"
"2006-05-17","18990","19500","18930","19470","54400","19470"
"2006-05-18","18970","19500","18970","19420","33300","19420"
"2006-05-19","19500","20000","19380","19950","36600","19950"
"2006-05-22","19750","19750","18690","18800","58100","18800"
"2006-05-23","18400","18800","18250","18380","38400","18380"
"2006-05-24","18450","18990","18330","18920","25600","18920"
"2006-05-25","18520","18580","17310","17540","84900","17540"
"2006-05-26","18540","19440","18540","19240","83800","19240"
"2006-05-29","19040","19150","18930","19020","30000","19020"
"2006-05-30","18850","19600","18820","19410","35100","19410"
"2006-05-31","19480","19490","19030","19060","39200","19060"
"2006-06-01","19000","19000","18750","18950","26900","18950"
"2006-06-02","19410","19650","19000","19490","51000","19490"
"2006-06-05","19290","19360","19130","19240","21500","19240"
"2006-06-06","19000","19040","18660","18830","35200","18830"
"2006-06-07","18510","18580","18360","18470","27500","18470"
"2006-06-08","18430","18990","18350","18960","63400","18960"
"2006-06-09","18800","18960","18410","18700","104100","18700"
"2006-06-12","18700","18700","18000","18270","45300","18270"
"2006-06-13","18150","18450","18090","18390","32100","18390"
"2006-06-14","18190","18950","18190","18740","42500","18740"
"2006-06-15","18880","19140","18880","18990","25400","18990"
"2006-06-16","19490","19720","19430","19720","41700","19720"
"2006-06-19","19680","19680","19270","19480","18300","19480"
"2006-06-20","19360","19580","19150","19350","24700","19350"
"2006-06-21","19280","19280","18610","18860","34000","18860"
"2006-06-22","19120","19500","19090","19500","30100","19500"
"2006-06-23","19140","19250","19090","19230","15100","19230"
"2006-06-26","19140","19230","19070","19170","16500","19170"
"2006-06-27","19210","19210","19100","19190","22600","19190"
"2006-06-28","18990","19130","18760","18990","21600","18990"
"2006-06-29","19190","19230","19100","19100","36700","19100"
"2006-06-30","19500","19580","19160","19310","32800","19310"
"2006-07-03","19120","19210","19110","19120","14900","19120"
"2006-07-04","19500","20350","19500","20280","56500","20280"
"2006-07-05","20030","20200","19550","19720","55600","19720"
"2006-07-06","19820","21000","19730","20520","80300","20520"
"2006-07-07","20490","20600","20150","20420","29900","20420"
"2006-07-10","20450","21090","20390","20910","38400","20910"
"2006-07-11","20770","21010","20510","20990","30000","20990"
"2006-07-12","20570","20700","20240","20390","38300","20390"
"2006-07-13","20300","20800","20300","20660","41900","20660"
"2006-07-14","20600","20600","20000","20050","62700","20050"
