7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-05","35200","35800","35200","35600","20600","35600"
"2009-01-06","36350","36700","36000","36600","32600","36600"
"2009-01-07","36500","36700","36100","36200","34800","36200"
"2009-01-08","35200","35250","34050","34050","47900","34050"
"2009-01-09","33900","34650","33300","33800","37900","33800"
"2009-01-13","32600","34450","32600","34100","40200","34100"
"2009-01-14","34050","34400","33250","33300","20700","33300"
"2009-01-15","32500","33500","32500","32750","55900","32750"
"2009-01-16","32750","32850","32100","32600","41700","32600"
"2009-01-19","33200","33200","32400","32650","22300","32650"
"2009-01-20","32500","32700","32050","32300","10500","32300"
"2009-01-21","31900","31950","30150","30200","31600","30200"
"2009-01-22","31000","31200","30350","31100","27200","31100"
"2009-01-23","30700","30700","30000","30050","30800","30050"
"2009-01-26","29920","30250","29000","29070","29800","29070"
"2009-01-27","29670","30800","29550","30650","22000","30650"
"2009-01-28","30750","31750","30600","31700","17100","31700"
"2009-01-29","32600","32600","31700","32050","55100","32050"
"2009-01-30","28270","28340","28050","28050","216500","28050"
"2009-02-02","27150","27150","25300","26140","172100","26140"
"2009-02-03","26440","27800","26160","27030","49100","27030"
"2009-02-04","27640","27800","27200","27610","24200","27610"
"2009-02-05","27690","27920","27310","27360","32400","27360"
"2009-02-06","27960","27990","27420","27600","17900","27600"
"2009-02-09","28200","28200","27050","27130","21100","27130"
"2009-02-10","27430","27560","27010","27210","23700","27210"
"2009-02-12","26770","27900","26630","27640","24300","27640"
"2009-02-13","27760","28580","27510","28100","31900","28100"
"2009-02-16","28110","28460","27830","28380","17700","28380"
"2009-02-17","28080","28160","27920","27970","13200","27970"
"2009-02-18","27900","27900","27100","27130","31600","27130"
"2009-02-19","27250","27260","26220","26400","45000","26400"
"2009-02-20","26100","26100","25050","25420","50500","25420"
"2009-02-23","24820","25820","24680","25490","33700","25490"
"2009-02-24","24970","26650","24920","26650","27700","26650"
"2009-02-25","27850","27850","27150","27650","34900","27650"
"2009-02-26","27490","28090","27450","27610","37300","27610"
"2009-02-27","28150","28450","28000","28250","28600","28250"
"2009-03-02","27650","28320","27540","27710","31200","27710"
"2009-03-03","27000","27850","27000","27110","28000","27110"
"2009-03-04","27100","27430","26600","27350","20700","27350"
"2009-03-05","27620","27840","26890","26940","65900","26940"
"2009-03-06","26340","26640","25920","26090","48800","26090"
"2009-03-09","26380","26890","26290","26630","23600","26630"
"2009-03-10","26500","26710","26370","26660","15800","26660"
"2009-03-11","27670","28540","27510","28490","44600","28490"
"2009-03-12","28300","28310","27120","27980","53700","27980"
"2009-03-13","28280","29050","28260","28730","213400","28730"
"2009-03-16","29330","29800","29300","29600","39900","29600"
"2009-03-17","29600","30000","29560","29870","29800","29870"
"2009-03-18","29880","30100","28200","28620","61900","28620"
"2009-03-19","28550","28800","27850","28200","31600","28200"
"2009-03-23","28380","29360","27980","29360","47500","29360"
"2009-03-24","30300","30750","29970","30650","54800","30650"
"2009-03-25","30500","30650","30250","30550","27800","30550"
"2009-03-26","29830","30250","29830","30250","23400","30250"
"2009-03-27","30450","30800","29760","29810","30600","29810"
"2009-03-30","29790","29840","28240","28260","37800","28260"
"2009-03-31","28270","29200","28250","28550","36000","28550"
"2009-04-01","28850","29080","28480","29040","28400","29040"
"2009-04-02","29640","29980","29490","29820","31300","29820"
"2009-04-03","30500","30800","29500","29740","44100","29740"
"2009-04-06","29890","30100","29430","29500","26900","29500"
"2009-04-07","29950","29950","29370","29790","34600","29790"
"2009-04-08","29400","29400","28530","28580","35500","28580"
"2009-04-09","28870","29000","27840","28020","64000","28020"
"2009-04-10","28290","28440","27620","28060","60600","28060"
"2009-04-13","27830","27930","26420","26740","80100","26740"
"2009-04-14","26440","27070","25970","26910","65300","26910"
"2009-04-15","27010","27630","26800","27630","37600","27630"
"2009-04-16","27930","28230","27800","28020","38800","28020"
"2009-04-17","28040","28040","26090","26130","114900","26130"
"2009-04-20","26120","26120","24960","25110","119900","25110"
"2009-04-21","25000","25880","24820","25420","69200","25420"
"2009-04-22","25720","26290","25640","26280","49400","26280"
"2009-04-23","26490","26880","26030","26770","39400","26770"
"2009-04-24","26170","26690","25900","25900","47200","25900"
"2009-04-27","26080","26220","25750","25870","44000","25870"
"2009-04-28","25930","26390","25570","25600","41200","25600"
"2009-04-30","25850","26300","25850","26140","43500","26140"
"2009-05-01","26440","26710","26440","26550","40400","26550"
"2009-05-07","27340","27990","25800","26820","90600","26820"
"2009-05-08","26000","26390","25830","26070","100100","26070"
"2009-05-11","26210","26230","25500","26050","81400","26050"
"2009-05-12","25990","26330","25920","26260","40900","26260"
"2009-05-13","26210","26670","26160","26610","46200","26610"
"2009-05-14","26310","26520","26110","26200","50100","26200"
"2009-05-15","26140","26270","25700","25920","57500","25920"
"2009-05-18","25720","25720","25230","25240","74900","25240"
"2009-05-19","25840","25900","25580","25740","53400","25740"
"2009-05-20","25790","25870","25500","25710","50300","25710"
"2009-05-21","25620","26020","25540","26000","36900","26000"
"2009-05-22","25700","25740","25300","25400","50300","25400"
"2009-05-25","25400","25470","25210","25380","60200","25380"
"2009-05-26","25260","25400","25220","25330","43900","25330"
"2009-05-27","25650","25720","25610","25630","41400","25630"
"2009-05-28","25590","25830","25490","25700","39200","25700"
"2009-05-29","25760","25760","25630","25630","28900","25630"
"2009-06-01","25820","26600","25820","26580","40400","26580"
"2009-06-02","26880","26880","26400","26440","31000","26440"
"2009-06-03","26650","26690","25770","25770","33700","25770"
"2009-06-04","25650","25680","25260","25360","45500","25360"
"2009-06-05","25410","25490","25220","25300","26900","25300"
"2009-06-08","25590","26000","25330","25760","36800","25760"
"2009-06-09","25800","26300","25650","26090","34700","26090"
"2009-06-10","26240","26420","26070","26360","29900","26360"
"2009-06-11","26150","26150","25770","25880","23700","25880"
"2009-06-12","25660","25660","25350","25490","162000","25490"
"2009-06-15","25460","25670","25380","25460","33400","25460"
"2009-06-16","25540","25670","25490","25550","35500","25550"
"2009-06-17","25530","25940","25440","25850","26500","25850"
"2009-06-18","25900","25980","25550","25930","21600","25930"
"2009-06-19","25960","26040","25850","25860","17300","25860"
"2009-06-22","25610","25740","25550","25610","20100","25610"
"2009-06-23","25530","25540","25380","25410","23100","25410"
"2009-06-24","25450","25730","25340","25630","20900","25630"
"2009-06-25","25840","25970","25660","25840","17700","25840"
"2009-06-26","25880","25910","25680","25800","14700","25800"
"2009-06-29","25910","26700","25900","26300","47600","26300"
"2009-06-30","26800","26810","26400","26710","27700","26710"
"2009-07-01","26580","26800","26380","26620","19300","26620"
"2009-07-02","26800","26800","26440","26510","21600","26510"
"2009-07-03","26240","26290","26120","26230","15500","26230"
"2009-07-06","26240","26320","26130","26150","15100","26150"
"2009-07-07","26130","26450","26130","26380","19800","26380"
"2009-07-08","26190","26660","26190","26660","35800","26660"
"2009-07-09","26280","26320","26120","26150","31000","26150"
"2009-07-10","26250","26250","25800","25890","52300","25890"
"2009-07-13","25750","26300","25700","25760","29000","25760"
"2009-07-14","26060","26060","25610","25890","27700","25890"
"2009-07-15","25990","25990","25640","25650","10300","25650"
"2009-07-16","25840","26090","25830","25840","16000","25840"
"2009-07-17","25770","25900","25570","25640","18800","25640"
"2009-07-21","25640","26050","25570","25750","15200","25750"
"2009-07-22","25850","26090","25800","26010","13000","26010"
"2009-07-23","26090","26370","26090","26190","16100","26190"
"2009-07-24","26580","26640","26440","26630","32600","26630"
"2009-07-27","26740","26880","26600","26670","17000","26670"
"2009-07-28","26460","26620","26440","26620","10700","26620"
"2009-07-29","26200","26240","25920","26020","18800","26020"
"2009-07-30","26320","27000","26320","26830","36400","26830"
"2009-07-31","25700","25700","25260","25320","90600","25320"
"2009-08-03","25600","25830","25570","25690","30700","25690"
"2009-08-04","25650","25650","25460","25520","40600","25520"
"2009-08-05","25520","25550","25400","25410","20200","25410"
"2009-08-06","25510","25580","25330","25460","17300","25460"
"2009-08-07","25470","25470","25330","25420","24600","25420"
"2009-08-10","25600","25620","25460","25500","24600","25500"
"2009-08-11","25600","25630","25420","25420","21300","25420"
"2009-08-12","25350","25370","25270","25320","29000","25320"
"2009-08-13","25360","25430","25320","25350","11800","25350"
"2009-08-14","25350","25440","25320","25420","27600","25420"
"2009-08-17","25190","25190","24690","24720","53800","24720"
"2009-08-18","24580","24670","24220","24480","43200","24480"
"2009-08-19","24490","24900","24430","24700","15600","24700"
"2009-08-20","24620","24620","24300","24500","26600","24500"
"2009-08-21","24300","24300","23500","23750","66700","23750"
"2009-08-24","24050","24340","24040","24080","25200","24080"
"2009-08-25","24090","24200","23980","24020","21200","24020"
"2009-08-26","24080","24210","24010","24210","12600","24210"
"2009-08-27","24290","24450","24190","24390","28300","24390"
"2009-08-28","24500","25130","24500","25100","32400","25100"
"2009-08-31","25410","25480","25000","25270","23200","25270"
"2009-09-01","25080","25330","25050","25160","11700","25160"
"2009-09-02","24560","25090","24560","25090","20300","25090"
"2009-09-03","24790","24950","24760","24760","14500","24760"
"2009-09-04","24710","24710","24250","24360","34100","24360"
"2009-09-07","24490","24490","24260","24380","13100","24380"
"2009-09-08","24350","24400","24280","24320","16000","24320"
