7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2001-01-04","18440","19000","18200","18950","10600","18950"
"2001-01-05","18800","19240","18660","19240","13100","19240"
"2001-01-09","18850","18990","18320","18600","3900","18600"
"2001-01-10","18620","18620","18000","18480","1700","18480"
"2001-01-11","18300","18350","17980","18350","6600","18350"
"2001-01-12","18500","18950","18460","18750","6600","18750"
"2001-01-15","18900","19100","18800","19100","8000","19100"
"2001-01-16","19100","19200","18980","19070","8900","19070"
"2001-01-17","18400","18400","17950","18030","12100","18030"
"2001-01-18","18380","18420","18200","18370","9900","18370"
"2001-01-19","18450","18450","17800","17900","7000","17900"
"2001-01-22","17830","17830","16970","17590","11300","17590"
"2001-01-23","17590","18300","17510","18210","5000","18210"
"2001-01-24","18610","18650","18500","18550","10400","18550"
"2001-01-25","18470","18470","18100","18440","4000","18440"
"2001-01-26","18300","18300","17940","18200","1600","18200"
"2001-01-29","18500","18750","18470","18750","7600","18750"
"2001-01-30","18910","19100","18450","18570","9600","18570"
"2001-01-31","18640","18860","18400","18770","9700","18770"
"2001-02-01","18610","18850","18610","18840","2900","18840"
"2001-02-02","18820","18820","18700","18710","1300","18710"
"2001-02-05","18810","19100","18720","18960","11000","18960"
"2001-02-06","18610","18630","18250","18500","6700","18500"
"2001-02-07","18730","18830","18690","18730","2000","18730"
"2001-02-08","19010","19030","18850","18930","8100","18930"
"2001-02-09","18900","19100","18810","18990","2800","18990"
"2001-02-13","18960","19180","18920","19080","3800","19080"
"2001-02-14","18680","19280","18680","19050","5500","19050"
"2001-02-15","19250","19550","19250","19270","7900","19270"
"2001-02-16","19430","19980","19410","19750","15600","19750"
"2001-02-19","19390","19800","19390","19800","6000","19800"
"2001-02-20","19750","19760","19320","19400","10700","19400"
"2001-02-21","19250","19250","18990","19100","11600","19100"
"2001-02-22","18970","19060","18860","18910","3300","18910"
"2001-02-23","18830","19030","18810","18940","13300","18940"
"2001-02-26","18960","19490","18720","19450","8500","19450"
"2001-02-27","19200","19370","19200","19370","3400","19370"
"2001-02-28","19100","19220","19000","19100","3200","19100"
"2001-03-01","19080","19100","18500","18680","6800","18680"
"2001-03-02","18150","18190","18030","18100","4600","18100"
"2001-03-05","18070","18450","18020","18120","4600","18120"
"2001-03-06","18320","18390","18160","18390","6400","18390"
"2001-03-07","19080","19470","18950","19400","4000","19400"
"2001-03-08","19690","19690","19200","19450","5800","19450"
"2001-03-09","19650","19890","19400","19880","128700","19880"
"2001-03-12","19470","19580","19410","19450","3600","19450"
"2001-03-13","18930","19440","18810","19400","4400","19400"
"2001-03-14","19410","19800","19400","19400","2900","19400"
"2001-03-15","19000","19900","18910","19840","5300","19840"
"2001-03-16","20000","21840","20000","21310","20000","21310"
"2001-03-19","20810","21600","20700","21410","6600","21410"
"2001-03-21","20870","21260","20640","20830","14300","20830"
"2001-03-22","20810","20900","20000","20050","16200","20050"
"2001-03-23","19790","20310","19790","20050","10000","20050"
"2001-03-26","20900","20990","20100","20990","16800","20990"
"2001-03-27","21190","21190","20370","20370","9700","20370"
"2001-03-28","20500","20500","20100","20240","5400","20240"
"2001-03-29","19950","20430","19790","19940","4100","19940"
"2001-03-30","20260","20800","20260","20460","6000","20460"
"2001-04-02","20600","20980","20370","20940","14700","20940"
"2001-04-03","20990","21820","20990","21820","11300","21820"
"2001-04-04","21580","21980","21420","21600","19500","21600"
"2001-04-05","21840","21840","21600","21600","2600","21600"
"2001-04-06","21790","21790","21190","21190","6800","21190"
"2001-04-09","21030","21180","20370","20550","6100","20550"
"2001-04-10","20600","20600","19900","19900","13500","19900"
