7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2003-01-06","11550","11610","11470","11580","20600","11580"
"2003-01-07","11880","11880","11370","11480","16300","11480"
"2003-01-08","11100","11110","10880","10890","20100","10890"
"2003-01-09","10750","10780","10510","10560","25500","10560"
"2003-01-10","10800","10890","10680","10810","33000","10810"
"2003-01-14","10820","10860","10710","10770","14300","10770"
"2003-01-15","10760","10790","10660","10760","15400","10760"
"2003-01-16","10800","10850","10640","10790","21000","10790"
"2003-01-17","10690","10790","10590","10590","23000","10590"
"2003-01-20","10300","10490","10100","10490","63700","10490"
"2003-01-21","10500","10830","10500","10750","24800","10750"
"2003-01-22","10530","10580","10310","10450","30600","10450"
"2003-01-23","10650","10810","10490","10760","23900","10760"
"2003-01-24","10710","10810","10610","10650","26300","10650"
"2003-01-27","10590","10630","10480","10480","36300","10480"
"2003-01-28","10390","10450","10200","10210","26700","10210"
"2003-01-29","10320","10320","9970","10050","32900","10050"
"2003-01-30","10010","10030","9450","9480","52900","9480"
"2003-01-31","9280","9450","9230","9390","38800","9390"
"2003-02-03","9420","9800","9300","9800","36900","9800"
"2003-02-04","10000","10000","9860","9880","20000","9880"
"2003-02-05","9880","9970","9800","9800","19700","9800"
"2003-02-06","9990","10010","9910","9910","15100","9910"
"2003-02-07","9960","9990","9880","9930","21700","9930"
"2003-02-10","10000","10030","9910","9960","22500","9960"
"2003-02-12","10000","10110","10000","10000","46200","10000"
"2003-02-13","10000","10060","9960","10030","17200","10030"
"2003-02-14","10040","10060","9980","9990","62300","9990"
"2003-02-17","10020","10060","9890","9910","18000","9910"
"2003-02-18","9910","10030","9880","9950","37900","9950"
"2003-02-19","9990","10050","9890","9900","11600","9900"
"2003-02-20","9890","9890","9730","9750","10700","9750"
"2003-02-21","9850","9860","9650","9770","14600","9770"
"2003-02-24","9830","9830","9670","9770","7000","9770"
"2003-02-25","9470","9470","9240","9340","20400","9340"
"2003-02-26","9310","9400","9280","9400","12700","9400"
"2003-02-27","9240","9240","8990","9130","23000","9130"
"2003-02-28","9390","9450","9300","9370","15400","9370"
"2003-03-03","9400","9480","9300","9470","17400","9470"
"2003-03-04","9410","9420","9090","9360","22100","9360"
"2003-03-05","9230","9250","9040","9090","22300","9090"
"2003-03-06","9020","9100","8650","8770","42800","8770"
"2003-03-07","8860","9140","8830","8990","37600","8990"
"2003-03-10","9070","9140","8980","9050","26000","9050"
"2003-03-11","8950","9080","8560","8560","19100","8560"
"2003-03-12","8760","8990","8760","8820","21300","8820"
"2003-03-13","8720","9120","8720","9100","32300","9100"
"2003-03-14","9450","9500","9280","9360","245300","9360"
"2003-03-17","9400","9640","9260","9520","32400","9520"
"2003-03-18","9710","9860","9630","9650","32500","9650"
"2003-03-19","9620","9660","9290","9640","20500","9640"
"2003-03-20","9590","9850","9550","9850","27500","9850"
"2003-03-24","9950","10210","9900","10140","52700","10140"
"2003-03-25","9840","9910","9660","9710","39300","9710"
"2003-03-26","9840","9900","9830","9870","15700","9870"
"2003-03-27","9750","9880","9750","9810","11800","9810"
"2003-03-28","9880","9920","9780","9780","11700","9780"
"2003-03-31","9770","9790","9660","9660","19700","9660"
"2003-04-01","9460","9630","9400","9420","18700","9420"
"2003-04-02","9520","9520","9120","9180","22100","9180"
"2003-04-03","9380","9560","9350","9560","20500","9560"
"2003-04-04","9540","9740","9500","9640","11300","9640"
"2003-04-07","9910","9980","9630","9730","24400","9730"
"2003-04-08","9500","9520","9320","9450","24200","9450"
"2003-04-09","9550","9670","9500","9550","21700","9550"
"2003-04-10","9360","9420","9240","9340","20200","9340"
"2003-04-11","9140","9140","8800","8840","26800","8840"
"2003-04-14","8940","9230","8940","9200","20700","9200"
