7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2008-01-04","64100","64500","62000","63500","72300","63500"
"2008-01-07","60200","61500","59600","59900","87500","59900"
"2008-01-08","59700","60500","58000","59000","80900","59000"
"2008-01-09","57500","60100","56900","59900","83700","59900"
"2008-01-10","60900","61900","60000","60000","48900","60000"
"2008-01-11","61100","61500","60000","60000","68200","60000"
"2008-01-15","61000","61200","58600","59000","58200","59000"
"2008-01-16","55900","56300","54000","54000","82000","54000"
"2008-01-17","53800","55800","49700","53200","126200","53200"
"2008-01-18","50700","55300","50200","55000","102400","55000"
"2008-01-21","54200","54800","52700","52900","39300","52900"
"2008-01-22","49900","52900","49000","50400","108800","50400"
"2008-01-23","53900","55100","52400","54500","120000","54500"
"2008-01-24","55000","55100","51800","53200","118300","53200"
"2008-01-25","55700","55700","51300","52000","113000","52000"
"2008-01-28","51000","51000","47000","47000","115100","47000"
"2008-01-29","48600","49800","47100","49550","117900","49550"
"2008-01-30","49950","51600","49600","50500","72500","50500"
"2008-01-31","48700","52700","48500","52500","111100","52500"
"2008-02-01","52300","54400","51800","53000","50200","53000"
"2008-02-04","53500","53800","50000","50300","91300","50300"
"2008-02-05","50800","51000","48100","48700","88000","48700"
"2008-02-06","46700","46850","45600","46250","96300","46250"
"2008-02-07","46250","47350","45900","46800","47400","46800"
"2008-02-08","48000","48700","46700","47350","43600","47350"
"2008-02-12","46150","47700","45950","46700","37800","46700"
"2008-02-13","48500","48800","48050","48100","41700","48100"
"2008-02-14","50100","51900","49850","51500","48500","51500"
"2008-02-15","50200","52000","50100","51700","39500","51700"
"2008-02-18","51700","52500","51000","51100","29600","51100"
"2008-02-19","51800","52300","51300","51900","28800","51900"
"2008-02-20","52700","52700","51000","51000","33000","51000"
"2008-02-21","52000","53700","51700","53400","39900","53400"
"2008-02-22","52900","54900","52600","54100","49000","54100"
"2008-02-25","55100","56200","55100","56100","50800","56100"
"2008-02-26","57400","58500","57100","57800","46300","57800"
"2008-02-27","58800","58900","56800","57000","38300","57000"
