7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1998-01-05","13000","13000","13000","13000","2800","13000"
"1998-01-06","13100","13200","13000","13200","3500","13200"
"1998-01-07","13200","13400","13100","13300","2500","13300"
"1998-01-08","13400","13600","13200","13200","13100","13200"
"1998-01-09","13000","13000","12800","12800","4000","12800"
"1998-01-12","12300","12600","12300","12500","1500","12500"
"1998-01-13","12500","12600","12400","12500","3600","12500"
"1998-01-14","12800","13200","12800","13200","55600","13200"
"1998-01-16","13200","13500","13000","13100","5700","13100"
"1998-01-19","13400","13400","13200","13200","8900","13200"
"1998-01-20","13000","13100","12900","13100","12900","13100"
"1998-01-21","13200","13200","12700","12900","9700","12900"
"1998-01-22","12700","12800","12600","12700","4700","12700"
"1998-01-23","12700","12800","12600","12600","15200","12600"
"1998-01-26","12600","12800","12500","12600","11000","12600"
"1998-01-27","12500","12800","12300","12700","16500","12700"
"1998-01-28","12800","13200","12800","13000","7500","13000"
"1998-01-29","13200","13200","12900","13200","8600","13200"
"1998-01-30","13500","13500","13300","13400","10200","13400"
"1998-02-02","13400","13400","13300","13300","10200","13300"
"1998-02-03","13300","13300","12800","12800","16200","12800"
"1998-02-04","12900","13000","12500","12700","5700","12700"
"1998-02-05","12400","12400","12100","12200","14100","12200"
"1998-02-06","12000","12000","11500","11500","10000","11500"
"1998-02-09","11400","11400","11300","11400","6200","11400"
"1998-02-10","11200","11400","11000","11400","7700","11400"
"1998-02-12","11600","11900","11400","11700","13000","11700"
"1998-02-13","11800","11800","11800","11800","4900","11800"
"1998-02-16","11800","11900","11800","11900","800","11900"
"1998-02-17","11900","11900","11800","11800","10800","11800"
"1998-02-18","12000","12100","12000","12000","8300","12000"
"1998-02-19","11800","11900","11800","11900","700","11900"
"1998-02-20","11600","11800","11600","11800","3000","11800"
"1998-02-23","11400","11500","11300","11300","2800","11300"
"1998-02-24","11300","11500","11200","11400","1600","11400"
"1998-02-25","11300","11600","11300","11600","4100","11600"
"1998-02-26","11600","11700","11600","11700","5300","11700"
"1998-02-27","11700","11700","11600","11600","1700","11600"
"1998-03-02","11600","11600","11500","11500","1700","11500"
"1998-03-03","11600","11900","11600","11800","12400","11800"
"1998-03-05","11200","11400","11100","11100","1100","11100"
"1998-03-06","11200","11200","11000","11100","13200","11100"
"1998-03-09","11200","11200","11000","11000","3200","11000"
"1998-03-10","10900","10900","10600","10600","2300","10600"
"1998-03-11","10600","10600","10200","10200","9400","10200"
"1998-03-12","10400","10500","10300","10400","9000","10400"
"1998-03-13","10400","10800","10400","10800","24300","10800"
"1998-03-16","10900","10900","10900","10900","600","10900"
"1998-03-17","10900","11000","10900","10900","3200","10900"
"1998-03-18","10900","10900","10700","10700","4000","10700"
"1998-03-19","10700","10700","10400","10500","11300","10500"
"1998-03-20","10300","10400","10200","10400","5500","10400"
"1998-03-23","10400","10400","10100","10100","7000","10100"
"1998-03-24","10100","10100","10100","10100","4300","10100"
"1998-03-25","10100","10200","10000","10100","5100","10100"
"1998-03-26","10500","10800","10500","10700","8000","10700"
"1998-03-27","11100","11400","11100","11400","2600","11400"
"1998-03-30","11500","11500","11400","11500","3700","11500"
"1998-03-31","11300","11600","11100","11600","5800","11600"
"1998-04-01","11500","11700","11500","11700","4800","11700"
"1998-04-02","11700","12100","11700","11900","7100","11900"
"1998-04-03","11900","11900","11300","11300","5000","11300"
"1998-04-06","11400","11600","11200","11600","7200","11600"
"1998-04-07","11000","11000","10800","11000","8800","11000"
"1998-04-08","11100","11600","11100","11600","4700","11600"
"1998-04-09","12100","12100","11800","11900","5800","11900"
"1998-04-10","12100","12100","11900","12000","17400","12000"
"1998-04-13","11960","12040","11960","12000","5600","12000"
"1998-04-14","11990","11990","11790","11820","3700","11820"
"1998-04-15","11870","11870","11800","11800","1200","11800"
"1998-04-16","11790","11790","11550","11550","2600","11550"
"1998-04-17","11550","11580","11550","11550","1700","11550"
"1998-04-21","11320","11500","11300","11450","1000","11450"
"1998-04-22","11450","11580","11450","11540","4400","11540"
