7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1994-01-04","7180","7300","7180","7300","21600","7300"
"1994-01-05","7300","7420","7300","7400","50500","7400"
"1994-01-06","7490","7500","7350","7360","19500","7360"
"1994-01-07","7240","7300","7180","7300","4200","7300"
"1994-01-10","7440","7440","7200","7200","14200","7200"
"1994-01-11","7250","7400","7250","7400","22300","7400"
"1994-01-12","7440","7440","7300","7400","112700","7400"
"1994-01-13","7340","7340","7060","7070","20200","7070"
"1994-01-14","7170","7190","7070","7100","42300","7100"
"1994-01-17","7090","7140","7060","7060","17800","7060"
"1994-01-18","7110","7130","7060","7060","9100","7060"
"1994-01-19","7140","7150","7070","7140","11900","7140"
"1994-01-20","7200","7200","7060","7100","14600","7100"
"1994-01-21","7000","7000","6600","6800","56900","6800"
"1994-01-24","6500","6600","6490","6510","28300","6510"
"1994-01-25","6680","6750","6650","6700","15800","6700"
"1994-01-26","6710","6710","6480","6550","26800","6550"
"1994-01-27","6620","6620","6320","6390","33400","6390"
"1994-01-28","6300","6490","6280","6490","23000","6490"
"1994-01-31","6790","6790","6550","6650","70500","6650"
"1994-02-01","6750","6750","6300","6440","49600","6440"
"1994-02-02","6290","6290","6150","6290","61400","6290"
"1994-02-03","6390","6450","6310","6450","23400","6450"
"1994-02-04","6490","6560","6450","6480","34400","6480"
"1994-02-07","6490","6550","6450","6490","36000","6490"
"1994-02-08","6670","6900","6630","6850","50700","6850"
"1994-02-09","6990","6990","6740","6810","24900","6810"
"1994-02-10","6760","6850","6740","6820","21000","6820"
"1994-02-14","6650","6650","6500","6550","23600","6550"
"1994-02-15","6350","6440","6230","6420","37500","6420"
"1994-02-16","6520","6520","6400","6450","15800","6450"
"1994-02-17","6360","6470","6360","6470","17800","6470"
"1994-02-18","6460","6470","6400","6400","10200","6400"
"1994-02-21","6340","6340","6250","6330","25200","6330"
"1994-02-22","6430","6430","6300","6340","10200","6340"
"1994-02-23","6430","6430","6380","6380","10800","6380"
"1994-02-24","6430","6470","6320","6420","32200","6420"
"1994-02-25","6350","6430","6290","6430","18400","6430"
"1994-02-28","6330","6410","6310","6350","31600","6350"
"1994-03-01","6350","6390","6330","6380","25200","6380"
"1994-03-02","6330","6400","6310","6340","16300","6340"
"1994-03-03","6330","6370","6300","6300","10900","6300"
"1994-03-04","6310","6370","6300","6370","26300","6370"
"1994-03-07","6310","6340","6280","6280","20100","6280"
"1994-03-08","6340","6380","6300","6350","28000","6350"
"1994-03-09","6350","6370","6300","6340","10400","6340"
"1994-03-10","6350","6400","6330","6380","10600","6380"
"1994-03-11","6480","6480","6330","6370","43100","6370"
"1994-03-14","6340","6380","6310","6380","18900","6380"
"1994-03-15","6340","6380","6310","6350","60300","6350"
"1994-03-16","6400","6440","6350","6390","59000","6390"
"1994-03-17","6400","6410","6380","6400","18300","6400"
"1994-03-18","6370","6410","6370","6370","29600","6370"
"1994-03-22","6470","6470","6350","6380","15100","6380"
"1994-03-23","6440","6450","6390","6410","11200","6410"
"1994-03-24","6400","6450","6380","6430","26000","6430"
"1994-03-25","6410","6450","6400","6410","14100","6410"
