7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1983-07-21","5620","5620","5260","5400","687000","2020.2"
"1983-07-22","5250","5400","5200","5370","55000","2009"
"1983-07-23","5270","5270","5050","5050","32000","1889.3"
"1983-07-25","4950","5010","4950","5000","13000","1870.6"
"1983-07-27","4800","4800","4760","4760","2000","1780.8"
"1983-07-28","4760","4760","4760","4760","1000","1780.8"
"1983-07-29","4550","4550","4550","4550","1000","1702.2"
"1983-07-30","4400","4400","4400","4400","4000","1646.1"
"1983-08-01","4350","4350","4300","4300","4000","1608.7"
"1983-08-04","4400","4400","4400","4400","2000","1646.1"
"1983-08-05","4400","4400","4400","4400","1000","1646.1"
"1983-08-06","4400","4400","4400","4400","2000","1646.1"
"1983-08-08","4250","4250","4250","4250","1000","1590"
"1983-08-09","4200","4200","4150","4150","5000","1552.6"
"1983-08-10","4100","4100","4100","4100","3000","1533.9"
"1983-08-11","4050","4100","4050","4100","2000","1533.9"
"1983-08-12","4100","4150","4100","4150","7000","1552.6"
"1983-08-15","4350","4350","4350","4350","1000","1627.4"
"1983-08-17","4320","4320","4320","4320","2000","1616.2"
"1983-08-18","4290","4300","4290","4300","2000","1608.7"
"1983-08-19","4250","4250","4250","4250","1000","1590"
"1983-08-20","4250","4250","4250","4250","1000","1590"
"1983-08-24","4150","4150","4150","4150","2000","1552.6"
"1983-08-30","3700","3700","3700","3700","1000","1384.2"
"1983-08-31","3820","3820","3820","3820","1000","1429.1"
"1983-09-14","3800","3800","3780","3780","6000","1414.1"
"1983-09-16","3650","3650","3650","3650","1000","1365.5"
"1983-09-17","3550","3550","3550","3550","1000","1328.1"
"1983-09-19","3550","3550","3500","3500","3000","1309.4"
"1983-09-20","3500","3500","3500","3500","1000","1309.4"
"1983-09-21","3650","3650","3650","3650","2000","1365.5"
"1983-09-22","3630","3630","3630","3630","3000","1358"
"1983-09-26","3600","3600","3600","3600","1000","1346.8"
"1983-09-27","3550","3550","3550","3550","3000","1328.1"
"1983-09-29","3800","3800","3800","3800","2000","1421.6"
"1983-09-30","3850","3850","3840","3840","3000","1436.6"
"1983-10-01","3770","3770","3730","3730","3000","1395.4"
"1983-10-03","3750","3750","3750","3750","1000","1402.9"
"1983-10-04","3850","3900","3850","3900","2000","1459"
"1983-10-05","4000","4050","3990","4050","3000","1515.2"
"1983-10-06","4090","4090","4090","4090","1000","1530.1"
"1983-10-07","4040","4040","4040","4040","1000","1511.4"
"1983-10-11","4000","4000","4000","4000","1000","1496.5"
"1983-10-12","3900","3900","3900","3900","1000","1459"
"1983-10-13","3900","3900","3900","3900","1000","1459"
"1983-10-14","3800","3800","3800","3800","1000","1421.6"
"1983-10-15","3850","3850","3850","3850","1000","1440.3"
"1983-10-17","3800","3800","3800","3800","1000","1421.6"
"1983-10-18","3800","3800","3800","3800","1000","1421.6"
"1983-10-22","3810","3810","3810","3810","2000","1425.4"
"1983-10-24","3830","3830","3830","3830","1000","1432.9"
"1983-10-25","3670","3670","3670","3670","1000","1373"
"1983-10-26","3740","3740","3740","3740","1000","1399.2"
"1983-10-27","3700","3700","3700","3700","1000","1384.2"
"1983-10-28","3770","3840","3770","3840","4000","1436.6"
"1983-10-29","3870","3870","3830","3830","2000","1432.9"
"1983-10-31","3830","3830","3830","3830","1000","1432.9"
"1983-11-01","3880","3880","3880","3880","1000","1451.6"
"1983-11-02","3850","3850","3850","3850","1000","1440.3"
"1983-11-04","3790","3790","3790","3790","1000","1417.9"
"1983-11-07","3740","3740","3740","3740","1000","1399.2"
"1983-11-08","3710","3710","3710","3710","1000","1388"
"1983-11-09","3900","3900","3900","3900","1000","1459"
"1983-11-10","3900","3900","3900","3900","2000","1459"
"1983-11-11","3890","3890","3890","3890","1000","1455.3"
"1983-11-14","3890","3940","3870","3940","4000","1474"
"1983-11-15","4000","4000","4000","4000","1000","1496.5"
"1983-11-16","4190","4190","4190","4190","2000","1567.5"
"1983-11-17","4200","4200","4200","4200","1000","1571.3"
"1983-11-18","4170","4170","4170","4170","1000","1560.1"
"1983-11-19","4170","4170","4170","4170","1000","1560.1"
"1983-11-21","4190","4190","4190","4190","1000","1567.5"
"1983-11-22","4180","4180","4180","4180","1000","1563.8"
"1983-11-24","4100","4100","4100","4100","1000","1533.9"
"1983-11-25","4000","4000","4000","4000","1000","1496.5"
"1983-11-26","3870","3870","3870","3870","3000","1447.8"
"1983-11-30","3700","3700","3700","3700","1000","1384.2"
"1983-12-02","3700","3700","3700","3700","8000","1384.2"
"1983-12-03","3650","3650","3650","3650","2000","1365.5"
"1983-12-05","3650","3650","3650","3650","3000","1365.5"
"1983-12-06","3800","3800","3800","3800","1000","1421.6"
"1983-12-08","3910","3910","3910","3910","1000","1462.8"
"1983-12-09","3980","3980","3980","3980","2000","1489"
"1983-12-12","3950","3950","3950","3950","2000","1477.7"
"1983-12-13","3990","3990","3990","3990","4000","1492.7"
"1983-12-15","3920","3920","3920","3920","3000","1466.5"
"1983-12-16","3950","3950","3950","3950","2000","1477.7"
"1983-12-17","3950","3950","3950","3950","5000","1477.7"
"1983-12-26","3750","3750","3750","3750","2000","1402.9"
"1983-12-28","3880","3880","3880","3880","1000","1451.6"
