7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","24540","24545","24330","24480","1437600","24480"
"2017-01-05","24555","24840","23875","24085","2546200","24085"
"2017-01-06","24000","24215","23920","24050","1443500","24050"
"2017-01-10","24490","24530","24185","24370","1725900","24370"
"2017-01-11","24650","25350","24580","25145","3224400","25145"
"2017-01-12","25300","25410","24700","25200","2581800","25200"
"2017-01-13","24900","25085","23620","23750","7589200","23750"
"2017-01-16","23300","23450","22905","23200","3675600","23200"
"2017-01-17","22945","23795","22945","23585","3212300","23585"
"2017-01-18","23515","23705","23155","23465","2830200","23465"
"2017-01-19","23285","24095","23050","23800","3607900","23800"
"2017-01-20","23815","24130","23540","23630","2092400","23630"
"2017-01-23","23520","23700","23280","23510","1208300","23510"
"2017-01-24","23440","23570","23250","23265","1106800","23265"
"2017-01-25","23500","23655","23280","23595","1193100","23595"
"2017-01-26","23600","23710","23455","23570","1453300","23570"
"2017-01-27","23630","23630","23405","23490","836000","23490"
"2017-01-30","23550","23650","23425","23565","718700","23565"
"2017-01-31","23230","23510","23100","23120","1350200","23120"
"2017-02-01","22500","22720","22005","22625","3082600","22625"
"2017-02-02","22815","22965","22450","22520","1624500","22520"
"2017-02-03","22845","23975","22820","23945","3698300","23945"
"2017-02-06","24000","24160","23570","23735","1593200","23735"
"2017-02-07","23360","23560","23200","23230","1210000","23230"
"2017-02-08","23330","23425","22905","23260","1404700","23260"
"2017-02-09","23230","23690","23050","23405","1605200","23405"
"2017-02-10","23650","23730","23355","23645","1319100","23645"
"2017-02-13","23785","23850","23550","23655","829300","23655"
"2017-02-14","23495","23575","23255","23260","1010200","23260"
"2017-02-15","23365","23480","22680","22690","1721700","22690"
"2017-02-16","22770","23150","22745","23120","1304900","23120"
"2017-02-17","23060","23420","22875","23355","1380800","23355"
"2017-02-20","23155","23205","22895","23095","808000","23095"
"2017-02-21","23120","23285","23030","23135","627300","23135"
"2017-02-22","23170","23310","23010","23310","868200","23310"
"2017-02-23","23220","23255","23060","23205","684600","23205"
"2017-02-24","23215","23800","23130","23715","1790500","23715"
"2017-02-27","23495","23875","23490","23680","1012500","23680"
"2017-02-28","23795","23825","23485","23500","1089600","23500"
"2017-03-01","23505","23520","23230","23285","1210900","23285"
"2017-03-02","23445","23450","22835","22875","2038100","22875"
"2017-03-03","22970","23830","22940","23710","4834200","23710"
"2017-03-06","23980","24515","23865","24240","3459900","24240"
"2017-03-07","24540","24920","24375","24690","3531200","24690"
"2017-03-08","25210","25320","24710","24825","3807800","24825"
"2017-03-09","25000","25045","24540","24660","2139300","24660"
"2017-03-10","24660","25040","24620","24735","2228200","24735"
"2017-03-13","24710","25010","24480","25000","1423100","25000"
"2017-03-14","25000","25070","24830","24890","1058600","24890"
"2017-03-15","24840","25030","24840","24985","1118200","24985"
"2017-03-16","24945","25195","24935","25155","1247500","25155"
"2017-03-17","25055","25635","24845","25580","2569100","25580"
"2017-03-21","26250","26555","25890","26265","4210600","26265"
"2017-03-22","26140","27645","26130","27405","6143900","27405"
"2017-03-23","27695","28070","26515","26830","6124900","26830"
"2017-03-24","26835","27220","26580","26860","2435300","26860"
"2017-03-27","26920","27170","26735","26885","1750300","26885"
"2017-03-28","26885","26895","26300","26635","2155300","26635"
"2017-03-29","26500","26840","26325","26670","1700000","26670"
"2017-03-30","26680","26755","25975","25995","1892100","25995"
"2017-03-31","25965","26385","25640","25835","2181300","25835"
"2017-04-03","25965","26785","25930","26755","1992300","26755"
"2017-04-04","26820","26980","25890","26055","2492100","26055"
"2017-04-05","26055","26430","25635","26090","1970500","26090"
"2017-04-06","26090","26530","26010","26370","2201600","26370"
"2017-04-07","26370","26370","25395","25765","2805700","25765"
"2017-04-10","25630","26030","25440","25775","1603200","25775"
"2017-04-11","25705","25875","25480","25715","1169400","25715"
"2017-04-12","25300","25675","25300","25610","1297100","25610"
"2017-04-13","25420","25675","25120","25240","1381900","25240"
"2017-04-14","25280","26240","25260","25760","2508700","25760"
"2017-04-17","26025","26660","26025","26505","2266700","26505"
"2017-04-18","26720","26900","26415","26715","2159600","26715"
"2017-04-19","26865","27375","26780","27160","3006700","27160"
"2017-04-20","27305","27555","26800","26815","2620100","26815"
"2017-04-21","27180","27345","26910","27005","2015900","27005"
"2017-04-24","27300","27515","27150","27370","1984000","27370"
"2017-04-25","27645","28015","27570","27960","2972200","27960"
"2017-04-26","28020","28020","27510","27620","2008300","27620"
"2017-04-27","27800","27800","27270","27465","1927200","27465"
"2017-04-28","27000","28260","26915","28045","5641200","28045"
"2017-05-01","28400","28460","28220","28315","2219800","28315"
"2017-05-02","28300","28460","28135","28355","1468600","28355"
"2017-05-08","28980","29365","28730","28810","3446600","28810"
"2017-05-09","28700","28975","28650","28735","1417300","28735"
"2017-05-10","28955","29500","28640","29500","2613700","29500"
"2017-05-11","29500","29710","29390","29545","1879600","29545"
"2017-05-12","29550","29760","29300","29480","1374500","29480"
"2017-05-15","29170","30140","28965","29735","2715000","29735"
"2017-05-16","29885","30260","29835","29990","2600600","29990"
"2017-05-17","29950","30680","29905","30490","2631700","30490"
