7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","12515","12550","12300","12320","572700","12320"
"2015-01-06","12040","12060","11775","11805","1047600","11805"
"2015-01-07","11800","11965","11765","11865","611300","11865"
"2015-01-08","12000","12845","11790","12135","2461700","12135"
"2015-01-09","12155","12455","12155","12205","893800","12205"
"2015-01-13","12050","12270","12015","12265","821100","12265"
"2015-01-14","12155","12200","11725","11735","959400","11735"
"2015-01-15","11845","12175","11830","12085","682300","12085"
"2015-01-16","11850","11950","11705","11930","617400","11930"
"2015-01-19","12190","12235","12070","12125","587400","12125"
"2015-01-20","12010","12230","11975","12185","428800","12185"
"2015-01-21","12125","12255","12070","12165","518500","12165"
"2015-01-22","12080","12125","11950","12060","400500","12060"
"2015-01-23","12175","12185","11965","12020","462500","12020"
"2015-01-26","11850","12110","11830","12095","455300","12095"
"2015-01-27","12185","12410","12180","12315","539600","12315"
"2015-01-28","12230","12360","12130","12300","617400","12300"
"2015-01-29","11685","11785","11140","11235","2245100","11235"
"2015-01-30","11295","11590","11140","11430","1468800","11430"
"2015-02-02","11350","11600","11345","11445","704000","11445"
"2015-02-03","11400","11445","11150","11225","720800","11225"
"2015-02-04","11350","11460","11280","11340","619600","11340"
"2015-02-05","11420","11500","11255","11290","617400","11290"
"2015-02-06","11560","11825","11500","11770","1542400","11770"
"2015-02-09","11915","11930","11630","11740","549400","11740"
"2015-02-10","11780","11825","11700","11795","302300","11795"
"2015-02-12","11930","11975","11825","11850","566400","11850"
"2015-02-13","11850","11880","11690","11740","455800","11740"
"2015-02-16","11800","11830","11645","11670","688600","11670"
"2015-02-17","11715","11850","11675","11750","434100","11750"
"2015-02-18","11830","11915","11805","11905","476500","11905"
"2015-02-19","11945","12155","11920","12055","523500","12055"
"2015-02-20","12130","12140","12015","12095","353500","12095"
"2015-02-23","12150","12175","12080","12175","458900","12175"
"2015-02-24","12125","12200","12015","12200","504500","12200"
"2015-02-25","12190","12285","12120","12235","364600","12235"
"2015-02-26","12150","12460","12135","12425","492700","12425"
"2015-02-27","12500","12920","12475","12780","1302600","12780"
"2015-03-02","12850","13020","12850","12975","638700","12975"
"2015-03-03","13035","13085","12935","13050","504000","13050"
"2015-03-04","13025","13085","12895","13005","442600","13005"
"2015-03-05","13045","13625","13005","13610","975900","13610"
"2015-03-06","13610","13910","13590","13835","1164700","13835"
"2015-03-09","13680","13930","13620","13855","644400","13855"
"2015-03-10","13835","13855","13405","13510","1014300","13510"
"2015-03-11","13310","13480","13240","13300","1088800","13300"
"2015-03-12","13320","13475","13215","13470","514900","13470"
"2015-03-13","13595","13770","13590","13700","886200","13700"
"2015-03-16","13720","14215","13710","13885","1075000","13885"
"2015-03-17","13925","14200","13760","14080","1295300","14080"
"2015-03-18","17080","17080","17080","17080","117700","17080"
"2015-03-19","20780","20785","18390","19100","8521800","19100"
"2015-03-20","18510","18595","17565","17845","3504600","17845"
"2015-03-23","18000","18800","17990","18485","2480000","18485"
"2015-03-24","18120","18235","17835","17940","1406000","17940"
"2015-03-25","17940","18735","17775","18555","1939000","18555"
"2015-03-26","18385","18750","17820","17995","2508300","17995"
"2015-03-27","18135","18240","17910","18205","979700","18205"
"2015-03-30","18000","18190","17815","18010","1044500","18010"
"2015-03-31","18160","18180","17655","17675","915700","17675"
"2015-04-01","17655","17985","17470","17835","866500","17835"
"2015-04-02","17790","17830","17455","17500","1035900","17500"
"2015-04-03","17655","18245","17580","18245","1126700","18245"
"2015-04-06","18155","18880","18100","18655","821700","18655"
"2015-04-07","18905","19280","18905","19085","1098400","19085"
"2015-04-08","19230","19290","18835","19105","869500","19105"
"2015-04-09","18935","19050","18770","18860","630200","18860"
"2015-04-10","18750","18940","18630","18910","615100","18910"
"2015-04-13","18940","19825","18840","19765","1564500","19765"
"2015-04-14","19580","19690","19250","19440","868700","19440"
"2015-04-15","19435","20045","19300","19920","1155700","19920"
"2015-04-16","19950","20720","19920","20655","1476700","20655"
"2015-04-17","20550","20595","20165","20370","1052700","20370"
"2015-04-20","20200","20430","19850","20245","561600","20245"
"2015-04-21","20385","20680","20205","20670","682900","20670"
"2015-04-22","20820","21055","20680","20915","932700","20915"
"2015-04-23","20845","20910","20275","20370","815400","20370"
"2015-04-24","20505","20885","20405","20750","661600","20750"
"2015-04-27","20550","20600","20330","20575","538400","20575"
"2015-04-28","20690","20940","20660","20785","456000","20785"
"2015-04-30","20600","20895","20275","20320","659700","20320"
"2015-05-01","20120","20545","20005","20255","772700","20255"
"2015-05-07","19755","19885","19550","19740","861400","19740"
"2015-05-08","21045","21610","20670","21155","2719000","21155"
"2015-05-11","21015","21105","20425","20595","1344200","20595"
"2015-05-12","20735","20830","20470","20805","560300","20805"
"2015-05-13","20750","22310","20670","22210","1452500","22210"
"2015-05-14","21830","23180","21675","22520","1816800","22520"
"2015-05-15","22795","23095","22445","22770","997800","22770"
"2015-05-18","22800","22850","22400","22455","844000","22455"
"2015-05-19","22265","22350","21850","22050","915100","22050"
"2015-05-20","21800","22015","21550","21795","1031300","21795"
"2015-05-21","21765","21860","21630","21630","518400","21630"
"2015-05-22","21645","21750","20920","21330","1489300","21330"
"2015-05-25","21450","21785","21195","21410","689300","21410"
"2015-05-26","21325","21505","21200","21235","525500","21235"
"2015-05-27","21370","21410","20750","20760","1014900","20760"
"2015-05-28","20820","20855","20570","20830","794100","20830"
"2015-05-29","20700","21350","20660","21120","1068600","21120"
"2015-06-01","20900","21580","20855","21485","623300","21485"
"2015-06-02","21500","21810","21035","21095","733700","21095"
"2015-06-03","20995","21250","20800","20950","515100","20950"
"2015-06-04","21000","21240","20950","21190","485100","21190"
"2015-06-05","20890","21035","20645","20880","710400","20880"
"2015-06-08","21065","21080","20760","20820","587000","20820"
"2015-06-09","20660","20675","20200","20200","675700","20200"
"2015-06-10","20500","20715","20160","20160","772200","20160"
"2015-06-11","20195","20425","19990","20000","909900","20000"
"2015-06-12","19905","20625","19835","20505","996300","20505"
"2015-06-15","20290","20650","20260","20320","470500","20320"
"2015-06-16","20490","20580","20325","20350","429100","20350"
"2015-06-17","20230","20350","19770","19875","668400","19875"
"2015-06-18","19900","20035","19515","19515","575900","19515"
"2015-06-19","19800","19910","19670","19735","336200","19735"
"2015-06-22","19905","20060","19795","20000","515800","20000"
"2015-06-23","20350","20950","20315","20950","856100","20950"
"2015-06-24","21000","21090","20765","20880","775300","20880"
"2015-06-25","20915","21745","20905","21420","984100","21420"
"2015-06-26","21490","21935","21440","21780","1209900","21780"
"2015-06-29","20985","21250","20815","20990","963500","20990"
"2015-06-30","20600","20785","20330","20470","956300","20470"
"2015-07-01","20705","21100","20705","21045","564700","21045"
"2015-07-02","21185","21485","21005","21050","623600","21050"
"2015-07-03","21035","21075","20660","20895","424800","20895"
"2015-07-06","20400","20580","20235","20235","506600","20235"
"2015-07-07","20585","20675","20285","20345","383900","20345"
"2015-07-08","20305","20585","19840","19840","982000","19840"
"2015-07-09","19500","20100","19205","19770","983600","19770"
"2015-07-10","20000","20345","19490","19515","869400","19515"
"2015-07-13","20110","20390","19320","19805","1526600","19805"
"2015-07-14","19965","20045","19625","19735","912100","19735"
"2015-07-15","19785","20445","19745","20225","949000","20225"
"2015-07-16","20435","21115","20320","21010","1034500","21010"
"2015-07-17","21345","21545","21020","21300","1078400","21300"
"2015-07-21","21100","21880","21050","21755","794800","21755"
"2015-07-22","21460","21620","21385","21470","566200","21470"
"2015-07-23","21650","21880","21605","21880","571600","21880"
"2015-07-24","21900","22100","21615","21755","647300","21755"
"2015-07-27","21400","21425","20770","20835","752000","20835"
"2015-07-28","20700","20990","20490","20725","535700","20725"
"2015-07-29","20945","20970","20500","20500","360700","20500"
"2015-07-30","22000","22450","21460","22195","1867200","22195"
"2015-07-31","22190","22300","21800","21810","758500","21810"
"2015-08-03","21770","22275","21705","22185","541500","22185"
"2015-08-04","22250","22420","22190","22320","677600","22320"
"2015-08-05","22500","23175","22425","23000","985500","23000"
"2015-08-06","23000","23180","22875","22950","799300","22950"
"2015-08-07","23200","23435","22965","23275","652600","23275"
"2015-08-10","23315","24600","23220","24600","1225500","24600"
"2015-08-11","24900","26050","24385","24685","1917400","24685"
"2015-08-12","24695","25230","23850","24320","1033400","24320"
"2015-08-13","23995","24550","23895","24205","622500","24205"
"2015-08-14","24045","24180","23550","24025","636900","24025"
"2015-08-17","24360","24895","24270","24555","539500","24555"
"2015-08-18","24490","24895","24355","24750","535500","24750"
"2015-08-19","24920","25695","24710","24800","1036400","24800"
"2015-08-20","25170","25530","24875","24915","780000","24915"
"2015-08-21","24300","24465","23580","23720","1036600","23720"
"2015-08-24","22690","23100","21765","21790","1819200","21790"
"2015-08-25","21140","23430","21070","22350","1793000","22350"
"2015-08-26","22610","23945","22610","23880","1123100","23880"
"2015-08-27","23995","24400","23275","23355","1038000","23355"
"2015-08-28","24490","24685","23700","24170","859800","24170"
"2015-08-31","24325","25250","24010","25010","1063800","25010"
"2015-09-01","24835","25170","23800","23865","1068200","23865"
"2015-09-02","23300","24535","23210","23770","859000","23770"
"2015-09-03","24180","24305","23445","23515","715200","23515"
"2015-09-04","23805","23875","22950","23175","820600","23175"
"2015-09-07","22700","23065","22460","22855","683100","22855"
"2015-09-08","23055","23295","22320","22355","725400","22355"
"2015-09-09","23300","23600","22965","23600","798100","23600"
"2015-09-10","23290","23490","22910","23405","784100","23405"
"2015-09-11","23000","23705","23000","23070","1143100","23070"
"2015-09-14","23250","23335","22715","22915","435200","22915"
"2015-09-15","23105","23175","22525","22620","714700","22620"
"2015-09-16","23000","23025","21380","21645","1004500","21645"
"2015-09-17","21800","21815","20945","21295","1271500","21295"
"2015-09-18","21360","21580","20905","21055","696200","21055"
"2015-09-24","20600","20875","20180","20180","1071400","20180"
"2015-09-25","20540","20640","20065","20510","660800","20510"
"2015-09-28","20510","20740","19995","20100","623200","20100"
"2015-09-29","19805","19980","19180","19310","781200","19310"
"2015-09-30","19710","20230","19640","20060","604900","20060"
"2015-10-01","20415","20850","20170","20710","735200","20710"
"2015-10-02","20510","21025","20295","20925","468000","20925"
"2015-10-05","21205","21495","21060","21420","534600","21420"
"2015-10-06","21800","21970","21370","21445","438200","21445"
"2015-10-07","21510","21575","20930","21085","535100","21085"
"2015-10-08","21105","21140","20755","20830","378700","20830"
"2015-10-09","21000","21400","20720","21380","495300","21380"
"2015-10-13","21390","22110","21335","22045","560600","22045"
"2015-10-14","21870","22300","21290","21370","648200","21370"
"2015-10-15","21480","22095","21310","21975","498500","21975"
"2015-10-16","22460","23145","22385","22845","900500","22845"
"2015-10-19","23175","23470","23005","23270","650600","23270"
"2015-10-20","23095","23350","22815","23300","549700","23300"
"2015-10-21","23500","23570","22955","23360","628200","23360"
"2015-10-22","23185","23465","23085","23165","306800","23165"
"2015-10-23","23700","23850","23580","23615","537700","23615"
"2015-10-26","23920","24360","23855","24010","714900","24010"
"2015-10-27","23900","23925","23210","23235","663600","23235"
"2015-10-28","22960","23190","22320","23010","703600","23010"
"2015-10-29","23600","23615","20085","20945","3983200","20945"
"2015-10-30","20300","20300","19010","19480","3939800","19480"
"2015-11-02","19305","19650","18935","19415","1909400","19415"
"2015-11-04","19695","19885","19465","19675","1258200","19675"
"2015-11-05","19800","20015","19715","19925","1040900","19925"
"2015-11-06","20100","20130","19745","20025","809800","20025"
"2015-11-09","20350","20825","20250","20820","1092100","20820"
"2015-11-10","20615","20730","20260","20400","733600","20400"
"2015-11-11","20400","20660","20370","20530","521500","20530"
"2015-11-12","20500","20500","20080","20080","792600","20080"
"2015-11-13","19970","20300","19835","20185","492900","20185"
"2015-11-16","19685","19700","19375","19450","929200","19450"
"2015-11-17","19655","19685","19235","19250","1027200","19250"
"2015-11-18","19330","19410","19030","19270","731300","19270"
"2015-11-19","19445","19445","19155","19260","567100","19260"
"2015-11-20","19250","19365","19120","19365","630200","19365"
"2015-11-24","19300","19420","19215","19325","521500","19325"
"2015-11-25","19165","19550","19160","19435","665500","19435"
"2015-11-26","19530","19865","19530","19680","516200","19680"
"2015-11-27","19665","19700","19185","19230","677000","19230"
"2015-11-30","19190","19200","18905","18905","708900","18905"
"2015-12-01","19000","19345","19000","19235","701200","19235"
"2015-12-02","19190","19385","19095","19330","444600","19330"
"2015-12-03","19260","19535","19170","19340","717600","19340"
"2015-12-04","19045","19165","18930","18980","663600","18980"
"2015-12-07","19000","19115","18870","18910","598600","18910"
"2015-12-08","18850","18960","18265","18355","867200","18355"
"2015-12-09","18300","18850","18295","18675","829800","18675"
"2015-12-10","18360","18435","18065","18215","675500","18215"
"2015-12-11","18000","18310","17900","18035","662700","18035"
"2015-12-14","17515","17685","17340","17655","631600","17655"
"2015-12-15","17345","17425","16910","16910","1304400","16910"
"2015-12-16","17130","17250","16950","17105","1025300","17105"
"2015-12-17","17330","17380","17140","17170","726600","17170"
"2015-12-18","17020","17500","16755","16775","1101800","16775"
"2015-12-21","16500","16595","16210","16520","986100","16520"
"2015-12-22","16415","16480","16160","16260","699500","16260"
"2015-12-24","16240","16565","16075","16100","963900","16100"
"2015-12-25","16095","16340","16075","16220","429600","16220"
"2015-12-28","16340","16620","16315","16450","499300","16450"
"2015-12-29","16365","17015","16365","16945","759700","16945"
"2015-12-30","17005","17160","16740","16755","467600","16755"
