7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1988-01-04","7890","7890","7890","7890","6000","3246.9"
"1988-01-27","8500","8800","8500","8800","6000","3621.4"
"1988-01-29","9010","9010","9010","9010","3000","3707.8"
"1988-02-01","8800","8800","8800","8800","1000","3621.4"
"1988-02-03","8700","8800","8700","8800","6000","3621.4"
"1988-02-04","9200","9200","9200","9200","1000","3786"
"1988-02-12","9470","9470","9470","9470","7000","3897.1"
"1988-02-19","10900","10900","10900","10900","1000","4485.6"
"1988-02-22","10200","10200","10200","10200","1000","4197.5"
"1988-02-23","10200","10200","10200","10200","1000","4197.5"
"1988-02-24","10200","10300","10200","10300","5000","4238.7"
"1988-02-25","10300","10300","10300","10300","1000","4238.7"
"1988-02-26","9300","9300","9300","9300","1000","3827.2"
"1988-02-27","9200","9200","9200","9200","1000","3786"
"1988-02-29","9200","9220","9200","9220","31000","3794.2"
"1988-03-01","9220","9270","9220","9270","2000","3814.8"
"1988-03-02","9450","9450","9450","9450","1000","3888.9"
"1988-03-03","9400","9400","9400","9400","1000","3868.3"
"1988-03-04","9370","9370","9370","9370","1000","3856"
"1988-03-05","9250","9250","9250","9250","1000","3806.6"
"1988-03-07","9200","9200","9200","9200","1000","3786"
"1988-03-08","9250","9250","9250","9250","1000","3806.6"
"1988-03-09","9100","9100","9100","9100","1000","3744.9"
"1988-03-10","9070","9070","9070","9070","1000","3732.5"
"1988-03-11","9000","9000","9000","9000","2000","3703.7"
"1988-03-14","9000","9000","8900","8900","2000","3662.6"
"1988-03-15","9100","9100","9100","9100","5000","3744.9"
"1988-03-16","9080","9080","9000","9000","6000","3703.7"
"1988-03-17","9000","9000","9000","9000","1000","3703.7"
"1988-03-18","9010","9010","9010","9010","2000","3707.8"
"1988-03-22","8970","8980","8970","8980","6000","3695.5"
"1988-03-23","8890","8890","8890","8890","1000","3658.4"
"1988-03-24","8920","8920","8920","8920","1000","3670.8"
"1988-03-25","8890","8890","8890","8890","1000","3658.4"
"1988-03-26","8900","8900","8900","8900","1000","3662.6"
"1988-03-28","8780","8780","8780","8780","1000","3613.2"
"1988-03-29","8750","8770","8750","8760","6000","3604.9"
"1988-03-30","9010","9010","9010","9010","1000","3707.8"
"1988-03-31","8900","8900","8900","8900","1000","3662.6"
"1988-04-01","8860","8860","8860","8860","1000","3646.1"
"1988-04-02","9000","9000","9000","9000","1000","3703.7"
"1988-04-04","9060","9060","9060","9060","1000","3728.4"
"1988-04-05","9130","9130","9130","9130","1000","3757.2"
"1988-04-06","9460","9460","9460","9460","1000","3893"
"1988-04-07","9390","9390","9390","9390","1000","3864.2"
"1988-04-08","9420","9420","9420","9420","1000","3876.5"
"1988-04-11","9300","9300","9300","9300","1000","3827.2"
"1988-04-12","9350","9350","9350","9350","1000","3847.7"
"1988-04-13","9530","9530","9530","9530","1000","3921.8"
"1988-04-14","9600","9600","9600","9600","1000","3950.6"
"1988-04-15","9390","9390","9390","9390","1000","3864.2"
"1988-04-18","9390","9390","9390","9390","1000","3864.2"
"1988-04-19","9200","9200","9200","9200","1000","3786"
"1988-04-20","9200","9200","9200","9200","1000","3786"
"1988-04-21","9200","9200","9150","9150","4000","3765.4"
"1988-04-22","9200","9200","9150","9150","2000","3765.4"
"1988-04-23","9220","9220","9220","9220","1000","3794.2"
"1988-04-26","9250","9250","9250","9250","1000","3806.6"
"1988-04-27","9350","9350","9350","9350","1000","3847.7"
"1988-04-28","9370","9370","9370","9370","1000","3856"
"1988-04-30","9500","9580","9500","9580","5000","3942.4"
"1988-05-02","9750","9800","9750","9800","4000","4032.9"
"1988-05-06","9800","9860","9800","9860","3000","4057.6"
"1988-05-07","9860","9860","9860","9860","1000","4057.6"
"1988-05-09","9760","9760","9760","9760","3000","4016.5"
"1988-05-10","9800","9800","9800","9800","1000","4032.9"
"1988-05-11","9700","9700","9600","9600","2000","3950.6"
"1988-05-13","9450","9450","9450","9450","1000","3888.9"
"1988-05-17","9550","9550","9550","9550","1000","3930"
"1988-05-19","9410","9410","9410","9410","1000","3872.4"
"1988-05-20","9450","9450","9450","9450","1000","3888.9"
"1988-05-24","9350","9400","9350","9400","2000","3868.3"
"1988-05-26","9380","9380","9380","9380","1000","3860.1"
"1988-05-28","9250","9250","9250","9250","1000","3806.6"
"1988-05-30","9110","9110","9110","9110","1000","3749"
"1988-06-01","9120","9120","9120","9120","1000","3753.1"
"1988-06-03","9250","9360","9250","9300","3000","3827.2"
"1988-06-07","9330","9330","9330","9330","1000","3839.5"
"1988-06-09","9250","9250","9250","9250","1000","3806.6"
"1988-06-14","9370","9370","9360","9360","9000","3851.9"
"1988-06-15","9360","9400","9320","9320","6000","3835.4"
"1988-06-16","9400","9400","9400","9400","5000","3868.3"
"1988-06-21","9810","9810","9810","9810","1000","4037"
"1988-06-22","9800","9800","9800","9800","1000","4032.9"
"1988-06-23","9800","9830","9800","9830","2000","4045.3"
"1988-06-24","10700","10700","10700","10700","6000","4403.3"
"1988-06-25","11700","11900","11700","11900","4000","4897.1"
"1988-06-27","11400","11400","11000","11000","3000","4526.8"
"1988-06-28","11200","11200","11000","11000","3000","4526.8"
"1988-06-29","10700","10700","10700","10700","3000","4403.3"
"1988-07-02","10500","10500","10500","10500","2000","4321"
"1988-07-05","10400","10400","10400","10400","7000","4279.8"
"1988-07-06","10400","10400","10400","10400","3000","4279.8"
"1988-07-11","10200","10200","10200","10200","2000","4197.5"
"1988-07-14","10000","10000","10000","10000","1000","4115.2"
"1988-07-20","9900","9900","9900","9900","5000","4074.1"
"1988-07-27","10500","10500","10500","10500","1000","4321"
"1988-07-29","11700","11700","11700","11700","1000","4814.8"
"1988-08-03","11000","11000","11000","11000","1000","4526.8"
"1988-08-10","10700","10700","10700","10700","1000","4403.3"
"1988-08-11","10700","10700","10700","10700","1000","4403.3"
"1988-08-17","10800","10800","10800","10800","1000","4444.5"
"1988-08-18","10400","10400","10400","10400","1000","4279.8"
"1988-08-24","10600","10700","10500","10700","134000","4403.3"
"1988-08-25","10700","10700","10700","10700","1000","4403.3"
"1988-08-26","10200","10200","10200","10200","1000","4197.5"
"1988-08-27","8600","8600","8600","8600","1000","4246.9"
"1988-09-09","8300","8300","8300","8300","1000","4098.8"
"1988-09-16","8150","8150","8150","8150","1000","4024.7"
"1988-09-22","7810","7810","7810","7810","2000","3856.8"
"1988-09-27","7850","7850","7850","7850","61000","3876.6"
"1988-09-28","7850","7850","7850","7850","60000","3876.6"
"1988-09-30","8000","8000","8000","8000","3000","3950.6"
"1988-10-05","7870","7870","7870","7870","2000","3886.4"
"1988-10-06","7750","7750","7750","7750","1000","3827.2"
"1988-10-07","7550","7550","7550","7550","1000","3728.4"
"1988-10-11","7600","7600","7600","7600","1000","3753.1"
"1988-10-13","7400","7400","7400","7400","2000","3654.3"
"1988-10-18","7400","7400","7400","7400","1000","3654.3"
"1988-10-26","7050","7050","7050","7050","1000","3481.5"
"1988-10-27","6950","6950","6950","6950","1000","3432.1"
"1988-10-29","7000","7010","7000","7010","2000","3461.7"
"1988-10-31","7110","7110","7110","7110","1000","3511.1"
"1988-11-02","7060","7060","7000","7000","4000","3456.8"
"1988-11-10","7000","7000","7000","7000","4000","3456.8"
"1988-11-11","7020","7020","7020","7020","1000","3466.7"
"1988-11-15","6970","7070","6970","7070","15000","3491.4"
"1988-11-22","6880","6880","6880","6880","9000","3397.5"
"1988-11-25","7200","7550","7200","7550","4000","3728.4"
"1988-11-26","7550","7650","7550","7650","14000","3777.8"
"1988-11-29","8590","8590","8500","8500","3000","4197.5"
"1988-11-30","8400","8400","8400","8400","2000","4148.2"
"1988-12-01","8400","8400","8400","8400","1000","4148.2"
"1988-12-07","8960","8960","8960","8960","2000","4424.7"
"1988-12-12","9180","9250","9180","9250","13000","4567.9"
"1988-12-13","9190","9510","9190","9510","6000","4696.3"
"1988-12-14","9610","9650","9450","9650","34000","4765.4"
"1988-12-16","9250","9250","9150","9150","2000","4518.5"
"1988-12-19","9300","9300","9200","9200","2000","4543.2"
"1988-12-21","9180","9200","9180","9200","2000","4543.2"
"1988-12-22","9100","9100","9100","9100","1000","4493.8"
"1988-12-23","9100","9200","9100","9200","3000","4543.2"
"1988-12-26","9250","9250","9250","9250","1000","4567.9"
"1988-12-27","9310","9400","9310","9400","3000","4642"
"1988-12-28","9500","9500","9500","9500","1000","4691.4"
