7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","22110","22640","22110","22530","45700","22530"
"2010-01-05","22890","23060","22800","22840","25700","22840"
"2010-01-06","23990","24570","23780","24500","47900","24500"
"2010-01-07","24850","25800","24850","25560","47400","25560"
"2010-01-08","25550","25980","25310","25650","63100","25650"
"2010-01-12","25600","26100","25580","26060","48900","26060"
"2010-01-13","25690","26010","25680","25900","35700","25900"
"2010-01-14","25860","25900","25540","25670","47800","25670"
"2010-01-15","25890","25890","25350","25630","63900","25630"
"2010-01-18","25350","25970","25350","25760","23700","25760"
"2010-01-19","25840","25840","25630","25770","25500","25770"
"2010-01-20","25820","25990","25770","25830","20000","25830"
"2010-01-21","25840","25950","25730","25840","44100","25840"
"2010-01-22","25650","25650","25310","25520","46900","25520"
"2010-01-25","25310","25790","25260","25660","15900","25660"
"2010-01-26","25580","25770","25530","25560","37400","25560"
"2010-01-27","25450","25830","25400","25680","30800","25680"
"2010-01-28","25800","26420","25800","26320","36300","26320"
"2010-01-29","26020","26020","25290","25300","25400","25300"
"2010-02-01","25250","25620","25100","25600","33100","25600"
"2010-02-02","25600","25640","25100","25170","27300","25170"
"2010-02-03","25130","25290","25130","25180","33100","25180"
"2010-02-04","25180","25460","25180","25400","11000","25400"
"2010-02-05","24810","24810","24310","24340","23200","24340"
"2010-02-08","24190","24550","24020","24380","35400","24380"
"2010-02-09","24140","24380","24080","24130","34000","24130"
"2010-02-10","24480","24480","24280","24280","18900","24280"
"2010-02-12","24530","24910","24480","24850","28800","24850"
"2010-02-15","25140","25250","24820","24830","21000","24830"
"2010-02-16","24870","24870","24440","24450","26200","24450"
"2010-02-17","24650","24880","24540","24730","25800","24730"
"2010-02-18","24830","24830","24500","24530","20800","24530"
"2010-02-19","24560","24560","24120","24190","33500","24190"
"2010-02-22","24390","24510","24270","24450","29900","24450"
"2010-02-23","24480","24610","24300","24460","42400","24460"
