7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"1986-01-04","6260","6360","6260","6360","4000","2379.4"
"1986-01-06","6400","6400","6300","6300","11000","2356.9"
"1986-01-07","6250","6250","6180","6220","7000","2327"
"1986-01-08","6200","6330","6200","6330","9000","2368.1"
"1986-01-09","6330","6410","6300","6410","18000","2398.1"
"1986-01-10","6420","6450","6420","6420","12000","2401.8"
"1986-01-13","6440","6440","6380","6380","12000","2386.8"
"1986-01-14","6430","6590","6400","6590","14000","2465.4"
"1986-01-16","6670","6770","6670","6770","8000","2532.7"
"1986-01-17","6830","7000","6800","6890","14000","2577.6"
"1986-01-18","6950","6960","6880","6910","6000","2585.1"
"1986-01-20","6830","6830","6760","6760","3000","2529"
"1986-01-21","6760","6810","6760","6810","2000","2547.7"
"1986-01-22","6910","7160","6910","7050","39000","2637.5"
"1986-01-23","7090","7600","7090","7600","43000","2843.3"
"1986-01-24","7600","7600","7410","7410","17000","2772.2"
"1986-01-25","7500","7590","7490","7590","19000","2839.5"
"1986-01-27","7740","7810","7740","7800","19000","2918.1"
"1986-01-28","7750","7750","7650","7750","18000","2899.4"
"1986-01-29","7660","7700","7400","7400","56000","2768.4"
"1986-01-30","7350","7350","7150","7300","21000","2731"
"1986-01-31","7460","7500","7360","7360","16000","2753.5"
"1986-02-01","7300","7300","7300","7300","2000","2731"
"1986-02-03","7380","7400","7370","7370","6000","2757.2"
"1986-02-04","7300","7300","7130","7130","11000","2667.4"
"1986-02-05","7000","7130","7000","7000","5000","2618.8"
"1986-02-06","7180","7180","7180","7180","1000","2686.1"
"1986-02-07","7300","7600","7300","7590","9000","2839.5"
"1986-02-10","7590","7900","7590","7900","17000","2955.5"
"1986-02-12","7990","7990","7890","7890","3000","2951.7"
"1986-02-13","7690","7690","7690","7690","2000","2876.9"
"1986-02-14","7550","7550","7550","7550","1000","2824.5"
"1986-02-15","7450","7450","7450","7450","1000","2787.1"
"1986-02-17","7310","7360","7310","7360","3000","2753.5"
"1986-02-18","7360","7400","7360","7400","3000","2768.4"
"1986-02-19","7290","7290","7290","7290","1000","2727.3"
"1986-02-20","7390","7390","7390","7390","2000","2764.7"
"1986-02-21","7300","7300","7300","7300","3000","2731"
"1986-02-22","7400","7400","7400","7400","1000","2768.4"
"1986-02-24","7270","7380","7270","7380","6000","2760.9"
"1986-02-26","7690","7700","7690","7700","3000","2880.7"
"1986-02-27","7680","7680","7610","7630","55000","2854.5"
"1986-02-28","7610","7610","7610","7610","46000","2847"
"1986-03-01","7490","7550","7490","7550","45000","2824.5"
"1986-03-03","7700","7800","7700","7800","2000","2918.1"
"1986-03-04","7740","7870","7740","7850","68000","2936.8"
"1986-03-05","7850","8360","7850","8310","118000","3108.9"
"1986-03-06","8210","8500","8210","8500","10000","3180"
"1986-03-07","8550","8700","8550","8590","58000","3213.6"
