7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","14000","14330","13920","14320","1013000","14320"
"2014-01-07","14200","14380","14060","14310","887900","14310"
"2014-01-08","14380","16050","14380","15850","3030500","15850"
"2014-01-09","15520","15530","15140","15420","1817400","15420"
"2014-01-10","15310","16150","15230","16080","2124100","16080"
"2014-01-14","15410","15755","15370","15500","1462200","15500"
"2014-01-15","15750","15880","15265","15360","1186800","15360"
"2014-01-16","15165","15410","14940","15060","1606600","15060"
"2014-01-17","15100","15270","14575","14645","1612600","14645"
"2014-01-20","11945","13800","11935","13745","10731500","13745"
"2014-01-21","13500","13695","13265","13415","3231000","13415"
"2014-01-22","13500","14080","13425","14025","3710800","14025"
"2014-01-23","14200","14440","13770","13850","2997100","13850"
"2014-01-24","14060","14090","13480","13560","2189500","13560"
"2014-01-27","13350","13535","13260","13260","1458400","13260"
"2014-01-28","13000","13105","12650","12720","2601700","12720"
"2014-01-29","12585","12885","12235","12880","2406000","12880"
"2014-01-30","13500","13850","12180","12325","5915200","12325"
"2014-01-31","12205","12560","11950","12150","2004000","12150"
"2014-02-03","11985","12395","11965","12025","1839200","12025"
"2014-02-04","11955","12165","11885","11900","3179700","11900"
"2014-02-05","12000","12135","11325","11435","3268300","11435"
"2014-02-06","11435","11775","11215","11285","2101600","11285"
"2014-02-07","11495","11500","11285","11490","1576200","11490"
"2014-02-10","11565","12130","11445","12105","1671200","12105"
"2014-02-12","12270","12385","11980","12165","1563900","12165"
"2014-02-13","12150","12205","11580","11715","1711300","11715"
"2014-02-14","11720","11925","11570","11770","1215000","11770"
"2014-02-17","11675","11965","11625","11855","748700","11855"
"2014-02-18","11915","12505","11875","12465","1106600","12465"
"2014-02-19","12335","12665","12330","12610","953700","12610"
"2014-02-20","12465","12630","12215","12245","944500","12245"
"2014-02-21","12405","12680","12400","12580","704500","12580"
"2014-02-24","12450","12790","12405","12550","832000","12550"
"2014-02-25","12630","12750","12570","12725","502900","12725"
"2014-02-26","12670","13185","12665","13000","1155700","13000"
"2014-02-27","12875","12995","12415","12490","1327800","12490"
"2014-02-28","12490","12700","12365","12555","938100","12555"
"2014-03-03","12355","12500","12160","12335","884900","12335"
"2014-03-04","12345","12655","12225","12565","812100","12565"
"2014-03-05","12765","12875","12550","12570","546000","12570"
"2014-03-06","12490","12645","12355","12600","785300","12600"
"2014-03-07","12700","12725","12525","12625","696800","12625"
"2014-03-10","12535","12565","12365","12400","615000","12400"
"2014-03-11","12330","12395","12250","12395","790800","12395"
"2014-03-12","12285","12355","12170","12250","524000","12250"
"2014-03-13","12285","12360","12215","12290","402500","12290"
"2014-03-14","12130","12280","11875","11910","1006500","11910"
"2014-03-17","11820","11985","11805","11885","383300","11885"
"2014-03-18","11960","11980","11670","11740","737900","11740"
"2014-03-19","11830","11915","11690","11690","630100","11690"
"2014-03-20","11690","11785","11535","11550","662300","11550"
"2014-03-24","11560","12435","11560","12150","1551100","12150"
"2014-03-25","12100","12325","11675","11710","1751400","11710"
"2014-03-26","11850","12295","11850","12065","1058200","12065"
"2014-03-27","11995","12000","11360","11785","1350400","11785"
"2014-03-28","11585","12020","11525","11995","759500","11995"
"2014-03-31","12120","12340","12030","12260","673600","12260"
"2014-04-01","12340","12350","12045","12150","623900","12150"
"2014-04-02","12090","12175","11870","12085","739200","12085"
"2014-04-03","12185","12210","11980","12010","616300","12010"
"2014-04-04","12010","12045","11885","11930","419800","11930"
"2014-04-07","11835","11980","11740","11835","609000","11835"
"2014-04-08","11750","11855","11595","11600","547700","11600"
"2014-04-09","11480","11525","11140","11305","899800","11305"
"2014-04-10","11425","11480","11220","11270","443800","11270"
"2014-04-11","11180","11245","11070","11120","496800","11120"
"2014-04-14","11015","11235","11015","11050","450600","11050"
"2014-04-15","11050","11075","10800","10875","650600","10875"
"2014-04-16","10945","11115","10840","11010","869500","11010"
"2014-04-17","11120","11370","11120","11165","575600","11165"
"2014-04-18","11260","11265","10980","11145","395500","11145"
"2014-04-21","11185","11340","11165","11250","306400","11250"
"2014-04-22","11190","11330","11045","11055","291200","11055"
"2014-04-23","11160","11190","11010","11135","427500","11135"
"2014-04-24","11195","11225","10970","11000","614300","11000"
"2014-04-25","10920","11045","10610","10755","976400","10755"
"2014-04-28","10755","10810","10640","10700","399700","10700"
"2014-04-30","10670","10840","10625","10740","570000","10740"
"2014-05-01","10685","10870","10675","10860","442800","10860"
"2014-05-02","10990","11180","10930","10970","630600","10970"
"2014-05-07","10830","10895","10580","10670","823500","10670"
"2014-05-08","10555","10670","10070","10595","1701000","10595"
"2014-05-09","10595","10930","10525","10805","909900","10805"
"2014-05-12","10675","10920","10655","10715","562000","10715"
"2014-05-13","10900","11080","10840","11035","540500","11035"
"2014-05-14","11180","11270","11080","11160","531900","11160"
"2014-05-15","11000","11200","10960","11160","710500","11160"
"2014-05-16","11065","11125","10930","10980","541700","10980"
"2014-05-19","10900","11160","10800","10990","808700","10990"
"2014-05-20","11100","11395","11085","11295","620500","11295"
"2014-05-21","11145","11300","11145","11230","462000","11230"
"2014-05-22","11400","11550","11310","11495","655800","11495"
"2014-05-23","11580","11865","11545","11590","759900","11590"
"2014-05-26","11710","11870","11680","11855","588400","11855"
"2014-05-27","11790","11940","11765","11805","585500","11805"
"2014-05-28","11815","11905","11715","11745","488000","11745"
"2014-05-29","11630","11880","11630","11810","481100","11810"
"2014-05-30","11820","11845","11740","11770","426100","11770"
"2014-06-02","11775","11945","11730","11835","447900","11835"
"2014-06-03","11980","12000","11900","11920","358600","11920"
"2014-06-04","11990","11990","11825","11960","478200","11960"
"2014-06-05","11925","11985","11840","11900","305500","11900"
"2014-06-06","11865","11900","11690","11780","500000","11780"
"2014-06-09","11880","12015","11880","11990","511400","11990"
"2014-06-10","12095","12330","11830","11890","869900","11890"
"2014-06-11","11865","11940","11555","11690","810600","11690"
"2014-06-12","11500","11515","11380","11515","696500","11515"
"2014-06-13","11525","11775","11515","11730","692200","11730"
"2014-06-16","11820","12110","11710","11930","846600","11930"
"2014-06-17","11930","12180","11900","12090","800000","12090"
"2014-06-18","12040","12390","12040","12340","655600","12340"
"2014-06-19","12340","12425","12190","12410","754300","12410"
"2014-06-20","12440","12525","12255","12515","800200","12515"
"2014-06-23","12595","12595","12370","12390","459000","12390"
"2014-06-24","12355","12515","12220","12445","542700","12445"
"2014-06-25","12305","12365","12195","12210","625200","12210"
"2014-06-26","12230","12295","12110","12165","402400","12165"
"2014-06-27","12245","12245","11925","12045","407000","12045"
"2014-06-30","12045","12185","12020","12125","417100","12125"
"2014-07-01","12170","12310","12140","12280","526100","12280"
"2014-07-02","12385","12530","12320","12505","608600","12505"
"2014-07-03","12660","12875","12555","12765","961100","12765"
"2014-07-04","12930","13000","12775","12805","555500","12805"
"2014-07-07","12800","12950","12735","12860","332200","12860"
"2014-07-08","12760","12825","12640","12645","571300","12645"
"2014-07-09","12580","12660","12450","12635","477000","12635"
"2014-07-10","12655","12665","12430","12450","426900","12450"
"2014-07-11","12285","12350","12170","12255","683100","12255"
"2014-07-14","12260","12480","12245","12470","365800","12470"
"2014-07-15","12550","12570","12455","12530","310900","12530"
"2014-07-16","12700","12745","12600","12635","490400","12635"
"2014-07-17","12600","12740","12550","12560","319500","12560"
"2014-07-18","12320","12540","12315","12495","434900","12495"
"2014-07-22","12660","13050","12660","12925","960000","12925"
"2014-07-23","13005","13095","12985","13040","494200","13040"
"2014-07-24","12815","12855","12550","12595","867700","12595"
"2014-07-25","12565","12755","12505","12730","429600","12730"
"2014-07-28","12650","12715","12405","12440","580100","12440"
"2014-07-29","12425","12500","12370","12405","386500","12405"
"2014-07-30","12390","12535","12280","12325","432900","12325"
"2014-07-31","11740","11875","11330","11525","1982200","11525"
"2014-08-01","11500","11515","11305","11350","1267500","11350"
"2014-08-04","11400","11400","11150","11225","576100","11225"
"2014-08-05","11220","11410","11190","11200","811700","11200"
"2014-08-06","11250","11270","11070","11075","777500","11075"
"2014-08-07","11075","11135","10970","11085","817600","11085"
"2014-08-08","11010","11060","10790","10835","900000","10835"
"2014-08-11","10990","11030","10925","10990","736000","10990"
"2014-08-12","11000","11020","10865","10965","602600","10965"
"2014-08-13","10965","10990","10880","10970","348400","10970"
"2014-08-14","11100","11200","11000","11100","740700","11100"
"2014-08-15","11150","11375","11120","11290","576100","11290"
"2014-08-18","11415","12125","11395","11740","2652600","11740"
"2014-08-19","11695","11855","11505","11675","1066200","11675"
"2014-08-20","11650","11720","11545","11590","374800","11590"
"2014-08-21","11605","11675","11520","11600","322700","11600"
"2014-08-22","11700","11735","11580","11615","333300","11615"
"2014-08-25","11650","11725","11625","11675","253700","11675"
"2014-08-26","11695","11715","11565","11570","301900","11570"
"2014-08-27","11650","11685","11505","11555","352000","11555"
"2014-08-28","11500","11555","11405","11450","319600","11450"
"2014-08-29","11400","11575","11375","11530","406500","11530"
"2014-09-01","11685","11850","11615","11735","733900","11735"
"2014-09-02","11750","12145","11745","12075","1111900","12075"
"2014-09-03","12150","12165","11870","11905","683500","11905"
"2014-09-04","11955","12060","11900","11920","475800","11920"
"2014-09-05","11975","11985","11850","11940","320700","11940"
"2014-09-08","11825","11835","11610","11775","513900","11775"
"2014-09-09","11830","11875","11770","11770","346000","11770"
"2014-09-10","11790","11940","11785","11935","425900","11935"
"2014-09-11","11990","12080","11935","12020","507500","12020"
"2014-09-12","11950","12000","11865","11920","563300","11920"
"2014-09-16","11930","12125","11925","12095","490900","12095"
"2014-09-17","12115","12180","12005","12005","321000","12005"
"2014-09-18","12070","12225","12060","12180","536800","12180"
"2014-09-19","12210","12280","12130","12165","574600","12165"
"2014-09-22","12200","12470","12200","12265","806100","12265"
"2014-09-24","12145","12225","11925","11975","712300","11975"
"2014-09-25","12005","12190","12005","12135","596600","12135"
"2014-09-26","12000","12085","11970","12030","382900","12030"
"2014-09-29","12085","12140","11930","12000","305100","12000"
"2014-09-30","11980","12025","11855","11930","399500","11930"
"2014-10-01","11905","11940","11750","11750","334900","11750"
"2014-10-02","11600","11645","11490","11495","452700","11495"
"2014-10-03","11390","11550","11305","11420","451300","11420"
"2014-10-06","11600","11780","11585","11660","695700","11660"
"2014-10-07","11700","11740","11515","11525","334500","11525"
"2014-10-08","11390","11500","11335","11450","372000","11450"
"2014-10-09","11500","11550","11305","11325","327700","11325"
"2014-10-10","11155","11255","11090","11185","518700","11185"
"2014-10-14","11065","11185","10980","11060","675700","11060"
"2014-10-15","11065","11105","10900","11075","485100","11075"
"2014-10-16","10735","10880","10530","10725","1043000","10725"
"2014-10-17","10830","10895","10650","10695","486600","10695"
"2014-10-20","10875","11015","10840","10960","508800","10960"
"2014-10-21","11000","11130","10900","10985","607200","10985"
"2014-10-22","11100","11250","11075","11210","459500","11210"
"2014-10-23","11225","11270","11060","11185","356600","11185"
"2014-10-24","11255","11265","10895","10935","665000","10935"
"2014-10-27","11070","11235","11045","11180","509300","11180"
"2014-10-28","11180","11215","11040","11100","351500","11100"
"2014-10-29","11105","11200","11045","11120","529100","11120"
"2014-10-30","11900","11980","11055","11235","2334400","11235"
"2014-10-31","11325","11995","11325","11910","1864000","11910"
"2014-11-04","12560","12560","12255","12275","1699000","12275"
"2014-11-05","12250","12480","12225","12335","898800","12335"
"2014-11-06","12400","12455","12125","12200","575300","12200"
"2014-11-07","12345","12360","12125","12165","437300","12165"
"2014-11-10","12090","12140","11990","12055","372000","12055"
"2014-11-11","12180","12440","12145","12370","1003000","12370"
"2014-11-12","12500","12660","12480","12560","809300","12560"
"2014-11-13","12520","12560","12345","12525","569200","12525"
"2014-11-14","12745","12880","12620","12875","945200","12875"
"2014-11-17","12905","12970","12540","12570","609800","12570"
"2014-11-18","12720","13000","12710","12990","742400","12990"
"2014-11-19","13155","13320","12835","12850","934000","12850"
"2014-11-20","12920","13050","12745","12925","648000","12925"
"2014-11-21","12965","12990","12770","12970","419200","12970"
"2014-11-25","13130","13350","13065","13255","801000","13255"
"2014-11-26","13180","13500","13150","13425","993900","13425"
"2014-11-27","13610","13655","13235","13320","785700","13320"
"2014-11-28","13485","13775","13385","13760","815300","13760"
"2014-12-01","13850","14460","13780","14130","1440200","14130"
"2014-12-02","13800","14060","13755","13800","1023800","13800"
"2014-12-03","13980","14200","13940","14050","722400","14050"
"2014-12-04","14300","14345","13880","13980","697900","13980"
"2014-12-05","14095","14195","13905","14185","577600","14185"
"2014-12-08","14210","14210","13810","13845","1060000","13845"
"2014-12-09","13775","13950","13605","13655","1026300","13655"
"2014-12-10","13550","13665","13425","13530","1127500","13530"
"2014-12-11","13310","13390","13115","13355","1424300","13355"
"2014-12-12","13270","13405","13210","13210","1009000","13210"
"2014-12-15","13090","13240","12990","13020","525400","13020"
"2014-12-16","12760","12870","12480","12505","1075700","12505"
"2014-12-17","12400","12595","12345","12430","675400","12430"
"2014-12-18","12700","12820","12575","12655","813800","12655"
"2014-12-19","12850","12875","12600","12640","850800","12640"
"2014-12-22","12750","12785","12525","12655","520900","12655"
"2014-12-24","12790","12930","12700","12850","591500","12850"
"2014-12-25","12890","12935","12770","12780","229400","12780"
"2014-12-26","12800","12900","12750","12835","183900","12835"
"2014-12-29","12835","12875","12585","12645","409300","12645"
"2014-12-30","12770","12845","12605","12605","443500","12605"
