7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2000-01-04","16690","16690","15870","15870","6100","15870"
"2000-01-05","15700","16000","15590","15900","11100","15900"
"2000-01-06","16100","16250","15920","16060","4500","16060"
"2000-01-07","15990","15990","15550","15900","4500","15900"
"2000-01-11","16300","16500","16200","16500","7000","16500"
"2000-01-12","16600","17900","16600","17650","11700","17650"
"2000-01-13","17850","18490","17750","18480","18200","18480"
"2000-01-14","18280","18280","17200","17300","7400","17300"
"2000-01-17","17660","18000","17660","17800","4200","17800"
"2000-01-18","17640","17640","17300","17360","2200","17360"
"2000-01-19","17000","17170","16850","17170","1100","17170"
"2000-01-20","16990","17100","16850","17040","2300","17040"
"2000-01-21","17110","17190","17000","17030","1100","17030"
"2000-01-24","17230","17230","17150","17220","1100","17220"
"2000-01-25","17170","17650","17160","17650","6900","17650"
"2000-01-26","17960","18000","17850","18000","5400","18000"
"2000-01-27","17800","18500","17800","18400","16700","18400"
"2000-01-28","18800","19650","18800","19500","25700","19500"
"2000-01-31","19550","20200","19400","19810","22500","19810"
"2000-02-01","19610","19660","19250","19600","11700","19600"
"2000-02-02","20000","21400","20000","21100","71700","21100"
"2000-02-03","21500","22200","21400","21950","22600","21950"
"2000-02-04","22950","23950","22950","23950","16500","23950"
"2000-02-07","24550","24550","23300","23600","12900","23600"
"2000-02-08","23000","23000","21860","22510","14200","22510"
"2000-02-09","22910","23250","22410","22410","9000","22410"
"2000-02-10","21900","23450","21900","23300","5200","23300"
"2000-02-14","22700","22700","22300","22700","2700","22700"
"2000-02-15","22700","22700","21010","21030","10500","21030"
"2000-02-16","20830","21800","20000","21700","15900","21700"
"2000-02-17","21900","22940","21900","22800","14300","22800"
"2000-02-18","23400","24700","23300","24600","28200","24600"
"2000-02-21","24190","26300","23800","25300","18400","25300"
"2000-02-22","24300","24500","23310","23310","5900","23310"
"2000-02-23","22710","23300","21800","23300","8100","23300"
"2000-02-24","23850","23850","22900","23800","2100","23800"
"2000-02-25","23000","23000","22580","22800","5100","22800"
"2000-02-28","22900","23200","22800","23200","1500","23200"
"2000-02-29","23000","24700","22750","24700","7400","24700"
"2000-03-01","24310","24700","23500","23580","5800","23580"
"2000-03-02","23580","23890","23230","23700","3400","23700"
"2000-03-03","22900","23100","22800","22950","2700","22950"
"2000-03-06","22750","23000","22480","22480","3000","22480"
"2000-03-07","20550","20850","20300","20700","2000","20700"
"2000-03-08","20380","21260","20360","21150","4100","21150"
"2000-03-09","20800","20800","20100","20400","3200","20400"
"2000-03-10","20500","20500","18800","19250","178500","19250"
"2000-03-14","16650","17250","15500","16100","9700","16100"
"2000-03-15","16700","17200","16390","17110","12800","17110"
"2000-03-16","17510","18800","17100","18800","12300","18800"
"2000-03-17","19200","19200","18320","18800","10800","18800"
"2000-03-21","17750","18540","17500","18540","9200","18540"
"2000-03-22","18740","18740","17670","17800","3000","17800"
"2000-03-23","17600","17600","17000","17400","3500","17400"
"2000-03-24","17400","17400","16850","17150","5600","17150"
"2000-03-27","17550","17980","17000","17300","4000","17300"
"2000-03-28","17440","18000","17000","17900","5300","17900"
"2000-03-29","18500","19510","18500","19510","6200","19510"
"2000-03-30","19610","19610","19100","19400","12300","19400"
"2000-03-31","18200","18600","18200","18400","2800","18400"
"2000-04-03","18000","18000","17400","17400","6600","17400"
"2000-04-04","17600","17600","17000","17000","6900","17000"
"2000-04-05","16900","17250","16400","16880","3200","16880"
"2000-04-06","16680","17000","16400","16430","4600","16430"
"2000-04-07","16600","17400","16600","17400","4600","17400"
"2000-04-10","18200","18340","18050","18050","3600","18050"
"2000-04-11","17850","18080","17760","17970","2300","17970"
"2000-04-12","17960","17960","17600","17750","2200","17750"
"2000-04-13","17200","17200","16400","16540","3700","16540"
"2000-04-14","16500","16940","16300","16940","3900","16940"
"2000-04-17","14940","15100","14940","14940","5000","14940"
"2000-04-18","15740","16100","15740","16000","8100","16000"
"2000-04-19","17100","17860","17100","17100","4600","17100"
"2000-04-20","17190","18400","17190","18400","5400","18400"
"2000-04-21","18110","18950","18110","18950","6100","18950"
"2000-04-24","18940","18940","18140","18630","1600","18630"
"2000-04-25","18600","19100","18250","19050","4100","19050"
"2000-04-26","19450","19700","19150","19550","6000","19550"
"2000-04-27","18600","18600","18000","18060","2600","18060"
"2000-04-28","18670","19000","18000","18000","5000","18000"
"2000-05-01","18000","18000","17900","17940","1200","17940"
"2000-05-02","19140","19250","18450","18450","2600","18450"
"2000-05-08","19000","19000","18390","18590","800","18590"
"2000-05-09","18010","18340","17560","17900","6100","17900"
"2000-05-10","17300","17510","16930","17480","4500","17480"
"2000-05-11","16650","16650","16300","16320","7300","16320"
"2000-05-12","17520","17920","17400","17820","5800","17820"
"2000-05-15","17620","18000","16800","16980","4700","16980"
"2000-05-16","17380","17940","17180","17540","4400","17540"
"2000-05-17","17610","18100","17610","17700","3300","17700"
"2000-05-18","17600","17870","17000","17000","3700","17000"
"2000-05-19","16600","17000","16500","17000","5700","17000"
"2000-05-22","16600","16900","16500","16700","4500","16700"
"2000-05-23","16540","17100","16300","16500","5200","16500"
"2000-05-24","16190","16600","16010","16120","2900","16120"
"2000-05-25","16200","16400","15700","16200","8700","16200"
"2000-05-26","16000","16000","15570","15800","4400","15800"
"2000-05-29","15200","15500","15200","15360","4500","15360"
"2000-05-30","15750","16540","15750","16160","4700","16160"
"2000-05-31","16210","16500","15900","16110","4300","16110"
"2000-06-01","15440","15750","15310","15700","5800","15700"
"2000-06-02","16300","16800","16000","16800","8900","16800"
"2000-06-05","17790","18800","17500","18800","18000","18800"
"2000-06-06","18400","19000","18300","18720","12800","18720"
"2000-06-07","18400","18670","18100","18550","22100","18550"
"2000-06-08","18430","18430","18200","18340","3200","18340"
"2000-06-09","18200","18300","17800","18200","51800","18200"
"2000-06-12","17850","18200","17850","17970","3700","17970"
"2000-06-13","17650","17830","17400","17830","3300","17830"
"2000-06-14","17890","17890","17300","17400","2300","17400"
"2000-06-15","17200","17200","16780","16800","4500","16800"
"2000-06-16","16400","16660","16400","16450","6800","16450"
"2000-06-19","16970","16970","16700","16800","5700","16800"
"2000-06-20","17190","17190","16650","16800","4600","16800"
"2000-06-21","17250","17790","17250","17520","2300","17520"
"2000-06-22","17920","18200","17910","18000","6500","18000"
"2000-06-23","17820","18220","17820","18100","7800","18100"
"2000-06-26","17900","18060","17900","18060","2200","18060"
"2000-06-27","18180","18990","18180","18700","10200","18700"
"2000-06-28","18600","19400","18600","18920","4200","18920"
"2000-06-29","18990","18990","18590","18670","3300","18670"
"2000-06-30","18630","18810","18600","18600","2500","18600"
"2000-07-03","18600","18600","18300","18300","4400","18300"
"2000-07-04","18620","18620","18410","18410","900","18410"
"2000-07-05","18360","18400","18340","18400","1900","18400"
"2000-07-06","18200","18610","18200","18610","2000","18610"
"2000-07-07","18650","18650","18350","18350","4400","18350"
"2000-07-10","18880","18980","18470","18800","1700","18800"
"2000-07-11","19200","19200","19000","19000","9300","19000"
"2000-07-12","18700","18800","18400","18400","13400","18400"
"2000-07-13","18800","18890","18600","18750","5200","18750"
"2000-07-14","18650","18650","18550","18650","2700","18650"
"2000-07-17","18750","18750","17850","17970","4100","17970"
"2000-07-18","17990","17990","16800","17000","4200","17000"
"2000-07-19","17200","17690","17000","17520","3300","17520"
"2000-07-21","17920","17920","17550","17670","2900","17670"
"2000-07-24","17540","18100","17540","18060","3900","18060"
"2000-07-25","17990","18250","17830","18250","4400","18250"
"2000-07-26","18300","18560","18250","18470","2400","18470"
"2000-07-27","18370","18800","18200","18450","7000","18450"
"2000-07-28","18260","18260","17710","17710","2400","17710"
"2000-07-31","17450","17800","17300","17700","2700","17700"
"2000-08-01","18000","18100","17830","17900","1300","17900"
"2000-08-02","17900","18200","17640","18000","3800","18000"
"2000-08-03","17800","17800","17500","17500","400","17500"
"2000-08-04","17400","17410","16970","16970","5100","16970"
"2000-08-07","17050","18140","17050","18050","8900","18050"
"2000-08-08","18200","18500","17990","18450","2700","18450"
"2000-08-09","18450","18460","18260","18370","1900","18370"
"2000-08-10","18320","18350","18110","18350","1800","18350"
"2000-08-11","18510","18540","18370","18520","2700","18520"
"2000-08-14","18630","18750","18540","18660","2200","18660"
"2000-08-15","18680","19490","18680","19450","5300","19450"
"2000-08-16","20050","20070","19830","19850","9200","19850"
"2000-08-17","20030","20030","19880","19950","3900","19950"
"2000-08-18","20000","20000","19510","19710","2400","19710"
"2000-08-21","19900","20100","19800","20040","5400","20040"
"2000-08-22","19950","19990","19820","19880","3400","19880"
"2000-08-23","19880","20000","18890","19290","14000","19290"
"2000-08-24","18770","18970","18620","18620","8400","18620"
"2000-08-25","18020","18210","17660","17940","31400","17940"
"2000-08-28","17900","18390","17890","18240","18700","18240"
"2000-08-29","18400","18400","17980","18010","5800","18010"
"2000-08-30","17750","18300","17700","17940","3800","17940"
"2000-08-31","18200","18460","18100","18410","4900","18410"
"2000-09-01","18600","18770","18500","18560","10200","18560"
"2000-09-04","18740","18800","18670","18800","7200","18800"
"2000-09-05","18650","18770","18500","18770","3500","18770"
"2000-09-06","18500","18900","18500","18800","4500","18800"
"2000-09-07","18790","18790","18330","18710","3600","18710"
"2000-09-08","18510","18750","18500","18750","60300","18750"
"2000-09-11","18580","18580","17900","17900","7300","17900"
"2000-09-12","18030","18050","17940","17950","4400","17950"
"2000-09-13","18240","18500","18120","18250","3500","18250"
"2000-09-14","18330","18430","18030","18030","2700","18030"
"2000-09-18","18230","18490","18230","18490","2900","18490"
"2000-09-19","17890","19110","17890","19050","9400","19050"
"2000-09-20","19200","19380","19070","19280","13500","19280"
"2000-09-21","19100","19450","18900","19300","17400","19300"
"2000-09-22","18930","19010","18790","18790","2500","18790"
"2000-09-25","19340","19500","19190","19490","5200","19490"
"2000-09-26","19370","19370","18990","19020","3700","19020"
"2000-09-27","18570","18930","18570","18840","5700","18840"
"2000-09-28","18840","19450","18840","19350","6700","19350"
"2000-09-29","19400","20000","19400","19760","18500","19760"
"2000-10-02","19390","19510","19210","19470","3400","19470"
"2000-10-03","19310","19620","19310","19370","4600","19370"
"2000-10-04","19370","19680","19370","19600","7600","19600"
"2000-10-05","19500","19990","19500","19990","7800","19990"
"2000-10-06","19630","19990","19630","19840","3700","19840"
"2000-10-10","19650","19750","19550","19750","3700","19750"
"2000-10-11","19350","19350","18700","18850","7500","18850"
"2000-10-12","18700","19500","18700","19110","2500","19110"
"2000-10-13","18520","19000","18520","19000","2500","19000"
"2000-10-16","19200","19250","18850","18850","3200","18850"
"2000-10-17","18800","18800","18510","18570","2100","18570"
