3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2008-01-04","14000","14000","13510","13800","72","138"
"2008-01-07","12700","12800","12400","12500","113","125"
"2008-01-08","13300","14000","13300","13800","92","138"
"2008-01-09","14400","14400","13700","14400","30","144"
"2008-01-10","12600","12790","12420","12500","396","125"
"2008-01-11","12560","12900","11900","12800","242","128"
"2008-01-15","13200","13200","11350","12200","100","122"
"2008-01-16","10490","10500","9800","9950","223","99.5"
"2008-01-17","10950","10950","10750","10950","145","109.5"
"2008-01-18","11550","11550","11000","11550","136","115.5"
"2008-01-21","10950","10950","10070","10350","101","103.5"
"2008-01-22","10750","10750","9800","9900","181","99"
"2008-01-23","12200","12200","11200","12000","118","120"
"2008-01-24","11600","12050","11600","11900","26","119"
"2008-01-25","12200","13900","12200","13900","133","139"
"2008-01-28","12800","12800","11900","11900","355","119"
"2008-01-29","12500","13100","12030","12030","49","120.3"
"2008-01-30","12300","12500","12000","12000","48","120"
"2008-01-31","12600","12700","12300","12300","25","123"
"2008-02-01","12120","12120","12070","12070","10","120.7"
"2008-02-04","12280","12280","12010","12280","58","122.8"
"2008-02-05","12040","12100","12000","12000","70","120"
"2008-02-06","12000","12200","12000","12010","104","120.1"
"2008-02-07","12030","12040","12010","12010","56","120.1"
"2008-02-08","12030","12030","12010","12010","20","120.1"
"2008-02-12","12000","12200","12000","12030","19","120.3"
"2008-02-13","12010","12200","12000","12000","16","120"
"2008-02-14","12100","12100","11500","11500","89","115"
"2008-02-15","9700","11000","9700","11000","130","110"
"2008-02-18","11010","11410","11000","11090","67","110.9"
"2008-02-19","10150","10500","10150","10300","64","103"
"2008-02-20","10100","10500","10100","10310","72","103.1"
"2008-02-21","10500","11000","10170","10800","55","108"
"2008-02-22","10240","11000","10150","11000","54","110"
"2008-02-25","11330","11350","11300","11300","38","113"
"2008-02-26","11280","12300","11280","12300","107","123"
"2008-02-27","11100","12000","11100","11910","25","119.1"
"2008-02-28","12300","12300","12000","12000","10","120"
