3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","8600","9470","8600","9250","663","92.5"
"2011-01-05","9400","9400","9000","9300","353","93"
"2011-01-06","9210","9490","9110","9470","199","94.7"
"2011-01-07","9380","9490","9260","9460","150","94.6"
"2011-01-11","9160","9600","9110","9210","403","92.1"
"2011-01-12","9240","9440","9120","9290","650","92.9"
"2011-01-13","9140","9300","9140","9200","250","92"
"2011-01-14","9230","9300","9160","9280","128","92.8"
"2011-01-17","9280","9300","9000","9280","223","92.8"
"2011-01-18","9090","9170","8920","9170","165","91.7"
"2011-01-19","9090","9200","8900","9200","333","92"
"2011-01-20","9000","9190","8900","9100","212","91"
"2011-01-21","9100","9150","8400","8700","574","87"
"2011-01-24","8550","8810","8500","8790","135","87.9"
"2011-01-25","8880","9180","8660","9180","193","91.8"
"2011-01-26","8900","9160","8900","9000","58","90"
"2011-01-27","9150","9150","8850","9130","175","91.3"
"2011-01-28","8900","9100","8600","8800","385","88"
"2011-01-31","9100","9100","8570","8980","97","89.8"
"2011-02-01","8900","8980","8530","8850","195","88.5"
"2011-02-02","8900","8990","8610","8980","132","89.8"
"2011-02-03","9120","9120","8800","9060","51","90.6"
"2011-02-04","9060","9060","8840","8980","31","89.8"
"2011-02-07","8950","9030","8810","8980","206","89.8"
"2011-02-08","9040","9050","8810","9040","146","90.4"
"2011-02-09","8900","9080","8860","9050","74","90.5"
"2011-02-10","8870","9090","8870","9060","88","90.6"
"2011-02-14","9100","9100","8870","9100","196","91"
"2011-02-15","8980","9090","8940","9090","56","90.9"
"2011-02-16","9000","9090","8820","9000","225","90"
"2011-02-17","8800","9070","8800","8980","157","89.8"
"2011-02-18","8880","8980","8800","8950","105","89.5"
"2011-02-21","9090","9200","8830","9110","315","91.1"
"2011-02-22","9010","9180","8820","8940","158","89.4"
"2011-02-23","8800","8980","8590","8930","143","89.3"
"2011-02-24","8780","8780","8560","8700","175","87"
"2011-02-25","8800","8890","8520","8890","96","88.9"
"2011-02-28","8880","8900","8600","8900","122","89"
"2011-03-01","8890","8980","8700","8900","205","89"
"2011-03-02","8780","8900","8700","8900","164","89"
"2011-03-03","8900","9150","8800","9150","372","91.5"
"2011-03-04","9200","9300","8930","9040","134","90.4"
"2011-03-07","9040","9100","8930","9050","135","90.5"
"2011-03-08","9050","9200","8950","9150","114","91.5"
"2011-03-09","9300","9370","9100","9300","441","93"
"2011-03-10","9240","9240","9000","9150","199","91.5"
"2011-03-11","8600","9100","8510","9100","123","91"
"2011-03-14","7600","8930","7600","8930","547","89.3"
"2011-03-15","7500","8100","7430","7430","409","74.3"
"2011-03-16","6980","8110","6980","8040","162","80.4"
"2011-03-17","7200","7900","7200","7900","138","79"
"2011-03-18","8020","8100","7600","8090","314","80.9"
"2011-03-22","8060","8600","8060","8240","489","82.4"
"2011-03-23","8220","8380","7990","8280","260","82.8"
"2011-03-24","8150","8150","7890","8020","196","80.2"
"2011-03-25","8250","8250","7900","7960","50","79.6"
"2011-03-28","8000","8040","7780","8000","181","80"
"2011-03-29","7510","7980","7510","7980","35","79.8"
"2011-03-30","7680","8000","7630","7980","80","79.8"
"2011-03-31","7710","8000","7710","7980","63","79.8"
"2011-04-01","8030","8030","7800","8000","32","80"
"2011-04-04","8000","8050","7750","8000","50","80"
"2011-04-05","7850","8030","7700","8030","109","80.3"
"2011-04-06","7800","7980","7700","7980","81","79.8"
"2011-04-07","7770","7980","7770","7980","22","79.8"
"2011-04-08","7830","7920","7700","7880","21","78.8"
"2011-04-11","7810","7810","7710","7770","54","77.7"
"2011-04-12","7770","7990","7600","7980","121","79.8"
"2011-04-13","7820","7910","7610","7720","59","77.2"
"2011-04-14","7700","7910","7600","7910","160","79.1"
"2011-04-15","7700","7740","7680","7680","93","76.8"
"2011-04-18","7650","7800","7650","7790","108","77.9"
"2011-04-19","7700","7970","7700","7970","87","79.7"
"2011-04-20","7860","8150","7850","8130","84","81.3"
"2011-04-21","8000","8000","7900","7950","236","79.5"
"2011-04-22","7870","7930","7800","7930","166","79.3"
"2011-04-25","7940","8070","7800","8050","113","80.5"
"2011-04-26","8000","8240","8000","8000","94","80"
"2011-04-27","8010","8180","7810","8180","24","81.8"
"2011-04-28","8000","8010","7970","7970","19","79.7"
"2011-05-02","8000","8000","7620","7790","227","77.9"
"2011-05-06","7660","7900","7660","7900","26","79"
"2011-05-09","7900","7900","7610","7810","53","78.1"
"2011-05-10","7680","7800","7610","7790","67","77.9"
"2011-05-11","7650","7740","7630","7670","71","76.7"
"2011-05-12","7690","7710","7620","7700","82","77"
"2011-05-13","7660","7720","7600","7710","171","77.1"
"2011-05-16","7720","7720","7610","7690","35","76.9"
"2011-05-17","7640","7640","7400","7590","63","75.9"
"2011-05-18","7510","7640","7510","7640","55","76.4"
"2011-05-19","7640","7680","7420","7630","25","76.3"
"2011-05-20","7420","7600","7410","7600","56","76"
"2011-05-23","7760","7760","7460","7750","17","77.5"
"2011-05-24","7700","7750","7700","7750","4","77.5"
"2011-05-25","7770","7770","7630","7770","53","77.7"
"2011-05-26","7600","7770","7510","7700","47","77"
"2011-05-27","7450","7660","7450","7530","61","75.3"
"2011-05-30","7620","7620","7540","7620","6","76.2"
"2011-05-31","7620","7620","7550","7620","3","76.2"
"2011-06-01","7620","7620","7380","7610","112","76.1"
"2011-06-02","7300","7490","7300","7490","109","74.9"
"2011-06-03","7480","7620","7440","7590","22","75.9"
"2011-06-06","7530","7600","7370","7600","55","76"
"2011-06-07","7510","7630","7400","7630","67","76.3"
"2011-06-08","7500","7600","7500","7510","6","75.1"
"2011-06-09","7470","7620","7420","7580","26","75.8"
"2011-06-10","7450","7590","7400","7490","60","74.9"
"2011-06-13","7400","7440","7400","7400","25","74"
"2011-06-14","7350","7540","7350","7520","83","75.2"
"2011-06-15","7550","7600","7390","7450","147","74.5"
"2011-06-16","7400","7500","7380","7500","66","75"
"2011-06-17","7500","7550","7380","7550","63","75.5"
"2011-06-20","7420","7510","7380","7380","50","73.8"
"2011-06-21","7380","7450","7380","7380","32","73.8"
"2011-06-22","7470","7480","7390","7470","19","74.7"
"2011-06-23","7370","7550","7350","7420","79","74.2"
"2011-06-24","7350","7430","7350","7400","19","74"
"2011-06-27","7420","7500","7330","7500","100","75"
"2011-06-28","7400","7500","7340","7500","29","75"
"2011-06-29","7500","7500","7330","7390","21","73.9"
"2011-06-30","7340","7390","7210","7260","78","72.6"
"2011-07-01","7380","7380","7250","7300","38","73"
"2011-07-04","7250","7330","7130","7310","186","73.1"
"2011-07-05","7320","7320","7200","7200","90","72"
"2011-07-06","7180","7290","7110","7200","42","72"
"2011-07-07","7180","7250","7110","7120","63","71.2"
"2011-07-08","7200","7200","7050","7070","49","70.7"
"2011-07-11","7200","7220","7110","7210","43","72.1"
"2011-07-12","7200","7210","7130","7150","58","71.5"
"2011-07-13","7100","7180","7100","7180","32","71.8"
"2011-07-14","7100","7200","7100","7200","26","72"
"2011-07-15","7100","7240","6930","7090","313","70.9"
"2011-07-19","7200","7300","7090","7100","212","71"
"2011-07-20","7150","7200","7010","7140","235","71.4"
"2011-07-21","7050","7130","7050","7120","34","71.2"
"2011-07-22","7120","7180","7010","7120","55","71.2"
"2011-07-25","7180","7290","7100","7290","102","72.9"
"2011-07-26","7200","7330","7190","7290","54","72.9"
"2011-07-27","7190","7280","7090","7210","109","72.1"
"2011-07-28","7100","8710","7040","8710","2961","87.1"
"2011-07-29","8860","9360","7830","8390","3110","83.9"
"2011-08-01","7860","8200","7500","7720","896","77.2"
"2011-08-02","7500","8170","7500","7760","433","77.6"
"2011-08-03","7670","7740","7440","7530","236","75.3"
"2011-08-04","7530","7860","7500","7590","206","75.9"
"2011-08-05","7300","7400","7050","7260","549","72.6"
