3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2005-01-04","680000","700000","642000","646000","1313","807.5"
"2005-01-05","626000","675000","626000","645000","1193","806.3"
"2005-01-06","655000","702000","645000","690000","2389","862.5"
"2005-01-07","710000","720000","671000","683000","1683","853.8"
"2005-01-11","703000","728000","685000","709000","1856","886.3"
"2005-01-12","725000","745000","705000","730000","1981","912.5"
"2005-01-13","739000","829000","725000","802000","7166","1002.5"
"2005-01-14","780000","798000","745000","751000","2027","938.8"
"2005-01-17","760000","764000","691000","691000","1015","863.8"
"2005-01-18","690000","734000","682000","713000","862","891.3"
"2005-01-19","703000","741000","700000","711000","975","888.8"
"2005-01-20","700000","705000","680000","680000","296","850"
"2005-01-21","670000","683000","656000","660000","326","825"
"2005-01-24","660000","717000","647000","687000","1056","858.8"
"2005-01-25","697000","702000","669000","669000","200","836.3"
"2005-01-26","681000","683000","650000","652000","151","815"
"2005-01-27","660000","660000","626000","627000","181","783.8"
"2005-01-28","637000","650000","619000","650000","318","812.5"
"2005-01-31","649000","650000","629000","631000","92","788.8"
"2005-02-01","611000","649000","611000","625000","290","781.3"
"2005-02-02","626000","643000","625000","626000","142","782.5"
"2005-02-03","628000","650000","625000","650000","287","812.5"
"2005-02-04","650000","670000","630000","643000","291","803.8"
"2005-02-07","641000","643000","632000","632000","152","790"
"2005-02-08","619000","644000","602000","620000","277","775"
"2005-02-09","623000","623000","604000","605000","157","756.3"
"2005-02-10","582000","592000","574000","585000","189","731.3"
"2005-02-14","585000","597000","585000","589000","103","736.3"
"2005-02-15","592000","592000","510000","555000","157","693.8"
"2005-02-16","565000","565000","555000","555000","58","693.8"
"2005-02-17","551000","551000","525000","551000","99","688.8"
"2005-02-18","581000","585000","560000","579000","145","723.8"
"2005-02-21","571000","594000","566000","593000","81","741.3"
"2005-02-22","594000","597000","570000","585000","69","731.3"
"2005-02-23","575000","581000","570000","572000","41","715"
"2005-02-24","572000","590000","570000","589000","62","736.3"
"2005-02-25","579000","590000","576000","579000","50","723.8"
"2005-02-28","581000","582000","565000","566000","71","707.5"
"2005-03-01","596000","605000","585000","589000","415","736.3"
"2005-03-02","596000","596000","572000","579000","157","723.8"
