3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","7520","7720","7400","7550","87","75.5"
"2010-01-05","7700","7880","7500","7500","139","75"
"2010-01-06","7550","7690","7300","7640","175","76.4"
"2010-01-07","7640","7640","7270","7280","257","72.8"
"2010-01-08","7320","7490","7230","7320","123","73.2"
"2010-01-12","7310","7800","7170","7700","259","77"
"2010-01-13","7700","8280","7420","8080","253","80.8"
"2010-01-14","8120","8280","7210","7360","348","73.6"
"2010-01-15","7660","7740","7250","7370","238","73.7"
"2010-01-18","7300","7520","7200","7420","213","74.2"
"2010-01-19","7270","7410","7010","7010","368","70.1"
"2010-01-20","7100","7480","7100","7400","137","74"
"2010-01-21","7470","7470","7100","7200","222","72"
"2010-01-22","7160","7230","7010","7230","231","72.3"
"2010-01-25","7190","7200","7010","7130","115","71.3"
"2010-01-26","7180","7300","7100","7180","118","71.8"
"2010-01-27","7270","7270","7090","7100","13","71"
"2010-01-28","7050","7320","7040","7290","70","72.9"
"2010-01-29","7280","7300","7000","7100","156","71"
"2010-02-01","7100","7100","6900","7100","114","71"
"2010-02-02","6800","7100","6800","7100","100","71"
"2010-02-03","7000","7190","7000","7180","35","71.8"
"2010-02-04","7020","7200","6940","7200","70","72"
"2010-02-05","7100","7130","6980","7130","22","71.3"
"2010-02-08","7000","7000","6950","6950","40","69.5"
"2010-02-09","6980","6980","6750","6950","85","69.5"
"2010-02-10","6750","6980","6710","6980","128","69.8"
"2010-02-12","6980","6980","6980","6980","2","69.8"
"2010-02-15","7050","7050","7020","7050","17","70.5"
"2010-02-16","6880","7000","6860","6870","19","68.7"
"2010-02-17","6870","6870","5920","6730","1132","67.3"
"2010-02-18","6500","6650","6370","6570","76","65.7"
"2010-02-19","6770","6770","6500","6700","63","67"
"2010-02-22","6700","6990","6700","6970","93","69.7"
"2010-02-23","6570","6770","6520","6600","133","66"
"2010-02-24","6790","6790","6520","6700","74","67"
"2010-02-25","6800","6800","6510","6510","71","65.1"
"2010-02-26","6520","6560","6520","6560","8","65.6"
"2010-03-01","6580","6650","6500","6600","68","66"
"2010-03-02","6680","6680","6380","6560","34","65.6"
"2010-03-03","6670","6670","6340","6540","73","65.4"
"2010-03-04","6360","6500","6350","6500","27","65"
"2010-03-05","6450","6600","6420","6600","48","66"
"2010-03-08","6590","6980","6590","6890","70","68.9"
"2010-03-09","6900","6900","6800","6880","24","68.8"
"2010-03-10","6680","6870","6660","6790","47","67.9"
"2010-03-11","6610","6660","6610","6650","73","66.5"
"2010-03-12","6660","7290","6600","7250","298","72.5"
"2010-03-15","7700","7790","7020","7490","554","74.9"
"2010-03-16","7250","7550","7200","7520","191","75.2"
"2010-03-17","7500","7570","7260","7470","126","74.7"
"2010-03-18","7500","7700","7310","7490","254","74.9"
"2010-03-19","7450","7650","7250","7500","440","75"
"2010-03-23","7490","7820","7490","7820","291","78.2"
"2010-03-24","7700","8130","7500","8130","519","81.3"
"2010-03-25","8100","8200","7780","8150","405","81.5"
"2010-03-26","8150","9590","7900","9180","521","91.8"
"2010-03-29","8920","9100","8260","8320","539","83.2"
"2010-03-30","8770","8770","7770","8190","251","81.9"
"2010-03-31","8180","8590","7800","8450","155","84.5"
"2010-04-01","8450","8450","8000","8400","35","84"
"2010-04-02","8100","8380","8000","8380","68","83.8"
"2010-04-05","8100","8280","7950","8250","122","82.5"
"2010-04-06","8280","8280","7970","8100","115","81"
"2010-04-07","8090","8280","7900","8280","175","82.8"
"2010-04-08","8200","8260","8100","8260","41","82.6"
"2010-04-09","8260","8400","8060","8320","125","83.2"
"2010-04-12","8100","8930","8100","8800","342","88"
"2010-04-13","8700","9100","8600","9080","387","90.8"
"2010-04-14","9070","9070","8750","9060","186","90.6"
"2010-04-15","9050","9050","8350","9000","315","90"
"2010-04-16","9050","9300","8820","9100","148","91"
"2010-04-19","9050","9300","8850","9000","202","90"
"2010-04-20","9230","10500","9060","9150","1484","91.5"
"2010-04-21","9120","10500","9050","10300","640","103"
"2010-04-22","11790","13300","11580","13300","4674","133"
"2010-04-23","14790","16300","14330","16300","14255","163"
"2010-04-26","18500","19300","14610","14900","13998","149"
"2010-04-27","14010","14510","13530","13600","3499","136"
"2010-04-28","14200","14200","12620","12700","2447","127"
"2010-04-30","13280","13910","13040","13100","5157","131"
"2010-05-06","11900","14800","11900","13500","4265","135"
"2010-05-07","12300","13100","11550","11910","2371","119.1"
"2010-05-10","11430","11880","10620","10620","2211","106.2"
"2010-05-11","13020","13020","10830","11050","3615","110.5"
"2010-05-12","10900","11190","9260","9840","1887","98.4"
"2010-05-13","10050","10480","9490","10150","1164","101.5"
"2010-05-14","10600","12100","9980","10030","2128","100.3"
"2010-05-17","11300","13030","11110","12900","7177","129"
"2010-05-18","11400","12000","9980","10480","4559","104.8"
"2010-05-19","10000","10650","9710","10500","1319","105"
"2010-05-20","10700","11940","10000","10840","2385","108.4"
"2010-05-21","9790","10450","9640","9950","1626","99.5"
"2010-05-24","9900","10420","9800","10290","739","102.9"
"2010-05-25","9990","10350","9500","9920","1023","99.2"
"2010-05-26","9770","10000","9240","9970","459","99.7"
"2010-05-27","9610","9900","9420","9900","457","99"
"2010-05-28","10100","10380","9850","10090","580","100.9"
"2010-05-31","10250","10260","9830","10200","526","102"
"2010-06-01","9940","11800","9940","11500","2954","115"
"2010-06-02","12400","13700","11110","11760","5087","117.6"
"2010-06-03","12000","12000","11000","11310","1316","113.1"
"2010-06-04","11500","12800","11240","11400","2575","114"
"2010-06-07","11000","11400","10600","11400","743","114"
"2010-06-08","10910","11390","10550","10620","650","106.2"
"2010-06-09","10530","10830","10240","10240","659","102.4"
"2010-06-10","10500","10500","9810","9910","469","99.1"
"2010-06-11","10500","11390","10480","10800","1539","108"
"2010-06-14","11010","11200","10500","10710","604","107.1"
"2010-06-15","10700","10850","10500","10600","391","106"
"2010-06-16","10720","12420","10580","12420","1534","124.2"
"2010-06-17","12120","12400","11200","11260","1335","112.6"
"2010-06-18","11180","11180","10460","10460","849","104.6"
"2010-06-21","10760","11180","10560","11100","398","111"
"2010-06-22","10280","10790","10280","10590","1079","105.9"
"2010-06-23","10700","10700","10000","10150","894","101.5"
"2010-06-24","10100","10600","10020","10180","827","101.8"
"2010-06-25","10020","10140","9910","10060","730","100.6"
"2010-06-28","10100","10130","9700","9730","437","97.3"
"2010-06-29","9600","10000","9600","9960","544","99.6"
"2010-06-30","9390","9600","9240","9600","934","96"
"2010-07-01","9300","9500","8820","8900","856","89"
"2010-07-02","8800","9170","8620","9100","340","91"
"2010-07-05","9110","9770","9020","9770","275","97.7"
"2010-07-06","9740","9900","9400","9800","268","98"
"2010-07-07","9750","10200","9750","9910","455","99.1"
"2010-07-08","10150","10150","9860","9880","297","98.8"
"2010-07-09","9900","10000","9660","9900","188","99"
"2010-07-12","10050","10070","9720","9720","116","97.2"
"2010-07-13","10000","10000","9530","9860","135","98.6"
"2010-07-14","9850","10050","9650","9900","294","99"
"2010-07-15","9910","9970","9800","9810","179","98.1"
"2010-07-16","9710","9960","9710","9780","250","97.8"
"2010-07-20","9600","9810","9440","9800","244","98"
"2010-07-21","9970","9970","9380","9730","355","97.3"
"2010-07-22","9760","9780","9370","9600","193","96"
"2010-07-23","9580","9750","9450","9700","116","97"
"2010-07-26","9710","9720","9500","9590","212","95.9"
"2010-07-27","9650","9650","9310","9500","186","95"
"2010-07-28","9300","9580","9150","9350","245","93.5"
"2010-07-29","9340","9540","9120","9500","215","95"
"2010-07-30","9510","10970","9500","10500","751","105"
"2010-08-02","9150","9280","8810","9110","1785","91.1"
"2010-08-03","9000","9000","8500","8770","737","87.7"
"2010-08-04","8050","8300","7800","8200","959","82"
"2010-08-05","7810","8000","7800","7990","384","79.9"
"2010-08-06","7850","7990","7600","7960","168","79.6"
"2010-08-09","8080","8080","7800","7840","85","78.4"
"2010-08-10","7800","7950","7750","7950","104","79.5"
"2010-08-11","7800","8000","7600","7700","219","77"
"2010-08-12","7600","7700","7500","7500","230","75"
"2010-08-13","7500","7660","7320","7650","245","76.5"
"2010-08-16","7510","7600","7100","7350","277","73.5"
"2010-08-17","6900","7350","6900","7280","244","72.8"
"2010-08-18","7140","7340","7100","7290","169","72.9"
"2010-08-19","7120","7480","7000","7300","236","73"
"2010-08-20","7270","7390","7200","7250","31","72.5"
"2010-08-23","7100","7300","7100","7300","24","73"
"2010-08-24","7300","7300","7000","7290","125","72.9"
"2010-08-25","6800","7060","6800","7000","173","70"
"2010-08-26","7150","7150","7000","7100","48","71"
"2010-08-27","7000","7190","6980","7190","24","71.9"
"2010-08-30","7290","7490","7200","7490","96","74.9"
"2010-08-31","7300","7500","7200","7500","50","75"
"2010-09-01","7500","7500","7220","7470","48","74.7"
"2010-09-02","7460","7500","7250","7350","53","73.5"
"2010-09-03","7200","7400","7100","7290","225","72.9"
"2010-09-06","7300","7300","7050","7300","128","73"
"2010-09-07","7150","7500","6810","7070","657","70.7"
"2010-09-08","7090","7290","6910","7290","68","72.9"
"2010-09-09","7100","7290","7050","7280","44","72.8"
"2010-09-10","7000","7470","7000","7290","52","72.9"
