3356 東証JQS (株)テリロジー（卸売業）,,,,,
"2010-09-13","7100","7440","7100","7210","133","72.1"
"2010-09-14","7180","7390","7180","7380","100","73.8"
"2010-09-15","7220","7650","7150","7650","135","76.5"
"2010-09-16","7650","8400","7410","8200","521","82"
"2010-09-17","8800","8900","7820","7860","855","78.6"
"2010-09-21","8130","8190","7600","7880","484","78.8"
"2010-09-22","7500","8000","7500","8000","247","80"
"2010-09-24","7970","7970","7700","7700","201","77"
"2010-09-27","7650","7900","7300","7300","198","73"
"2010-09-28","7680","8500","7560","7990","422","79.9"
"2010-09-29","8280","9300","7860","9000","1151","90"
"2010-09-30","9000","9200","8380","8900","1013","89"
"2010-10-01","8900","8960","8500","8780","184","87.8"
"2010-10-04","8650","8780","8400","8730","331","87.3"
"2010-10-05","8460","8680","8000","8580","170","85.8"
"2010-10-06","8580","8580","8000","8400","185","84"
"2010-10-07","8110","8400","8100","8390","190","83.9"
"2010-10-08","8110","8500","8100","8210","238","82.1"
"2010-10-12","8210","8210","7770","8000","187","80"
"2010-10-13","7800","8000","7730","7730","82","77.3"
"2010-10-14","7730","8020","7600","8020","64","80.2"
"2010-10-15","8020","8100","7800","8090","25","80.9"
"2010-10-18","7570","7750","7550","7670","181","76.7"
"2010-10-19","7520","7680","7510","7590","170","75.9"
"2010-10-20","7500","7560","7320","7500","279","75"
"2010-10-21","7500","7540","7300","7400","71","74"
"2010-10-22","7340","7440","7300","7430","57","74.3"
"2010-10-25","7650","7650","7310","7340","210","73.4"
"2010-10-26","7280","7500","7280","7320","120","73.2"
"2010-10-27","7300","7480","7200","7480","157","74.8"
"2010-10-28","7050","7380","7000","7180","579","71.8"
"2010-10-29","7100","7100","6800","6920","510","69.2"
"2010-11-01","6850","7280","6850","6900","34","69"
"2010-11-02","6910","7230","6800","6850","94","68.5"
"2010-11-04","6810","7000","6810","7000","56","70"
"2010-11-05","6910","7200","6910","7150","40","71.5"
"2010-11-08","7200","7390","7140","7390","71","73.9"
"2010-11-09","7110","7440","7100","7100","118","71"
"2010-11-10","7300","7500","7150","7500","136","75"
"2010-11-11","7350","8270","7320","8150","540","81.5"
"2010-11-12","7800","7970","7650","7950","100","79.5"
"2010-11-15","7670","7940","7650","7900","108","79"
"2010-11-16","7720","8000","7400","7850","198","78.5"
"2010-11-17","7800","7800","7600","7790","59","77.9"
"2010-11-18","7640","7780","7510","7650","183","76.5"
"2010-11-19","7700","8260","7670","7670","465","76.7"
"2010-11-22","7880","7880","7660","7840","127","78.4"
"2010-11-24","7790","8150","7790","8150","439","81.5"
"2010-11-25","8150","8660","8110","8490","506","84.9"
"2010-11-26","8390","8490","8020","8110","243","81.1"
"2010-11-29","8210","8210","7800","7990","279","79.9"
"2010-11-30","8060","8060","7750","7860","88","78.6"
"2010-12-01","7760","7870","7700","7870","126","78.7"
"2010-12-02","7720","8050","7700","7900","173","79"
"2010-12-03","7800","8190","7800","8030","104","80.3"
"2010-12-06","8000","8070","7900","8070","287","80.7"
"2010-12-07","8180","8180","8000","8070","132","80.7"
"2010-12-08","8100","8150","8020","8120","152","81.2"
"2010-12-09","8180","8180","8030","8100","92","81"
"2010-12-10","8040","8100","7990","8100","63","81"
"2010-12-13","8220","8300","8000","8300","401","83"
"2010-12-14","8450","8450","8150","8170","107","81.7"
"2010-12-15","8170","8280","8080","8230","328","82.3"
"2010-12-16","8150","8350","8110","8210","267","82.1"
"2010-12-17","8210","8340","8120","8340","202","83.4"
"2010-12-20","8210","8820","8210","8420","456","84.2"
"2010-12-21","8510","8880","8350","8800","292","88"
"2010-12-22","8600","8890","8600","8600","207","86"
"2010-12-24","8750","8790","8400","8500","147","85"
"2010-12-27","8710","9300","8600","9090","638","90.9"
"2010-12-28","9200","9250","8720","9190","229","91.9"
"2010-12-29","8900","9200","8770","8880","405","88.8"
"2010-12-30","8760","8860","8500","8750","390","87.5"
