3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","318","329","317","324","317000","324"
"2017-01-05","323","343","323","339","550400","339"
"2017-01-06","331","343","331","340","373600","340"
"2017-01-10","344","351","335","340","665600","340"
"2017-01-11","342","348","331","334","393800","334"
"2017-01-12","336","380","329","368","4350800","368"
"2017-01-13","360","369","350","354","1090200","354"
"2017-01-16","351","354","339","340","460200","340"
"2017-01-17","337","358","333","344","717100","344"
"2017-01-18","410","424","369","369","15104800","369"
"2017-01-19","371","402","358","372","5485500","372"
"2017-01-20","380","384","360","364","1175300","364"
"2017-01-23","362","395","362","385","2043700","385"
"2017-01-24","395","407","387","392","2736000","392"
"2017-01-25","408","435","403","429","5106100","429"
"2017-01-26","427","438","409","414","3398900","414"
"2017-01-27","412","419","390","390","1556900","390"
"2017-01-30","397","413","396","413","1218800","413"
"2017-01-31","417","428","404","408","1979700","408"
"2017-02-01","398","404","376","379","1324700","379"
"2017-02-02","380","387","367","368","529500","368"
"2017-02-03","366","378","354","364","505700","364"
"2017-02-06","366","385","362","384","403100","384"
"2017-02-07","373","389","370","381","622500","381"
"2017-02-08","383","403","382","397","883000","397"
"2017-02-09","397","412","391","393","721300","393"
"2017-02-10","401","401","385","392","395300","392"
"2017-02-13","395","417","391","409","1426300","409"
"2017-02-14","410","415","397","403","733700","403"
"2017-02-15","404","406","391","391","527500","391"
"2017-02-16","391","394","384","391","297000","391"
"2017-02-17","392","400","388","391","350800","391"
"2017-02-20","387","389","373","375","569000","375"
"2017-02-21","376","378","366","369","470000","369"
"2017-02-22","370","370","358","360","406100","360"
"2017-02-23","360","360","352","354","337700","354"
"2017-02-24","354","367","353","359","404300","359"
"2017-02-27","360","367","358","359","183300","359"
"2017-02-28","359","364","359","360","187000","360"
"2017-03-01","359","362","348","355","235900","355"
"2017-03-02","359","359","354","357","135400","357"
"2017-03-03","356","357","351","352","115700","352"
"2017-03-06","351","369","346","365","479100","365"
"2017-03-07","370","374","355","356","310800","356"
"2017-03-08","358","368","358","365","205900","365"
"2017-03-09","366","373","363","365","190800","365"
"2017-03-10","368","371","365","366","117600","366"
"2017-03-13","366","383","364","374","466700","374"
"2017-03-14","374","375","361","363","233500","363"
"2017-03-15","363","367","352","353","146000","353"
