3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2004-12-21","750000","794000","611000","618000","7594","772.5"
"2004-12-22","640000","679000","555000","575000","3973","718.8"
"2004-12-24","560000","643000","559000","571000","3110","713.8"
"2004-12-27","589000","610000","508000","509000","977","636.3"
"2004-12-28","539000","601000","511000","589000","2116","736.3"
"2004-12-29","599000","674000","585000","630000","4298","787.5"
"2004-12-30","660000","696000","620000","690000","3219","862.5"
