3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","73500","74500","72000","74300","64","743"
"2007-01-05","72100","73100","71300","71500","160","715"
"2007-01-09","71600","71900","71400","71400","69","714"
"2007-01-10","71100","71800","71100","71500","102","715"
"2007-01-11","71800","71800","71200","71400","82","714"
"2007-01-12","71400","72700","71300","72300","115","723"
"2007-01-15","72500","72500","72000","72500","117","725"
"2007-01-16","72500","74800","72500","74600","335","746"
"2007-01-17","75600","78400","74800","78300","367","783"
"2007-01-18","79300","79600","77500","79500","431","795"
"2007-01-19","79500","80800","78200","80800","359","808"
"2007-01-22","81800","84000","81800","83500","445","835"
"2007-01-23","83300","83300","80000","83000","402","830"
"2007-01-24","83500","83500","80100","81900","200","819"
"2007-01-25","82500","82900","80000","80200","268","802"
"2007-01-26","80000","80700","79000","80700","103","807"
"2007-01-29","82000","82000","80000","80000","133","800"
"2007-01-30","80000","81000","80000","80100","139","801"
"2007-01-31","80000","80000","79000","79800","135","798"
"2007-02-01","79700","79800","78600","79700","99","797"
"2007-02-02","79200","79200","78500","78700","101","787"
"2007-02-05","78500","78500","77000","77000","92","770"
"2007-02-06","67000","71500","67000","70500","856","705"
"2007-02-07","71000","72100","70600","71600","227","716"
"2007-02-08","71000","71900","69800","70700","233","707"
"2007-02-09","70700","71900","70100","71100","86","711"
"2007-02-13","72000","72600","71000","71300","211","713"
"2007-02-14","71300","72000","71200","71800","99","718"
"2007-02-15","71800","71800","71000","71700","126","717"
"2007-02-16","71600","71700","71000","71600","142","716"
"2007-02-19","71500","72000","71100","72000","115","720"
"2007-02-20","72400","72700","72000","72600","90","726"
"2007-02-21","72800","73500","71500","71900","150","719"
"2007-02-22","73000","73000","71100","71100","98","711"
"2007-02-23","71700","72000","71000","72000","208","720"
"2007-02-26","71400","72000","71100","71800","270","718"
"2007-02-27","71400","71800","70500","71000","470","710"
"2007-02-28","66000","70000","66000","69100","667","691"
"2007-03-01","69900","69900","68000","69000","194","690"
"2007-03-02","68000","68000","66800","67900","149","679"
"2007-03-05","66400","66800","65500","65500","197","655"
"2007-03-06","67000","67000","65600","66800","128","668"
"2007-03-07","67500","67500","66600","66600","56","666"
"2007-03-08","66100","67000","66000","66100","193","661"
"2007-03-09","66100","66900","65000","65100","148","651"
"2007-03-12","65000","65300","64400","64400","185","644"
"2007-03-13","64100","64100","61300","62500","289","625"
"2007-03-14","60000","60000","58000","59900","228","599"
"2007-03-15","59900","61000","59900","60600","85","606"
"2007-03-16","60700","60700","59800","59800","83","598"
"2007-03-19","59000","59500","55700","56100","139","561"
"2007-03-20","54100","54500","53300","54000","336","540"
"2007-03-22","56500","56500","55000","56300","166","563"
"2007-03-23","55700","55700","54000","54700","97","547"
"2007-03-26","54300","54300","52500","53000","159","530"
"2007-03-27","51000","52000","50200","51300","189","513"
"2007-03-28","50400","50500","49800","50000","133","500"
"2007-03-29","49200","49600","48100","48600","277","486"
"2007-03-30","49000","51000","48600","51000","168","510"
"2007-04-02","51800","51800","47000","49000","255","490"
"2007-04-03","48500","48950","47000","48950","114","489.5"
"2007-04-04","48800","48800","46500","47150","229","471.5"
"2007-04-05","45550","45850","45150","45600","280","456"
"2007-04-06","45500","45500","45000","45000","244","450"
"2007-04-09","46200","48100","46000","47900","188","479"
"2007-04-10","48000","48000","46200","48000","195","480"
"2007-04-11","47200","49500","47100","48050","135","480.5"
"2007-04-12","48000","48000","45500","46950","100","469.5"
"2007-04-13","46100","46100","45000","45300","64","453"
"2007-04-16","41400","42400","41300","41600","351","416"
"2007-04-17","41350","42000","40600","40600","138","406"
"2007-04-18","40000","40300","39000","40000","245","400"
"2007-04-19","38150","38300","37500","38200","266","382"
"2007-04-20","39000","39000","36000","36000","177","360"
"2007-04-23","34500","34900","32400","33250","376","332.5"
"2007-04-24","35650","35750","33500","34000","480","340"
"2007-04-25","34400","34500","33000","33000","278","330"
"2007-04-26","32600","32900","31900","31900","139","319"
"2007-04-27","32000","32650","31850","32650","269","326.5"
"2007-05-01","32650","35900","32650","34100","236","341"
"2007-05-02","35000","37800","34300","37000","257","370"
"2007-05-07","40000","41000","39000","41000","397","410"
"2007-05-08","40000","40800","39050","40000","403","400"
"2007-05-09","37200","39950","37200","39950","163","399.5"
"2007-05-10","37250","38500","37250","38000","243","380"
"2007-05-11","37700","37700","36000","36600","69","366"
"2007-05-14","35000","35000","33550","34000","99","340"
"2007-05-15","32000","32050","30050","30100","528","301"
"2007-05-16","30900","32000","30300","32000","217","320"
"2007-05-17","30500","31150","30100","30100","205","301"
"2007-05-18","30100","31500","30000","30800","162","308"
"2007-05-21","28400","29900","27800","29000","250","290"
"2007-05-22","28990","31000","28000","31000","260","310"
"2007-05-23","32000","33800","31500","33500","162","335"
"2007-05-24","35100","35100","33000","33100","144","331"
"2007-05-25","33000","33000","32000","32600","117","326"
"2007-05-28","31800","32000","31000","32000","111","320"
"2007-05-29","31500","31500","30600","30600","60","306"
"2007-05-30","31400","34600","31400","34600","153","346"
"2007-05-31","38600","38600","38600","38600","79","386"
"2007-06-01","42600","42600","42600","42600","167","426"
"2007-06-04","46200","50600","45000","50100","2220","501"
"2007-06-05","48800","48800","45600","45600","835","456"
"2007-06-06","43600","45600","42500","45600","605","456"
"2007-06-07","44000","46500","42500","45800","219","458"
"2007-06-08","44000","44800","43000","44700","126","447"
"2007-06-11","45500","45500","43000","43500","110","435"
"2007-06-12","43000","43050","42000","42000","83","420"
"2007-06-13","39200","40800","38800","40800","56","408"
"2007-06-14","41000","41000","38700","40000","97","400"
"2007-06-15","40400","40400","38800","39100","274","391"
"2007-06-18","40000","40700","39800","40000","393","400"
"2007-06-19","40400","44000","40200","44000","539","440"
"2007-06-20","43600","44500","42500","43200","497","432"
"2007-06-21","42500","42600","41150","41650","188","416.5"
"2007-06-22","41200","41500","41000","41000","268","410"
"2007-06-25","41300","41300","39500","40900","182","409"
"2007-06-26","41000","41000","39500","39700","61","397"
"2007-06-27","40000","40000","39700","39800","82","398"
"2007-06-28","40200","40500","39700","39900","75","399"
"2007-06-29","39950","41000","39950","40900","148","409"
"2007-07-02","41500","41500","40650","40750","110","407.5"
"2007-07-03","40900","40900","39850","40050","54","400.5"
"2007-07-04","39600","40000","37350","40000","107","400"
"2007-07-05","40000","40050","38800","39150","37","391.5"
"2007-07-06","39150","39150","37200","38000","186","380"
"2007-07-09","38100","38300","37150","37500","68","375"
"2007-07-10","37100","37500","37050","37450","99","374.5"
"2007-07-11","38250","38250","37100","38250","101","382.5"
"2007-07-12","38300","41200","38200","39200","176","392"
"2007-07-13","39200","39200","37100","39150","142","391.5"
"2007-07-17","39200","39200","38700","39000","17","390"
"2007-07-18","37900","38150","37000","38000","91","380"
"2007-07-19","37000","37150","36500","36550","201","365.5"
"2007-07-20","35800","37000","35800","37000","71","370"
"2007-07-23","36200","36200","35600","36000","38","360"
"2007-07-24","35600","37000","35400","35500","83","355"
"2007-07-25","36200","36200","35500","36200","38","362"
"2007-07-26","35100","35500","35050","35100","49","351"
"2007-07-27","34300","34700","33700","33700","190","337"
"2007-07-30","33400","33600","32100","33600","52","336"
"2007-07-31","37600","37600","36100","37100","148","371"
"2007-08-01","35500","38400","35500","36500","91","365"
"2007-08-02","36500","38000","35600","37000","142","370"
"2007-08-03","37150","37150","36200","36200","68","362"
"2007-08-06","36000","36000","35100","36000","159","360"
"2007-08-07","37050","37050","35500","35500","20","355"
"2007-08-08","35150","36750","35000","35000","66","350"
"2007-08-09","37400","37400","35900","35900","39","359"
"2007-08-10","35000","35900","33500","35500","70","355"
"2007-08-13","34100","35500","33600","34500","67","345"
"2007-08-14","34500","34700","33950","34200","20","342"
"2007-08-15","33600","33600","32600","32800","96","328"
"2007-08-16","32000","32000","30600","30600","173","306"
"2007-08-17","30800","31050","30000","30000","137","300"
"2007-08-20","29000","30000","29000","30000","127","300"
"2007-08-21","29800","32400","29800","30800","57","308"
"2007-08-22","30400","30400","29900","30200","90","302"
"2007-08-23","31000","31150","30000","31150","77","311.5"
"2007-08-24","31400","33000","31400","32800","66","328"
"2007-08-27","33200","33700","32500","33500","72","335"
"2007-08-28","34300","34300","32100","32300","57","323"
"2007-08-29","32300","32300","30800","31300","40","313"
"2007-08-30","31100","31500","30100","30300","41","303"
"2007-08-31","30500","30500","30000","30250","160","302.5"
"2007-09-03","30000","30300","30000","30250","134","302.5"
"2007-09-04","30650","30700","29800","30000","55","300"
"2007-09-05","30100","30100","29000","29610","59","296.1"
"2007-09-06","28500","30000","28000","30000","75","300"
"2007-09-07","29300","29500","29300","29500","5","295"
"2007-09-10","29490","30000","29000","29000","21","290"
"2007-09-11","29000","29000","28100","28900","17","289"
"2007-09-12","28910","29400","28500","28500","27","285"
"2007-09-13","28500","28500","28000","28000","12","280"
"2007-09-14","28000","28600","28000","28100","30","281"
"2007-09-18","28900","28900","27000","27000","28","270"
"2007-09-19","27800","27800","27500","27500","38","275"
"2007-09-20","26600","26600","25500","26200","170","262"
"2007-09-21","25600","26350","24800","25000","82","250"
"2007-09-25","25200","25200","24000","24000","58","240"
"2007-09-26","23500","24500","22800","24100","100","241"
"2007-09-27","23200","25800","23200","25500","161","255"
"2007-09-28","24300","24800","23800","24300","178","243"
"2007-10-01","24900","25000","24010","25000","32","250"
"2007-10-02","25600","25800","25000","25000","51","250"
"2007-10-03","25000","25000","24040","24550","100","245.5"
"2007-10-04","24410","25610","24400","24900","90","249"
"2007-10-05","24600","27900","24600","27900","154","279"
"2007-10-09","30800","30900","30100","30900","671","309"
"2007-10-10","32900","34300","29800","31300","951","313"
"2007-10-11","31300","32000","30700","32000","128","320"
"2007-10-12","31200","31600","30500","31400","50","314"
"2007-10-15","31400","32000","30000","30000","234","300"
"2007-10-16","30000","30250","29000","29270","161","292.7"
"2007-10-17","29230","29240","28000","28000","161","280"
"2007-10-18","28890","28890","28000","28000","13","280"
"2007-10-19","28010","30000","28010","29000","119","290"
"2007-10-22","28490","28950","27110","28950","74","289.5"
"2007-10-23","29510","29510","28950","29150","102","291.5"
"2007-10-24","29150","29500","29100","29400","212","294"
"2007-10-25","30200","30300","30000","30200","288","302"
"2007-10-26","30600","30600","30300","30400","231","304"
"2007-10-29","31100","32500","30000","31000","165","310"
"2007-10-30","31400","31400","30000","30200","73","302"
"2007-10-31","29580","31000","29010","30200","163","302"
"2007-11-01","32000","32000","30200","30200","60","302"
"2007-11-02","29500","29500","29320","29500","23","295"
"2007-11-05","28000","28000","26500","27000","257","270"
"2007-11-06","26800","27800","26800","27200","73","272"
"2007-11-07","27800","27950","27200","27200","44","272"
"2007-11-08","27190","27190","25300","25300","135","253"
"2007-11-09","25900","25900","25300","25300","55","253"
"2007-11-12","25000","25000","22500","22500","122","225"
"2007-11-13","25000","25000","24000","24000","64","240"
"2007-11-14","24000","24000","23000","23270","55","232.7"
"2007-11-15","22810","23900","22200","22200","84","222"
"2007-11-16","22120","22150","21500","22000","131","220"
"2007-11-19","22300","22300","21590","21590","65","215.9"
"2007-11-20","21000","21290","21000","21190","262","211.9"
"2007-11-21","21850","22000","21020","21100","59","211"
"2007-11-22","21030","21890","21000","21580","90","215.8"
"2007-11-26","22220","22500","21050","21060","43","210.6"
"2007-11-27","21010","21730","21000","21500","35","215"
"2007-11-28","21120","21680","21120","21220","44","212.2"
"2007-11-29","22000","23200","21600","23000","237","230"
"2007-11-30","23160","23160","21500","22000","280","220"
"2007-12-03","21900","22000","21170","22000","188","220"
"2007-12-04","21500","22110","21260","22110","107","221.1"
"2007-12-05","21380","22200","21210","22200","210","222"
"2007-12-06","21540","21540","21100","21120","187","211.2"
"2007-12-07","21150","21150","21020","21030","93","210.3"
"2007-12-10","21040","21040","19200","20000","338","200"
"2007-12-11","20600","20750","18020","18300","423","183"
"2007-12-12","18480","18500","18000","18200","283","182"
"2007-12-13","18060","18400","18020","18080","101","180.8"
"2007-12-14","18020","18100","17500","18100","160","181"
"2007-12-17","17500","17660","16100","16470","359","164.7"
"2007-12-18","15870","15870","15100","15230","348","152.3"
"2007-12-19","15230","15230","13800","14490","829","144.9"
"2007-12-20","15090","15090","13800","14000","482","140"
"2007-12-21","15000","15000","14200","14500","326","145"
"2007-12-25","15150","15150","14100","14800","210","148"
"2007-12-26","15000","15000","14120","14500","86","145"
"2007-12-27","15000","15000","14100","14100","191","141"
"2007-12-28","14210","14700","14210","14210","148","142.1"
