3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","310","343","308","327","1012700","327"
"2016-01-05","321","407","321","407","4249700","407"
"2016-01-06","423","441","364","395","3647400","395"
"2016-01-07","379","387","349","353","814400","353"
"2016-01-08","348","359","337","343","592600","343"
"2016-01-12","335","337","305","310","699700","310"
"2016-01-13","315","341","309","320","1391400","320"
"2016-01-14","310","310","295","305","487100","305"
"2016-01-15","316","325","300","300","446000","300"
"2016-01-18","292","299","285","292","365600","292"
"2016-01-19","289","315","288","311","391500","311"
"2016-01-20","316","316","284","284","354900","284"
"2016-01-21","287","297","275","276","433900","276"
"2016-01-22","284","293","280","287","226500","287"
"2016-01-25","292","301","287","291","278500","291"
"2016-01-26","289","295","283","287","158500","287"
"2016-01-27","303","351","297","320","4845400","320"
"2016-01-28","317","329","309","310","971200","310"
"2016-01-29","290","310","285","290","755000","290"
"2016-02-01","290","299","290","297","262500","297"
"2016-02-02","305","322","299","300","472400","300"
"2016-02-03","294","295","290","292","224600","292"
"2016-02-04","292","293","282","285","190500","285"
"2016-02-05","282","284","270","274","258200","274"
"2016-02-08","265","281","262","275","143000","275"
"2016-02-09","266","266","254","255","216900","255"
"2016-02-10","259","260","226","235","238900","235"
"2016-02-12","227","227","202","202","345400","202"
"2016-02-15","242","242","217","235","215300","235"
"2016-02-16","227","252","225","241","195500","241"
"2016-02-17","235","247","235","237","81800","237"
"2016-02-18","243","257","242","253","203100","253"
"2016-02-19","252","256","248","250","74400","250"
"2016-02-22","247","265","246","257","117700","257"
"2016-02-23","260","262","247","254","84500","254"
"2016-02-24","246","251","241","245","51500","245"
"2016-02-25","246","251","243","244","46400","244"
"2016-02-26","246","250","245","249","67200","249"
"2016-02-29","252","258","247","247","126400","247"
"2016-03-01","245","251","242","248","66100","248"
"2016-03-02","252","256","249","250","96300","250"
"2016-03-03","250","300","250","282","1922300","282"
"2016-03-04","274","291","273","279","471000","279"
"2016-03-07","295","314","286","304","1204900","304"
"2016-03-08","294","296","280","289","443800","289"
"2016-03-09","290","290","280","282","129600","282"
"2016-03-10","285","304","276","283","478600","283"
"2016-03-11","295","306","290","296","656900","296"
"2016-03-14","300","307","297","304","243400","304"
"2016-03-15","301","304","291","296","150600","296"
"2016-03-16","290","295","288","288","71900","288"
"2016-03-17","289","292","278","278","153100","278"
"2016-03-18","278","287","266","279","186500","279"
"2016-03-22","281","289","279","279","106800","279"
"2016-03-23","294","308","283","293","1064700","293"
"2016-03-24","306","309","295","299","450300","299"
"2016-03-25","300","303","289","289","150900","289"
"2016-03-28","293","293","279","281","128900","281"
