3356 東証JQS (株)テリロジー（卸売業）,,,,,
"2014-04-18","134","134","129","129","249600","129"
"2014-04-21","130","130","124","126","261800","126"
"2014-04-22","125","126","119","119","203100","119"
"2014-04-23","123","123","117","118","201400","118"
"2014-04-24","121","126","118","120","208300","120"
"2014-04-25","122","123","120","120","79300","120"
"2014-04-28","120","121","117","117","61500","117"
"2014-04-30","120","120","115","116","69500","116"
"2014-05-01","116","119","116","118","53700","118"
"2014-05-02","119","119","116","119","53100","119"
"2014-05-07","118","119","117","117","53300","117"
"2014-05-08","118","124","117","124","91800","124"
"2014-05-09","129","138","120","121","1089500","121"
"2014-05-12","120","122","113","113","223600","113"
"2014-05-13","114","116","113","114","94300","114"
"2014-05-14","116","117","113","115","59700","115"
"2014-05-15","116","119","114","118","47900","118"
"2014-05-16","118","118","116","116","39500","116"
"2014-05-19","116","116","108","108","120600","108"
"2014-05-20","112","127","112","116","1426800","116"
"2014-05-21","114","118","112","116","214000","116"
"2014-05-22","118","136","118","128","1734100","128"
"2014-05-23","123","137","121","127","885600","127"
"2014-05-26","132","138","128","134","911600","134"
"2014-05-27","134","136","130","133","386200","133"
"2014-05-28","134","137","130","131","217700","131"
"2014-05-29","130","177","128","163","4331100","163"
"2014-05-30","163","164","146","157","1630200","157"
"2014-06-02","162","207","162","207","10912600","207"
"2014-06-03","239","280","214","221","14180500","221"
"2014-06-04","215","235","202","218","3473900","218"
"2014-06-05","218","227","203","213","2129900","213"
"2014-06-06","210","260","205","210","5843800","210"
"2014-06-09","216","237","213","219","4513900","219"
"2014-06-10","216","216","194","199","1445400","199"
"2014-06-11","196","206","191","199","965800","199"
"2014-06-12","210","219","201","203","1585900","203"
"2014-06-13","200","206","195","198","503400","198"
"2014-06-16","195","200","192","196","378800","196"
"2014-06-17","197","198","188","190","407000","190"
"2014-06-18","192","194","185","191","507100","191"
"2014-06-19","205","208","194","194","1108300","194"
"2014-06-20","189","194","185","194","390900","194"
"2014-06-23","209","227","198","213","5595700","213"
"2014-06-24","212","232","207","230","1781100","230"
"2014-06-25","243","309","224","286","9363200","286"
"2014-06-26","296","347","263","268","8815200","268"
"2014-06-27","284","348","266","348","7710700","348"
"2014-06-30","370","405","311","311","11089000","311"
"2014-07-01","350","366","321","333","4226900","333"
"2014-07-02","349","352","316","322","1723600","322"
"2014-07-03","313","325","295","313","1496100","313"
"2014-07-04","308","313","296","301","820900","301"
"2014-07-07","299","340","290","304","2497100","304"
"2014-07-08","291","304","289","300","891300","300"
"2014-07-09","288","295","280","285","627300","285"
"2014-07-10","290","290","267","272","640900","272"
"2014-07-11","291","308","280","295","2157700","295"
"2014-07-14","287","334","287","322","1825200","322"
"2014-07-15","319","348","305","325","2582700","325"
"2014-07-16","321","325","306","315","759700","315"
"2014-07-17","309","336","300","305","1180700","305"
"2014-07-18","289","307","288","299","574600","299"
"2014-07-22","309","322","304","318","994000","318"
"2014-07-23","326","355","322","339","1773200","339"
"2014-07-24","329","339","311","321","1036200","321"
"2014-07-25","319","342","316","335","997400","335"
"2014-07-28","335","353","333","349","1175600","349"
"2014-07-29","357","359","338","348","900600","348"
"2014-07-30","341","344","306","306","993500","306"
"2014-07-31","323","324","297","300","975600","300"
"2014-08-01","292","311","285","302","666900","302"
"2014-08-04","286","290","279","283","543400","283"
"2014-08-05","286","294","266","272","429300","272"
"2014-08-06","279","284","256","260","408600","260"
"2014-08-07","265","265","247","259","374700","259"
"2014-08-08","249","251","222","235","499400","235"
"2014-08-11","251","253","243","248","176800","248"
"2014-08-12","241","243","221","223","466000","223"
"2014-08-13","226","229","216","225","272200","225"
"2014-08-14","225","235","225","231","185500","231"
"2014-08-15","224","232","223","232","141200","232"
"2014-08-18","226","251","226","243","577900","243"
"2014-08-19","241","247","236","237","254700","237"
"2014-08-20","237","239","227","230","195300","230"
"2014-08-21","228","230","221","223","146700","223"
"2014-08-22","221","224","217","222","141500","222"
"2014-08-25","222","233","219","226","181800","226"
"2014-08-26","234","306","234","306","5808300","306"
"2014-08-27","290","305","266","270","1986500","270"
"2014-08-28","266","271","255","256","504200","256"
"2014-08-29","253","258","245","256","313900","256"
"2014-09-01","269","270","259","259","311900","259"
"2014-09-02","261","263","250","254","215400","254"
"2014-09-03","259","277","249","275","334700","275"
"2014-09-04","275","275","250","255","459600","255"
"2014-09-05","256","262","250","253","189900","253"
"2014-09-08","255","257","249","251","186200","251"
"2014-09-09","252","252","238","244","121100","244"
"2014-09-10","246","247","236","236","112700","236"
"2014-09-11","233","246","233","238","198700","238"
"2014-09-12","238","240","233","240","108800","240"
"2014-09-16","240","252","240","246","159300","246"
"2014-09-17","246","247","237","238","116500","238"
"2014-09-18","238","243","237","238","59300","238"
"2014-09-19","238","241","237","240","70300","240"
"2014-09-22","240","273","240","258","612400","258"
"2014-09-24","270","319","265","295","5960000","295"
"2014-09-25","294","322","281","287","2162800","287"
"2014-09-26","271","276","258","264","703200","264"
"2014-09-29","288","310","277","296","2452300","296"
"2014-09-30","288","293","264","279","600200","279"
"2014-10-01","255","265","243","243","867900","243"
"2014-10-02","244","260","230","248","805300","248"
"2014-10-03","243","248","236","245","270300","245"
"2014-10-06","246","265","239","257","425400","257"
"2014-10-07","248","255","242","243","246100","243"
"2014-10-08","236","243","234","239","151200","239"
"2014-10-09","247","248","230","230","355700","230"
"2014-10-10","220","224","219","219","280900","219"
"2014-10-14","201","219","201","213","280700","213"
"2014-10-15","212","222","209","211","124200","211"
"2014-10-16","209","209","200","201","147900","201"
"2014-10-17","203","205","190","191","179600","191"
"2014-10-20","199","237","197","205","921100","205"
"2014-10-21","203","208","199","201","303200","201"
"2014-10-22","205","279","203","254","5712800","254"
"2014-10-23","246","264","233","235","1934800","235"
"2014-10-24","234","245","220","223","995800","223"
"2014-10-27","225","228","219","219","220200","219"
"2014-10-28","217","237","210","230","594500","230"
"2014-10-29","226","237","222","222","212900","222"
"2014-10-30","223","228","217","219","216000","219"
"2014-10-31","220","225","215","220","156000","220"
"2014-11-04","228","228","221","223","212700","223"
"2014-11-05","228","235","222","228","308500","228"
"2014-11-06","233","269","229","245","2120600","245"
"2014-11-07","250","253","233","235","607900","235"
"2014-11-10","238","238","228","233","217200","233"
"2014-11-11","232","232","225","228","201900","228"
"2014-11-12","233","233","224","225","188400","225"
"2014-11-13","225","234","220","229","247800","229"
"2014-11-14","240","240","224","226","262400","226"
"2014-11-17","225","226","220","220","162900","220"
"2014-11-18","220","226","219","222","120600","222"
"2014-11-19","226","226","220","223","67600","223"
"2014-11-20","219","220","217","217","149200","217"
"2014-11-21","216","222","215","221","97900","221"
"2014-11-25","222","227","219","221","165600","221"
"2014-11-26","222","227","220","224","169500","224"
"2014-11-27","225","242","223","235","507500","235"
"2014-11-28","231","235","222","223","226100","223"
"2014-12-01","222","223","220","220","126800","220"
"2014-12-02","221","226","221","223","59700","223"
"2014-12-03","222","225","218","218","144000","218"
"2014-12-04","217","221","212","213","176600","213"
"2014-12-05","214","218","212","212","65100","212"
"2014-12-08","212","213","207","208","98700","208"
"2014-12-09","207","208","202","203","123900","203"
"2014-12-10","203","209","200","204","101200","204"
"2014-12-11","202","214","202","210","106900","210"
"2014-12-12","213","213","203","204","110600","204"
"2014-12-15","204","205","200","200","63000","200"
"2014-12-16","197","197","191","193","134500","193"
"2014-12-17","187","194","186","189","93300","189"
"2014-12-18","192","196","191","192","76000","192"
"2014-12-19","193","197","191","191","103200","191"
"2014-12-22","191","193","186","188","97100","188"
"2014-12-24","188","188","175","177","204000","177"
"2014-12-25","172","176","168","175","304800","175"
"2014-12-26","173","185","173","184","128700","184"
"2014-12-29","185","190","180","186","114500","186"
"2014-12-30","183","194","183","192","109700","192"
