3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","168","169","161","165","463000","165"
"2014-01-07","167","189","165","167","1845900","167"
"2014-01-08","167","214","164","210","3262100","210"
"2014-01-09","211","216","180","186","2044500","186"
"2014-01-10","183","197","182","186","591000","186"
"2014-01-14","183","183","171","178","346100","178"
"2014-01-15","181","183","172","173","355600","173"
"2014-01-16","173","173","166","169","347400","169"
"2014-01-17","169","171","165","171","225900","171"
"2014-01-20","172","172","168","169","179300","169"
"2014-01-21","171","193","167","181","1838700","181"
"2014-01-22","181","187","174","177","414700","177"
"2014-01-23","182","210","181","184","5767400","184"
"2014-01-24","176","181","171","176","662300","176"
"2014-01-27","169","170","164","165","365700","165"
"2014-01-28","165","166","156","156","381300","156"
"2014-01-29","159","165","158","163","145200","163"
"2014-01-30","158","161","151","157","268900","157"
"2014-01-31","161","161","144","147","287400","147"
"2014-02-03","132","136","129","134","626900","134"
"2014-02-04","121","129","113","120","545100","120"
"2014-02-05","128","128","116","121","402800","121"
"2014-02-06","126","129","120","127","319000","127"
"2014-02-07","130","132","124","125","273400","125"
"2014-02-10","129","129","125","127","103000","127"
"2014-02-12","127","129","125","126","118900","126"
"2014-02-13","122","175","122","158","11154000","158"
"2014-02-14","153","161","135","141","1640800","141"
"2014-02-17","137","139","123","129","533700","129"
"2014-02-18","127","137","127","134","228300","134"
"2014-02-19","140","151","138","141","877700","141"
"2014-02-20","138","139","130","131","272800","131"
"2014-02-21","136","147","135","136","420600","136"
"2014-02-24","136","138","134","138","170700","138"
"2014-02-25","138","138","135","135","106300","135"
"2014-02-26","137","137","132","134","112300","134"
"2014-02-27","135","135","129","129","134500","129"
"2014-02-28","129","130","126","127","140700","127"
"2014-03-03","125","125","118","120","169000","120"
"2014-03-04","125","144","125","130","1423400","130"
"2014-03-05","131","135","128","131","206800","131"
"2014-03-06","134","134","130","132","90100","132"
"2014-03-07","135","135","131","131","129700","131"
"2014-03-10","132","134","130","132","43400","132"
"2014-03-11","132","145","132","140","976800","140"
"2014-03-12","136","138","134","134","268200","134"
"2014-03-13","134","138","132","133","207200","133"
"2014-03-14","128","129","124","126","184300","126"
"2014-03-17","125","129","123","124","99800","124"
"2014-03-18","128","128","121","123","201600","123"
"2014-03-19","126","127","122","124","102800","124"
"2014-03-20","122","122","115","118","190100","118"
"2014-03-24","110","114","106","114","235300","114"
"2014-03-25","116","116","109","110","193700","110"
"2014-03-26","110","113","106","106","130900","106"
"2014-03-27","107","111","101","107","135400","107"
"2014-03-28","111","130","111","116","874500","116"
"2014-03-31","118","118","115","116","98300","116"
"2014-04-01","120","125","117","120","119600","120"
"2014-04-02","120","122","119","119","100400","119"
"2014-04-03","120","120","118","118","75100","118"
"2014-04-04","118","119","117","118","46300","118"
"2014-04-07","117","117","111","113","93700","113"
"2014-04-08","111","115","110","115","64300","115"
"2014-04-09","116","118","112","117","98700","117"
"2014-04-10","117","117","110","113","128700","113"
"2014-04-11","108","111","108","110","47900","110"
"2014-04-14","113","147","113","125","6188700","125"
"2014-04-15","120","127","115","119","1006400","119"
"2014-04-16","129","144","126","135","2782200","135"
"2014-04-17","140","145","130","135","989700","135"
