3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2012-01-04","8250","8250","8000","8180","78","81.8"
"2012-01-05","8240","8240","7700","7800","122","78"
"2012-01-06","7560","7840","7550","7720","216","77.2"
"2012-01-10","7590","7710","7550","7700","85","77"
"2012-01-11","7700","7850","7600","7600","206","76"
"2012-01-12","7700","7860","7630","7780","102","77.8"
"2012-01-13","7580","7780","7580","7710","122","77.1"
"2012-01-16","7610","7690","7560","7670","105","76.7"
"2012-01-17","7760","7780","7500","7650","139","76.5"
"2012-01-18","7600","7790","7600","7700","94","77"
"2012-01-19","7750","7840","7700","7800","25","78"
"2012-01-20","7800","7960","7750","7950","126","79.5"
"2012-01-23","7950","8250","7950","8060","57","80.6"
"2012-01-24","8020","8030","8000","8030","105","80.3"
"2012-01-25","8000","8280","7950","8100","168","81"
"2012-01-26","8340","8430","8100","8430","77","84.3"
"2012-01-27","8430","8690","8430","8690","187","86.9"
"2012-01-30","8690","9090","7880","8030","723","80.3"
"2012-01-31","8120","8490","8080","8490","160","84.9"
"2012-02-01","8490","8600","8370","8600","99","86"
"2012-02-02","8450","8800","8350","8650","58","86.5"
"2012-02-03","8500","8790","8500","8780","38","87.8"
"2012-02-06","8790","8880","8780","8880","64","88.8"
"2012-02-07","8730","8800","8500","8800","70","88"
"2012-02-08","8520","8870","8500","8860","37","88.6"
"2012-02-09","8560","8770","8150","8420","194","84.2"
"2012-02-10","8240","8540","8240","8390","41","83.9"
"2012-02-13","8220","8600","8220","8600","93","86"
"2012-02-14","8400","8720","8400","8720","38","87.2"
"2012-02-15","8730","8780","8290","8780","119","87.8"
"2012-02-16","8480","8820","8480","8820","48","88.2"
"2012-02-17","8670","8840","8280","8700","127","87"
"2012-02-20","8600","8700","8400","8500","165","85"
"2012-02-21","8500","9080","8500","9080","411","90.8"
"2012-02-22","9100","9250","8910","9250","631","92.5"
"2012-02-23","9240","9350","9000","9300","156","93"
"2012-02-24","9100","9200","8910","9150","58","91.5"
"2012-02-27","9300","9300","8800","8800","255","88"
"2012-02-28","8800","8940","8700","8940","35","89.4"
"2012-02-29","8700","8920","8490","8580","241","85.8"
"2012-03-01","8540","8540","8000","8290","454","82.9"
"2012-03-02","8080","8360","8000","8290","216","82.9"
"2012-03-05","8180","8340","8150","8290","94","82.9"
"2012-03-06","8290","8300","8130","8130","31","81.3"
"2012-03-07","8130","8300","8130","8290","86","82.9"
"2012-03-08","8300","8400","8200","8400","79","84"
"2012-03-09","8400","8400","8250","8300","52","83"
"2012-03-12","8310","8400","8100","8200","265","82"
"2012-03-13","8250","8390","8160","8390","200","83.9"
"2012-03-14","8240","8480","8240","8480","95","84.8"
"2012-03-15","8500","8950","8490","8800","340","88"
"2012-03-16","8860","8950","8550","8950","271","89.5"
"2012-03-19","8990","9080","8850","9000","104","90"
"2012-03-21","8990","9290","8920","9270","331","92.7"
"2012-03-22","9230","9280","9010","9170","271","91.7"
"2012-03-23","8980","9180","8980","9040","79","90.4"
"2012-03-26","9190","9190","8950","9170","172","91.7"
"2012-03-27","9170","9170","8890","9150","46","91.5"
"2012-03-28","9000","9120","8990","9010","24","90.1"
"2012-03-29","9020","9130","8800","9020","76","90.2"
"2012-03-30","8920","9060","8890","9000","67","90"
"2012-04-02","8750","9300","8750","9260","20","92.6"
"2012-04-03","9210","9220","9080","9200","26","92"
"2012-04-04","9000","9180","8800","9150","155","91.5"
"2012-04-05","8930","9140","8910","9120","38","91.2"
"2012-04-06","9180","9180","9180","9180","9","91.8"
"2012-04-09","9180","9300","8990","9170","150","91.7"
"2012-04-10","9040","9300","9040","9300","91","93"
"2012-04-11","9300","9330","9100","9200","105","92"
"2012-04-12","9110","9200","9020","9190","23","91.9"
"2012-04-13","9210","9300","9000","9300","167","93"
"2012-04-16","9350","9350","9050","9310","7","93.1"
"2012-04-17","9250","9320","9090","9200","85","92"
"2012-04-18","9140","9200","9140","9150","54","91.5"
"2012-04-19","9120","9280","9100","9260","19","92.6"
"2012-04-20","9160","9250","9060","9160","56","91.6"
"2012-04-23","9240","9250","9000","9100","94","91"
"2012-04-24","9100","9120","8750","8750","198","87.5"
"2012-04-25","8950","9060","8850","9040","81","90.4"
"2012-04-26","9000","9100","8900","9000","42","90"
"2012-04-27","8910","9380","8700","9340","411","93.4"
"2012-05-01","9300","9310","9010","9300","95","93"
"2012-05-02","9100","9350","9100","9250","81","92.5"
"2012-05-07","9300","9350","9000","9350","195","93.5"
"2012-05-08","9380","9380","9010","9350","94","93.5"
"2012-05-09","9390","9390","8760","9000","198","90"
"2012-05-10","8850","9300","8850","9300","74","93"
"2012-05-11","9030","9360","8720","9350","935","93.5"
"2012-05-14","9180","9180","8700","9050","154","90.5"
"2012-05-15","8800","8800","8220","8800","367","88"
"2012-05-16","8790","8880","8550","8800","46","88"
"2012-05-17","8740","8840","8740","8840","73","88.4"
"2012-05-18","8700","8790","8600","8740","49","87.4"
"2012-05-21","8800","8850","8700","8700","34","87"
"2012-05-22","8520","8790","8510","8600","129","86"
"2012-05-23","8670","8700","8350","8650","92","86.5"
"2012-05-24","8650","8700","8500","8700","43","87"
"2012-05-25","8700","8700","8500","8680","33","86.8"
"2012-05-28","8380","8550","8380","8500","7","85"
"2012-05-29","8320","8670","8100","8650","35","86.5"
"2012-05-30","8500","8500","8500","8500","9","85"
"2012-05-31","8250","8500","8220","8490","23","84.9"
"2012-06-01","8500","8500","8500","8500","1","85"
"2012-06-04","8500","8500","7710","7900","229","79"
"2012-06-05","8000","8200","8000","8200","6","82"
"2012-06-06","7900","8200","7900","8190","100","81.9"
"2012-06-07","8330","8420","8040","8380","23","83.8"
"2012-06-08","8300","8300","7900","8100","164","81"
"2012-06-11","8300","8300","8130","8200","49","82"
"2012-06-12","8240","8240","8000","8060","76","80.6"
"2012-06-13","8190","8230","8060","8230","22","82.3"
"2012-06-15","8110","8240","8110","8110","17","81.1"
"2012-06-18","8200","8400","8110","8290","33","82.9"
"2012-06-19","8150","8300","8150","8180","19","81.8"
"2012-06-20","8260","8500","8180","8500","31","85"
"2012-06-21","8500","8700","8500","8700","99","87"
"2012-06-22","8700","8870","8500","8800","57","88"
"2012-06-25","9000","9300","8830","9270","740","92.7"
"2012-06-26","9120","9200","9000","9050","169","90.5"
"2012-06-27","9000","9300","8880","9200","84","92"
"2012-06-28","9050","9380","9000","9010","253","90.1"
"2012-06-29","9020","9100","8820","9100","111","91"
"2012-07-02","9100","9100","8820","9070","151","90.7"
"2012-07-03","9070","9070","8860","8880","24","88.8"
"2012-07-04","8660","8940","8650","8930","193","89.3"
"2012-07-05","8930","9000","8770","8850","36","88.5"
"2012-07-06","8700","9000","8700","8970","74","89.7"
"2012-07-09","8800","8980","8600","8980","83","89.8"
"2012-07-10","8710","8980","8700","8910","84","89.1"
"2012-07-11","8970","8970","8800","8900","44","89"
"2012-07-12","8750","8980","8700","8800","38","88"
"2012-07-13","8680","9100","8680","9100","122","91"
"2012-07-17","8950","8950","8730","8730","63","87.3"
"2012-07-18","8620","8740","8620","8630","67","86.3"
"2012-07-19","8630","9150","8630","9100","173","91"
"2012-07-20","9150","9350","8920","9200","401","92"
"2012-07-23","9100","10700","9100","10700","8023","107"
"2012-07-24","10450","10700","9410","9850","6869","98.5"
"2012-07-25","10010","11000","9030","9270","4576","92.7"
"2012-07-26","9230","9300","8710","8980","2622","89.8"
"2012-07-27","8960","8960","8610","8850","689","88.5"
"2012-07-30","8960","9100","8800","9010","572","90.1"
"2012-07-31","8100","8470","7510","7920","2140","79.2"
"2012-08-01","7810","8000","7660","7860","737","78.6"
"2012-08-02","7940","7950","7650","7720","489","77.2"
"2012-08-03","7870","7870","7280","7700","850","77"
"2012-08-06","7650","7770","7510","7640","152","76.4"
"2012-08-07","7930","7930","7590","7600","213","76"
"2012-08-08","7450","7600","7300","7340","403","73.4"
"2012-08-09","7570","7660","7410","7600","324","76"
"2012-08-10","7690","7700","7470","7530","137","75.3"
"2012-08-13","7450","7570","7300","7570","242","75.7"
"2012-08-14","7450","7550","7340","7350","242","73.5"
"2012-08-15","7310","7460","7310","7350","149","73.5"
"2012-08-16","7320","7470","7310","7450","95","74.5"
"2012-08-17","7390","7600","7390","7530","179","75.3"
"2012-08-20","7530","7850","7510","7800","289","78"
"2012-08-21","7800","7810","7600","7810","129","78.1"
"2012-08-22","7680","7700","7430","7600","409","76"
"2012-08-23","7570","7590","7430","7500","398","75"
"2012-08-24","7430","7620","7430","7480","328","74.8"
"2012-08-27","7650","7650","7550","7640","94","76.4"
"2012-08-28","7530","7770","7450","7770","155","77.7"
"2012-08-29","7650","7760","7430","7540","91","75.4"
"2012-08-30","7640","7690","7520","7550","122","75.5"
"2012-08-31","7450","7550","7450","7500","119","75"
"2012-09-03","7500","7520","7310","7500","132","75"
"2012-09-04","7450","7510","7400","7500","78","75"
"2012-09-05","7470","7470","7000","7040","1100","70.4"
"2012-09-06","7060","7450","7060","7180","159","71.8"
"2012-09-07","7390","7390","7200","7270","74","72.7"
"2012-09-10","7430","7430","7310","7400","64","74"
"2012-09-11","7800","7800","7370","7450","433","74.5"
"2012-09-12","7490","7490","7320","7450","86","74.5"
"2012-09-13","7310","7390","7200","7200","180","72"
"2012-09-14","7240","7410","7240","7410","107","74.1"
"2012-09-18","7400","7450","7310","7450","194","74.5"
"2012-09-19","7390","7450","7390","7430","80","74.3"
"2012-09-20","7500","7500","7390","7400","23","74"
"2012-09-21","7330","7400","7330","7400","51","74"
"2012-09-24","7400","7440","7360","7360","224","73.6"
"2012-09-25","7350","7370","7320","7370","135","73.7"
"2012-09-26","7320","7400","7320","7320","33","73.2"
"2012-09-27","7300","7410","7300","7400","21","74"
"2012-09-28","7280","7280","7220","7240","177","72.4"
"2012-10-01","7200","7200","7150","7180","70","71.8"
"2012-10-02","7160","7300","7100","7220","224","72.2"
"2012-10-03","7220","7320","7210","7210","29","72.1"
"2012-10-04","7310","7320","7220","7250","41","72.5"
"2012-10-05","7250","7290","7220","7290","50","72.9"
"2012-10-09","7320","7360","7240","7300","46","73"
"2012-10-10","7240","7360","7180","7350","168","73.5"
"2012-10-11","7210","7340","7090","7150","94","71.5"
"2012-10-12","7190","7190","7160","7160","83","71.6"
"2012-10-15","7180","7320","7180","7290","113","72.9"
"2012-10-16","7300","7300","7210","7280","126","72.8"
"2012-10-17","7250","7270","7180","7270","114","72.7"
"2012-10-18","7200","7320","7200","7270","209","72.7"
"2012-10-19","7290","7370","7280","7300","158","73"
"2012-10-22","7260","7290","7250","7290","68","72.9"
"2012-10-23","7300","7350","7300","7350","88","73.5"
"2012-10-24","7370","7370","7310","7320","68","73.2"
"2012-10-25","7390","7400","7260","7320","71","73.2"
"2012-10-26","7300","7300","7260","7280","71","72.8"
"2012-10-29","7270","7300","7050","7180","183","71.8"
"2012-10-30","7200","7300","7100","7280","70","72.8"
"2012-10-31","7090","7170","6800","7030","736","70.3"
"2012-11-01","7050","7100","6910","7040","236","70.4"
"2012-11-02","7040","7040","6970","7000","142","70"
"2012-11-05","7000","7070","6920","7000","230","70"
"2012-11-06","7000","7000","6950","7000","36","70"
"2012-11-07","7000","7200","6800","6800","795","68"
"2012-11-08","7000","7030","6800","6970","197","69.7"
"2012-11-09","6900","6950","6770","6930","108","69.3"
"2012-11-12","6820","6820","6500","6770","310","67.7"
"2012-11-13","6500","6620","6320","6460","269","64.6"
"2012-11-14","6360","6730","6360","6730","134","67.3"
"2012-11-15","6870","6870","6570","6830","228","68.3"
"2012-11-16","6830","6950","6760","6950","70","69.5"
"2012-11-19","6990","7100","6950","7020","189","70.2"
"2012-11-20","7100","7100","6980","6980","181","69.8"
"2012-11-21","7000","7120","6950","7090","119","70.9"
"2012-11-22","7100","7100","7000","7030","89","70.3"
"2012-11-26","7120","7120","7000","7050","109","70.5"
"2012-11-27","7000","7120","6980","7000","10","70"
"2012-11-28","6900","7140","6900","7100","182","71"
"2012-11-29","7020","7140","7000","7130","140","71.3"
"2012-11-30","7150","7250","7040","7250","171","72.5"
"2012-12-03","7260","7400","7150","7280","283","72.8"
"2012-12-04","7340","7470","7230","7230","390","72.3"
"2012-12-05","7200","7300","7180","7300","27","73"
"2012-12-06","7300","7300","6960","7200","405","72"
"2012-12-07","7200","7380","7200","7380","220","73.8"
"2012-12-10","7390","7390","7200","7370","226","73.7"
"2012-12-11","7220","7380","7200","7210","136","72.1"
"2012-12-12","7350","7360","7150","7300","70","73"
"2012-12-13","7300","7470","7230","7470","249","74.7"
"2012-12-14","7500","7850","7470","7800","686","78"
"2012-12-17","7900","9180","7900","8440","2532","84.4"
"2012-12-18","8550","8600","8200","8330","406","83.3"
"2012-12-19","8250","8320","8140","8180","189","81.8"
"2012-12-20","8250","8300","8010","8180","215","81.8"
"2012-12-21","8080","8130","7950","7950","573","79.5"
"2012-12-25","7950","8120","7910","8080","452","80.8"
"2012-12-26","8100","8200","8030","8200","78","82"
"2012-12-27","8200","8340","8200","8340","247","83.4"
"2012-12-28","8340","8340","8000","8220","111","82.2"
