3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","328","330","326","328","97500","328"
"2018-01-05","326","337","326","337","258800","337"
"2018-01-09","336","336","327","329","245400","329"
"2018-01-10","327","352","327","352","982600","352"
"2018-01-11","360","418","351","359","7714000","359"
"2018-01-12","357","374","351","355","1624000","355"
"2018-01-15","363","378","356","373","945600","373"
"2018-01-16","374","406","364","380","3765900","380"
"2018-01-17","383","408","367","377","2278600","377"
"2018-01-18","373","394","363","366","1466700","366"
"2018-01-19","374","398","374","393","2027700","393"
"2018-01-22","394","408","386","399","1864300","399"
"2018-01-23","397","398","386","389","935800","389"
"2018-01-24","389","396","374","381","1058800","381"
"2018-01-25","377","377","361","366","1043100","366"
"2018-01-26","371","386","360","382","1226100","382"
"2018-01-29","435","462","406","409","27672400","409"
"2018-01-30","410","449","389","401","14227700","401"
"2018-01-31","399","412","380","380","3864500","380"
"2018-02-01","386","434","386","416","11272700","416"
"2018-02-02","409","415","392","398","2059900","398"
"2018-02-05","406","466","405","427","18133400","427"
"2018-02-06","395","406","350","388","4066000","388"
"2018-02-07","405","415","363","363","2962700","363"
"2018-02-08","371","387","363","381","2486300","381"
"2018-02-09","357","385","356","382","1335000","382"
"2018-02-13","393","394","380","380","988000","380"
"2018-02-14","400","410","378","395","2199900","395"
"2018-02-15","399","452","388","435","4608800","435"
"2018-02-16","451","500","438","457","8693500","457"
"2018-02-19","458","494","450","485","3610100","485"
"2018-02-20","478","530","477","514","5239400","514"
"2018-02-21","508","524","477","506","3755300","506"
"2018-02-22","500","543","495","520","3788200","520"
"2018-02-23","530","552","525","537","2761300","537"
"2018-02-26","544","555","521","525","1709900","525"
"2018-02-27","526","566","510","533","3006700","533"
"2018-02-28","533","577","529","559","3030000","559"
"2018-03-01","564","572","540","541","1898000","541"
"2018-03-02","525","560","522","551","1561100","551"
"2018-03-05","557","562","506","518","1275700","518"
"2018-03-06","526","590","525","587","3029300","587"
"2018-03-07","583","658","571","603","7478500","603"
"2018-03-08","612","639","603","627","3207800","627"
"2018-03-09","637","639","599","607","1603000","607"
"2018-03-12","603","618","571","585","1391900","585"
"2018-03-13","591","605","573","590","955100","590"
"2018-03-14","590","601","574","597","924200","597"
"2018-03-15","597","606","576","578","745300","578"
"2018-03-16","564","571","519","529","2173800","529"
"2018-03-19","533","535","495","511","1104900","511"
"2018-03-20","500","507","481","489","904700","489"
"2018-03-22","492","499","475","479","651100","479"
"2018-03-23","465","477","457","457","607400","457"
"2018-03-26","450","466","435","454","627700","454"
"2018-03-27","457","469","451","455","438900","455"
"2018-03-28","456","490","456","458","1303600","458"
"2018-03-29","465","484","453","480","1150900","480"
"2018-03-30","475","484","471","475","913800","475"
"2018-04-02","476","488","454","454","1003600","454"
"2018-04-03","445","453","440","446","492900","446"
"2018-04-04","468","468","425","429","1146900","429"
"2018-04-05","435","439","426","432","502900","432"
"2018-04-06","435","435","416","422","445100","422"
"2018-04-09","415","434","412","426","433500","426"
"2018-04-10","421","424","414","420","306900","420"
"2018-04-11","420","433","408","414","494800","414"
"2018-04-12","413","427","413","415","227700","415"
"2018-04-13","420","426","414","426","201700","426"
"2018-04-16","429","430","403","408","618300","408"
"2018-04-17","411","416","392","413","482500","413"
"2018-04-18","411","422","406","416","285000","416"
"2018-04-19","416","419","404","405","326400","405"
"2018-04-20","406","420","399","420","400000","420"
"2018-04-23","424","427","414","417","347700","417"
"2018-04-24","420","431","414","416","398900","416"
"2018-04-25","413","420","412","420","196300","420"
"2018-04-26","428","436","408","408","834900","408"
"2018-04-27","413","415","403","403","331100","403"
"2018-05-01","402","411","394","411","323000","411"
"2018-05-02","408","414","403","406","216900","406"
"2018-05-07","406","412","402","405","180700","405"
"2018-05-08","405","420","405","419","209000","419"
"2018-05-09","499","499","499","499","251100","499"
"2018-05-10","534","542","493","501","12158300","501"
"2018-05-11","517","553","513","515","5647600","515"
"2018-05-14","520","525","500","503","1425100","503"
"2018-05-15","509","512","422","431","4005900","431"
"2018-05-16","434","435","420","422","929600","422"
"2018-05-17","420","444","420","440","1156000","440"
"2018-05-18","439","439","427","437","667100","437"
"2018-05-21","444","471","441","459","1262400","459"
"2018-05-22","461","469","451","465","617000","465"
"2018-05-23","463","478","455","471","739800","471"
"2018-05-24","481","527","478","525","3203000","525"
"2018-05-25","524","537","501","511","2851800","511"
"2018-05-28","515","530","508","509","1270600","509"
"2018-05-29","507","513","478","498","1059900","498"
"2018-05-30","484","489","469","471","841200","471"
"2018-05-31","476","512","470","492","2533200","492"
"2018-06-01","502","537","484","533","4920700","533"
"2018-06-04","580","602","550","556","10583900","556"
"2018-06-05","570","571","525","535","4193400","535"
"2018-06-06","540","540","495","495","3736200","495"
"2018-06-07","509","538","491","531","4003100","531"
"2018-06-08","537","586","530","583","6112500","583"
"2018-06-11","601","613","562","572","8535300","572"
"2018-06-12","568","630","564","624","6876600","624"
"2018-06-13","631","635","603","613","5792800","613"
"2018-06-14","603","649","602","630","4973000","630"
"2018-06-15","632","646","613","639","4471700","639"
"2018-06-18","639","639","607","615","2187000","615"
"2018-06-19","589","610","556","561","3884000","561"
"2018-06-20","570","617","560","609","3248400","609"
"2018-06-21","605","653","593","638","4020500","638"
"2018-06-22","628","649","594","595","3941700","595"
"2018-06-25","607","618","572","586","2759100","586"
"2018-06-26","576","632","568","620","3166800","620"
"2018-06-27","621","635","601","606","2269900","606"
"2018-06-28","607","611","590","595","1277100","595"
"2018-06-29","585","593","572","575","1942800","575"
"2018-07-02","585","604","576","596","1806600","596"
"2018-07-03","611","632","596","600","3202500","600"
"2018-07-04","602","616","585","602","1549900","602"
"2018-07-05","594","604","562","597","2156800","597"
"2018-07-06","597","609","589","606","1811900","606"
"2018-07-09","615","656","613","656","3906400","656"
"2018-07-10","658","684","635","666","4466000","666"
"2018-07-11","656","666","623","633","3421300","633"
"2018-07-12","639","659","623","650","2447100","650"
"2018-07-13","658","750","654","731","9889500","731"
"2018-07-17","742","788","724","765","8877700","765"
"2018-07-18","758","782","752","768","3478600","768"
"2018-07-19","791","840","782","812","7108900","812"
"2018-07-20","807","823","803","807","2645400","807"
"2018-07-23","790","822","767","815","2811000","815"
"2018-07-24","841","849","816","827","3342300","827"
"2018-07-25","825","836","814","821","1812100","821"
"2018-07-26","812","832","794","829","2179900","829"
"2018-07-27","832","838","816","827","1394700","827"
"2018-07-30","832","833","810","810","1038500","810"
"2018-07-31","801","826","795","807","1223700","807"
"2018-08-01","814","822","803","811","851600","811"
"2018-08-02","812","825","808","815","1342000","815"
"2018-08-03","814","823","800","815","2181500","815"
"2018-08-06","818","818","800","801","1496100","801"
