3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-01-04","693000","747000","674000","725000","1207","1812.5"
"2006-01-05","750000","750000","718000","730000","1723","1825"
"2006-01-06","725000","725000","705000","707000","1000","1767.5"
"2006-01-10","687000","788000","678000","773000","2259","1932.5"
"2006-01-11","771000","818000","771000","806000","2979","2015"
"2006-01-12","826000","830000","801000","820000","1320","2050"
"2006-01-13","813000","870000","805000","857000","1627","2142.5"
"2006-01-16","887000","953000","850000","948000","2646","2370"
"2006-01-17","916000","936000","846000","846000","2451","2115"
"2006-01-18","746000","746000","746000","746000","90","1865"
"2006-01-19","726000","824000","726000","762000","2165","1905"
"2006-01-20","792000","799000","696000","707000","793","1767.5"
"2006-01-23","667000","707000","607000","607000","842","1517.5"
"2006-01-24","667000","685000","640000","670000","682","1675"
"2006-01-25","699000","755000","690000","720000","1212","1800"
"2006-01-26","750000","765000","730000","740000","477","1850"
"2006-01-27","757000","758000","711000","727000","597","1817.5"
"2006-01-30","740000","748000","706000","706000","578","1765"
"2006-01-31","707000","735000","700000","724000","445","1810"
"2006-02-01","714000","728000","713000","727000","252","1817.5"
"2006-02-02","735000","827000","735000","827000","2234","2067.5"
"2006-02-03","837000","876000","800000","810000","2158","2025"
"2006-02-06","790000","850000","789000","820000","969","2050"
"2006-02-07","815000","845000","810000","839000","863","2097.5"
"2006-02-08","832000","832000","790000","793000","645","1982.5"
"2006-02-09","803000","820000","775000","780000","352","1950"
"2006-02-10","774000","775000","718000","735000","631","1837.5"
"2006-02-13","738000","738000","651000","654000","398","1635"
"2006-02-14","634000","716000","554000","700000","540","1750"
"2006-02-15","710000","719000","662000","662000","230","1655"
"2006-02-16","632000","660000","612000","612000","220","1530"
"2006-02-17","620000","640000","560000","574000","402","1435"
"2006-02-20","524000","551000","502000","514000","522","1285"
"2006-02-21","544000","614000","539000","611000","883","1527.5"
"2006-02-22","620000","705000","612000","671000","686","1677.5"
"2006-02-23","676000","730000","676000","690000","541","1725"
"2006-02-24","690000","710000","680000","703000","331","1757.5"
"2006-02-27","710000","730000","671000","673000","422","1682.5"
"2006-02-28","700000","713000","680000","693000","563","1732.5"
"2006-03-01","688000","689000","660000","674000","281","1685"
"2006-03-02","680000","687000","652000","654000","171","1635"
"2006-03-03","640000","650000","625000","630000","135","1575"
"2006-03-06","631000","678000","616000","678000","134","1695"
"2006-03-07","677000","678000","658000","662000","73","1655"
"2006-03-08","668000","683000","650000","683000","161","1707.5"
"2006-03-09","673000","687000","661000","686000","106","1715"
"2006-03-10","680000","704000","676000","690000","160","1725"
"2006-03-13","700000","700000","690000","698000","131","1745"
"2006-03-14","708000","710000","700000","706000","230","1765"
"2006-03-15","606000","655000","606000","645000","2057","1612.5"
"2006-03-16","635000","640000","620000","621000","356","1552.5"
"2006-03-17","630000","635000","620000","634000","197","1585"
"2006-03-20","637000","645000","628000","628000","147","1570"
"2006-03-22","625000","627000","615000","623000","187","1557.5"
"2006-03-23","620000","622000","607000","612000","197","1530"
"2006-03-24","610000","611000","602000","602000","259","1505"
"2006-03-27","612000","615000","605000","611000","395","1527.5"
"2006-03-28","149000","150000","135000","139000","3081","1390"
"2006-03-29","141000","152000","141000","149000","3764","1490"
"2006-03-30","152000","156000","149000","151000","2817","1510"
"2006-03-31","152000","155000","151000","154000","1283","1540"
"2006-04-03","154000","160000","154000","159000","1475","1590"
"2006-04-04","160000","162000","156000","156000","1057","1560"
"2006-04-05","159000","160000","154000","155000","909","1550"
"2006-04-06","156000","158000","155000","157000","610","1570"
"2006-04-07","159000","178000","157000","170000","6707","1700"
"2006-04-10","173000","184000","170000","184000","6124","1840"
"2006-04-11","187000","188000","178000","180000","2769","1800"
"2006-04-12","177000","179000","175000","176000","758","1760"
"2006-04-13","176000","178000","165000","172000","818","1720"
"2006-04-14","170000","175000","168000","174000","824","1740"
"2006-04-17","170000","170000","164000","164000","611","1640"
"2006-04-18","160000","167000","157000","164000","389","1640"
"2006-04-19","164000","167000","163000","167000","243","1670"
"2006-04-20","168000","168000","155000","159000","505","1590"
"2006-04-21","153000","157000","145000","147000","1179","1470"
"2006-04-24","141000","149000","140000","149000","432","1490"
"2006-04-25","148000","155000","148000","155000","438","1550"
"2006-04-26","157000","160000","156000","157000","289","1570"
"2006-04-27","162000","162000","157000","157000","401","1570"
"2006-04-28","155000","162000","152000","160000","329","1600"
"2006-05-01","159000","159000","155000","158000","164","1580"
"2006-05-02","157000","160000","155000","156000","200","1560"
"2006-05-08","155000","159000","154000","156000","265","1560"
"2006-05-09","157000","157000","153000","154000","231","1540"
"2006-05-10","153000","156000","150000","151000","180","1510"
"2006-05-11","150000","150000","143000","144000","301","1440"
"2006-05-12","140000","145000","138000","145000","482","1450"
"2006-05-15","144000","147000","141000","145000","224","1450"
"2006-05-16","145000","145000","135000","139000","344","1390"
"2006-05-17","135000","137000","130000","134000","498","1340"
"2006-05-18","134000","136000","131000","134000","916","1340"
"2006-05-19","132000","135000","131000","133000","526","1330"
"2006-05-22","137000","139000","133000","135000","476","1350"
"2006-05-23","125000","131000","123000","127000","540","1270"
"2006-05-24","129000","130000","123000","128000","493","1280"
"2006-05-25","130000","130000","125000","127000","215","1270"
"2006-05-26","127000","128000","124000","127000","390","1270"
"2006-05-29","125000","128000","119000","119000","301","1190"
"2006-05-30","113000","115000","107000","108000","778","1080"
"2006-05-31","102000","115000","99500","113000","1481","1130"
"2006-06-01","111000","117000","102000","103000","516","1030"
"2006-06-02","101000","107000","85000","104000","1113","1040"
"2006-06-05","108000","122000","104000","120000","521","1200"
"2006-06-06","116000","126000","115000","118000","592","1180"
"2006-06-07","120000","122000","116000","117000","205","1170"
"2006-06-08","115000","115000","107000","111000","493","1110"
"2006-06-09","113000","117000","107000","112000","388","1120"
"2006-06-12","114000","115000","112000","113000","215","1130"
"2006-06-13","110000","113000","109000","109000","146","1090"
"2006-06-14","105000","112000","105000","110000","259","1100"
"2006-06-15","115000","116000","111000","114000","469","1140"
"2006-06-16","118000","120000","114000","117000","736","1170"
"2006-06-19","118000","120000","116000","118000","255","1180"
"2006-06-20","118000","118000","113000","114000","145","1140"
"2006-06-21","113000","114000","107000","111000","213","1110"
"2006-06-22","114000","114000","109000","111000","132","1110"
"2006-06-23","109000","111000","108000","110000","114","1100"
"2006-06-26","112000","112000","109000","111000","103","1110"
"2006-06-27","110000","111000","109000","110000","46","1100"
"2006-06-28","109000","110000","106000","108000","158","1080"
"2006-06-29","109000","109000","107000","108000","77","1080"
"2006-06-30","110000","111000","105000","106000","232","1060"
"2006-07-03","107000","111000","105000","110000","356","1100"
"2006-07-04","109000","119000","109000","119000","1282","1190"
"2006-07-05","119000","139000","113000","127000","5236","1270"
"2006-07-06","127000","130000","121000","122000","1104","1220"
"2006-07-07","123000","125000","120000","123000","314","1230"
"2006-07-10","124000","127000","114000","119000","1192","1190"
"2006-07-11","120000","120000","110000","112000","336","1120"
"2006-07-12","113000","115000","105000","108000","398","1080"
"2006-07-13","104000","109000","103000","106000","257","1060"
"2006-07-14","101000","102000","99600","101000","520","1010"
"2006-07-18","101000","101000","85100","88700","678","887"
"2006-07-19","88700","91900","86500","87100","320","871"
