3356 東証JQS (株)テリロジー（卸売業）,,,,,
"2009-06-29","11600","11600","11200","11200","182","112"
"2009-06-30","11230","11490","10860","11220","142","112.2"
"2009-07-01","10910","11200","10750","11200","210","112"
"2009-07-02","11190","11490","10800","11000","126","110"
"2009-07-03","10630","10800","10610","10650","64","106.5"
"2009-07-06","10810","12650","10810","12650","515","126.5"
"2009-07-07","13150","13600","12300","12300","680","123"
"2009-07-08","11300","12700","10910","12660","311","126.6"
"2009-07-09","12530","12530","11100","11950","86","119.5"
"2009-07-10","10950","11200","10460","10680","130","106.8"
"2009-07-13","11000","11000","10000","10000","199","100"
"2009-07-14","9800","10890","9800","10800","116","108"
"2009-07-15","11100","11100","10500","10900","45","109"
"2009-07-16","11300","11300","10500","10900","31","109"
"2009-07-17","11100","11300","10270","10870","21","108.7"
"2009-07-21","10670","10730","10500","10530","126","105.3"
"2009-07-22","10730","10730","10280","10650","72","106.5"
"2009-07-23","10810","11000","10450","11000","44","110"
"2009-07-24","11000","11000","10500","10790","72","107.9"
"2009-07-27","10510","10990","10510","10970","95","109.7"
"2009-07-28","10900","11140","10500","11100","103","111"
"2009-07-29","11000","11150","10680","10680","78","106.8"
"2009-07-30","10680","10980","10500","10900","67","109"
"2009-07-31","10510","10970","10410","10970","92","109.7"
"2009-08-03","10530","10900","10530","10700","53","107"
"2009-08-04","10690","10870","10600","10860","28","108.6"
"2009-08-05","10860","10880","10610","10630","26","106.3"
"2009-08-06","10620","10800","10600","10600","66","106"
"2009-08-07","10520","10800","10460","10600","56","106"
"2009-08-10","10760","10800","10500","10790","95","107.9"
"2009-08-11","10520","10700","10470","10500","139","105"
"2009-08-12","10450","10500","10300","10300","70","103"
"2009-08-13","10290","10300","10020","10200","197","102"
"2009-08-14","10410","10570","10200","10200","37","102"
"2009-08-17","10550","10550","10150","10150","30","101.5"
"2009-08-18","9990","10510","9990","10500","137","105"
"2009-08-19","10470","10470","10100","10100","20","101"
"2009-08-20","9990","10400","9990","10100","25","101"
"2009-08-21","10100","10190","9950","10190","60","101.9"
"2009-08-24","9990","10200","9990","10200","24","102"
"2009-08-25","10400","10400","9980","10100","88","101"
"2009-08-26","10000","10000","9870","10000","115","100"
"2009-08-27","10000","10400","9920","10400","41","104"
"2009-08-28","10400","10400","9900","10000","69","100"
"2009-08-31","9910","10440","9880","10440","65","104.4"
"2009-09-01","10440","10550","10440","10550","49","105.5"
"2009-09-02","10350","10670","10010","10670","21","106.7"
"2009-09-03","10470","11000","10400","11000","145","110"
"2009-09-04","11050","13000","11050","13000","1270","130"
"2009-09-07","14600","15000","11290","12400","3572","124"
"2009-09-08","11390","11500","10510","11500","754","115"
"2009-09-09","10700","11390","10580","11200","577","112"
"2009-09-10","10400","11200","10300","10990","544","109.9"
"2009-09-11","11180","11180","10450","10540","306","105.4"
"2009-09-14","10340","10850","10330","10700","152","107"
"2009-09-15","10500","10700","10310","10310","126","103.1"
"2009-09-16","10320","10520","10100","10200","264","102"
"2009-09-17","10130","10350","10100","10200","52","102"
"2009-09-18","10090","10190","9810","10190","257","101.9"
"2009-09-24","10000","10670","9810","10560","141","105.6"
"2009-09-25","10760","10760","10220","10500","68","105"
"2009-09-28","10400","10400","10000","10000","31","100"
"2009-09-29","9800","10000","9100","10000","241","100"
"2009-09-30","9500","9750","9400","9750","126","97.5"
"2009-10-01","9550","9650","9450","9500","22","95"
"2009-10-02","9030","9400","8910","9200","115","92"
"2009-10-05","9010","9500","9000","9490","60","94.9"
"2009-10-06","9400","9500","9400","9500","9","95"
"2009-10-07","9500","9600","9300","9600","53","96"
"2009-10-08","9900","10200","9530","9830","54","98.3"
"2009-10-09","9610","10150","9520","10140","30","101.4"
"2009-10-13","10060","10390","10060","10370","15","103.7"
"2009-10-14","10370","10450","10100","10390","20","103.9"
"2009-10-15","10300","10360","9990","10360","48","103.6"
"2009-10-16","10000","10290","10000","10290","11","102.9"
"2009-10-19","10250","10250","9800","9800","44","98"
"2009-10-20","9820","10000","9820","10000","9","100"
"2009-10-21","9900","10000","9800","9910","41","99.1"
"2009-10-22","9810","10050","9750","10050","34","100.5"
"2009-10-23","9800","10000","9500","10000","102","100"
"2009-10-26","10300","11990","9060","11970","673","119.7"
"2009-10-27","10450","10450","9970","10400","58","104"
"2009-10-28","10020","10020","10000","10000","17","100"
"2009-10-29","10010","10010","9900","9950","23","99.5"
"2009-10-30","9450","9980","9450","9600","94","96"
"2009-11-02","9200","9500","9000","9500","125","95"
"2009-11-04","9200","9230","9120","9120","43","91.2"
"2009-11-05","9120","9130","8900","8900","74","89"
"2009-11-06","8900","9000","8730","9000","40","90"
"2009-11-09","9000","9320","9000","9220","19","92.2"
"2009-11-10","8920","9140","8920","8940","7","89.4"
"2009-11-11","8850","9000","8700","8700","76","87"
"2009-11-12","8800","8800","8610","8610","56","86.1"
"2009-11-13","8230","8230","7800","7800","160","78"
"2009-11-16","7900","8940","7700","8930","92","89.3"
"2009-11-17","8330","8400","8040","8110","53","81.1"
"2009-11-18","8040","8100","7990","7990","31","79.9"
"2009-11-19","8000","8000","8000","8000","2","80"
"2009-11-20","7800","8500","7800","8180","18","81.8"
"2009-11-24","7580","7850","7310","7310","77","73.1"
"2009-11-25","7810","7910","7450","7780","78","77.8"
"2009-11-26","7990","8170","7510","7710","26","77.1"
"2009-11-27","7210","7250","7000","7200","130","72"
"2009-11-30","7000","7110","6800","6800","56","68"
"2009-12-01","7200","7200","6600","6970","98","69.7"
"2009-12-02","6870","7280","6800","7280","174","72.8"
"2009-12-03","7340","7490","6850","7400","183","74"
"2009-12-04","7700","7860","7100","7860","112","78.6"
"2009-12-07","7800","7810","7310","7310","140","73.1"
"2009-12-08","7500","8180","7350","7450","312","74.5"
"2009-12-09","7700","7700","6810","7300","353","73"
"2009-12-10","7010","7400","6960","7400","132","74"
"2009-12-11","7600","7600","7400","7580","155","75.8"
"2009-12-14","7300","7600","7100","7600","37","76"
"2009-12-15","7400","7600","7400","7550","67","75.5"
"2009-12-16","7650","7700","7400","7600","172","76"
"2009-12-17","7450","7600","7300","7550","215","75.5"
"2009-12-18","7400","7550","7300","7550","55","75.5"
"2009-12-21","7350","7550","7070","7350","150","73.5"
"2009-12-22","7350","7400","7110","7400","75","74"
"2009-12-24","7400","7690","7110","7210","152","72.1"
"2009-12-25","7310","7550","6850","7550","365","75.5"
"2009-12-28","7550","7550","7120","7280","41","72.8"
"2009-12-29","7500","7700","7250","7670","205","76.7"
"2009-12-30","7500","7590","7300","7530","45","75.3"
