3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-06","6650","6800","6500","6510","54","65.1"
"2009-01-07","6910","6910","6600","6610","27","66.1"
"2009-01-08","6600","6610","6520","6610","20","66.1"
"2009-01-09","6610","6650","6610","6640","6","66.4"
"2009-01-13","6650","6650","6650","6650","9","66.5"
"2009-01-14","6890","6890","6450","6850","24","68.5"
"2009-01-15","6660","6660","6400","6600","72","66"
"2009-01-16","6500","6500","6200","6500","30","65"
"2009-01-19","6500","6500","6300","6310","19","63.1"
"2009-01-20","6200","6200","6100","6200","31","62"
"2009-01-21","6200","6200","6000","6000","75","60"
"2009-01-22","6000","6010","6000","6000","79","60"
"2009-01-23","6020","6650","6020","6650","34","66.5"
"2009-01-26","6650","6650","6500","6650","46","66.5"
"2009-01-27","6500","6500","6250","6250","25","62.5"
"2009-01-28","6100","6200","6000","6200","44","62"
"2009-01-29","6640","6640","6640","6640","10","66.4"
"2009-01-30","6500","6500","6500","6500","2","65"
"2009-02-02","6000","6490","6000","6490","99","64.9"
"2009-02-03","6000","6400","6000","6300","25","63"
"2009-02-04","6200","6300","5900","6300","32","63"
"2009-02-05","6100","6100","5800","5900","25","59"
"2009-02-06","5700","6090","5700","6000","40","60"
"2009-02-09","5900","5900","5900","5900","5","59"
"2009-02-10","5950","5950","5500","5790","38","57.9"
"2009-02-12","5510","5510","5280","5280","26","52.8"
"2009-02-13","5200","5500","5100","5400","33","54"
"2009-02-16","5300","5650","5000","5250","53","52.5"
"2009-02-17","5200","5200","5100","5100","36","51"
"2009-02-18","5100","5500","5100","5500","30","55"
"2009-02-19","5500","5500","5500","5500","26","55"
"2009-02-20","5800","5800","5400","5700","17","57"
"2009-02-23","5700","5800","5400","5600","30","56"
"2009-02-24","5600","5600","5600","5600","8","56"
"2009-02-25","5600","5600","5020","5540","90","55.4"
"2009-02-26","5400","5400","5300","5400","10","54"
"2009-02-27","5400","5810","5400","5810","41","58.1"
"2009-03-02","5980","6810","5980","6810","317","68.1"
"2009-03-03","7000","7810","7000","7710","307","77.1"
"2009-03-04","8010","8500","7710","7900","277","79"
"2009-03-05","7900","7900","6910","7500","386","75"
"2009-03-06","7500","7500","6750","7380","38","73.8"
"2009-03-09","7080","7080","6500","7000","104","70"
"2009-03-10","6900","7050","6210","6210","107","62.1"
"2009-03-11","6510","7000","6210","7000","63","70"
"2009-03-12","6980","6980","6300","6500","33","65"
"2009-03-13","6400","6500","5900","6300","92","63"
"2009-03-16","6300","6780","6300","6780","54","67.8"
"2009-03-17","6510","6710","6510","6650","15","66.5"
"2009-03-18","6790","6800","6500","6700","30","67"
"2009-03-19","6600","6600","6400","6600","76","66"
"2009-03-23","6200","6550","6200","6300","26","63"
"2009-03-24","6300","6400","6300","6300","28","63"
"2009-03-25","6480","6480","6400","6480","79","64.8"
"2009-03-26","6380","6490","6380","6490","16","64.9"
"2009-03-27","6300","6490","6300","6480","65","64.8"
"2009-03-30","6480","6500","6480","6490","25","64.9"
"2009-03-31","6480","6490","6300","6450","55","64.5"
"2009-04-01","6260","6450","6210","6440","46","64.4"
"2009-04-02","6250","6440","6200","6440","74","64.4"
"2009-04-03","6340","6500","6290","6410","148","64.1"
"2009-04-06","6410","6410","6200","6400","32","64"
"2009-04-07","6210","6410","6000","6400","103","64"
"2009-04-08","6300","6500","6300","6400","13","64"
"2009-04-09","6300","6410","6300","6410","29","64.1"
"2009-04-10","6410","6500","6200","6400","39","64"
"2009-04-13","6210","6350","6100","6200","41","62"
"2009-04-14","6100","6350","5900","6300","57","63"
"2009-04-15","6100","6300","6100","6300","45","63"
"2009-04-16","6200","6500","6200","6350","40","63.5"
"2009-04-17","6200","6350","6100","6350","62","63.5"
"2009-04-20","6490","6500","6300","6300","23","63"
"2009-04-22","6150","6300","6000","6300","56","63"
"2009-04-23","6300","6350","6300","6350","5","63.5"
"2009-04-24","6350","6400","6140","6300","30","63"
"2009-04-27","6400","6400","6040","6300","106","63"
"2009-04-28","6200","6400","6050","6400","70","64"
"2009-04-30","6200","6400","6200","6300","72","63"
"2009-05-01","6200","6300","6100","6300","56","63"
"2009-05-07","6110","6250","6100","6250","112","62.5"
"2009-05-08","6110","6300","6100","6300","92","63"
"2009-05-11","6310","6400","6100","6400","94","64"
"2009-05-12","6350","6600","6200","6350","208","63.5"
"2009-05-13","6550","6800","6370","6700","171","67"
"2009-05-14","6600","7040","6430","7000","270","70"
"2009-05-15","7200","7390","7000","7200","194","72"
"2009-05-18","7400","7400","6800","7100","96","71"
"2009-05-19","7020","7200","7000","7190","39","71.9"
"2009-05-20","7010","7280","7000","7280","120","72.8"
"2009-05-21","7190","7600","7100","7110","182","71.1"
"2009-05-22","7110","7600","7110","7590","60","75.9"
"2009-05-25","7810","8200","7800","8000","88","80"
"2009-05-26","8000","8550","8000","8550","1114","85.5"
"2009-05-27","9000","9550","9000","9550","469","95.5"
"2009-05-28","9250","10550","9250","10550","561","105.5"
"2009-05-29","12350","12550","12350","12550","790","125.5"
"2009-06-01","15550","16550","15300","16550","1375","165.5"
"2009-06-02","18150","20320","14550","14550","2126","145.5"
"2009-06-03","12950","14800","12660","13800","1226","138"
"2009-06-04","13800","14200","13100","13500","542","135"
"2009-06-05","13000","13500","12210","13500","385","135"
"2009-06-08","13300","13400","12710","13300","265","133"
"2009-06-09","12900","13000","12300","13000","153","130"
"2009-06-10","12980","13000","11500","12800","556","128"
"2009-06-11","12960","13990","12500","13870","356","138.7"
"2009-06-12","14070","14300","13100","14000","254","140"
"2009-06-15","13980","13980","13050","13800","412","138"
"2009-06-16","13200","13200","13000","13190","149","131.9"
"2009-06-17","12590","12700","12400","12700","205","127"
"2009-06-18","13100","13340","12710","13000","148","130"
"2009-06-19","13200","13200","11770","12650","129","126.5"
"2009-06-22","12500","12810","12010","12790","69","127.9"
"2009-06-23","12790","12790","12000","12300","280","123"
"2009-06-24","12000","12300","11220","11800","182","118"
"2009-06-25","11990","12000","11000","11500","125","115"
"2009-06-26","11700","11700","11230","11500","127","115"
