3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","192","227","192","215","794700","215"
"2015-01-06","210","213","202","207","238100","207"
"2015-01-07","204","213","204","211","97200","211"
"2015-01-08","211","211","207","209","89900","209"
"2015-01-09","206","208","200","202","85600","202"
"2015-01-13","198","205","197","198","49400","198"
"2015-01-14","198","203","196","196","55700","196"
"2015-01-15","196","199","192","193","69400","193"
"2015-01-16","190","192","186","192","60900","192"
"2015-01-19","190","196","190","192","50000","192"
"2015-01-20","195","207","192","198","130600","198"
"2015-01-21","202","207","195","201","118600","201"
"2015-01-22","201","201","196","197","52800","197"
"2015-01-23","197","199","196","196","31300","196"
"2015-01-26","192","200","191","194","49800","194"
"2015-01-27","195","197","193","194","29000","194"
"2015-01-28","189","195","189","194","39400","194"
"2015-01-29","193","193","189","189","26500","189"
"2015-01-30","189","192","187","190","31800","190"
"2015-02-02","185","189","184","186","49400","186"
"2015-02-03","184","185","179","179","64600","179"
"2015-02-04","180","188","180","186","63100","186"
"2015-02-05","189","189","185","186","37300","186"
"2015-02-06","186","187","183","183","42100","183"
"2015-02-09","184","185","182","183","48200","183"
"2015-02-10","181","182","178","180","53100","180"
"2015-02-12","183","186","181","185","91400","185"
"2015-02-13","185","185","182","182","25500","182"
"2015-02-16","181","183","179","181","50200","181"
"2015-02-17","181","184","179","179","50500","179"
"2015-02-18","180","225","180","195","2000500","195"
"2015-02-19","197","222","188","205","1851800","205"
"2015-02-20","211","252","208","238","3827400","238"
"2015-02-23","214","226","210","215","907100","215"
"2015-02-24","216","263","204","229","3905500","229"
"2015-02-25","228","246","215","218","1328800","218"
"2015-02-26","222","260","221","252","3926800","252"
"2015-02-27","268","275","238","238","2831400","238"
"2015-03-02","236","247","226","226","902700","226"
"2015-03-03","224","225","211","215","499300","215"
"2015-03-04","210","220","206","214","368500","214"
"2015-03-05","210","218","209","214","309500","214"
"2015-03-06","214","245","208","219","2980700","219"
"2015-03-09","217","233","212","224","823700","224"
"2015-03-10","229","245","226","230","862500","230"
"2015-03-11","228","237","217","228","410700","228"
"2015-03-12","229","229","220","222","185200","222"
"2015-03-13","223","226","218","218","274200","218"
"2015-03-16","220","249","219","231","1852600","231"
"2015-03-17","236","259","234","239","2504400","239"
"2015-03-18","239","242","225","231","637500","231"
"2015-03-19","231","231","223","226","267500","226"
"2015-03-20","225","235","223","231","235500","231"
"2015-03-23","237","237","226","227","196600","227"
"2015-03-24","226","228","222","222","236400","222"
"2015-03-25","221","228","221","224","179200","224"
"2015-03-26","223","223","219","219","124400","219"
"2015-03-27","218","221","212","217","122800","217"
"2015-03-30","217","221","215","220","90400","220"
"2015-03-31","221","223","216","219","82700","219"
"2015-04-01","219","219","215","218","63200","218"
"2015-04-02","215","216","213","215","78900","215"
"2015-04-03","212","220","212","213","105700","213"
"2015-04-06","210","220","209","220","99100","220"
"2015-04-07","220","232","218","226","295000","226"
"2015-04-08","227","234","224","225","214300","225"
"2015-04-09","225","226","221","225","79700","225"
"2015-04-10","224","224","220","221","74800","221"
"2015-04-13","221","224","219","219","67300","219"
"2015-04-14","218","228","218","227","162400","227"
"2015-04-15","228","240","225","235","607600","235"
"2015-04-16","241","254","235","238","1442200","238"
"2015-04-17","236","237","227","227","305900","227"
"2015-04-20","227","233","225","231","232600","231"
"2015-04-21","234","235","226","229","172600","229"
"2015-04-22","234","234","229","232","98200","232"
"2015-04-23","231","231","226","226","113900","226"
"2015-04-24","226","228","225","228","43300","228"
"2015-04-27","228","228","223","225","77200","225"
"2015-04-28","222","225","217","220","133800","220"
"2015-04-30","223","223","215","217","122400","217"
